,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KBIL,Billings,1641023580,1641030780,N,-11.0,-16.0,78.0,SW,,10.0,26.25,0.0,Fair,BIL,2022-01-01 07:53:00,2022-01-01 09:53:00
1,KBIL,Billings,1641027180,1641034380,N,-12.0,-18.0,74.0,SW,,10.0,26.25,0.0,Fair,BIL,2022-01-01 08:53:00,2022-01-01 10:53:00
2,KBIL,Billings,1641030780,1641037980,N,-14.0,-19.0,79.0,SW,,12.0,26.25,0.0,Fair,BIL,2022-01-01 09:53:00,2022-01-01 11:53:00
3,KBIL,Billings,1641034380,1641041580,N,-15.0,-19.0,82.0,SSW,,8.0,26.25,0.0,Fair,BIL,2022-01-01 10:53:00,2022-01-01 12:53:00
4,KBIL,Billings,1641037980,1641045180,N,-15.0,-20.0,78.0,SSW,,14.0,26.24,0.0,Cloudy,BIL,2022-01-01 11:53:00,2022-01-01 13:53:00
5,KBIL,Billings,1641041580,1641048780,N,-15.0,-21.0,75.0,SW,,10.0,26.25,0.0,Fair,BIL,2022-01-01 12:53:00,2022-01-01 14:53:00
6,KBIL,Billings,1641045180,1641052380,N,-9.0,-16.0,71.0,WSW,,21.0,26.24,0.0,Fair / Windy,BIL,2022-01-01 13:53:00,2022-01-01 15:53:00
7,KBIL,Billings,1641048780,1641055980,D,-5.0,-12.0,72.0,SW,,21.0,26.25,0.0,Fair / Windy,BIL,2022-01-01 14:53:00,2022-01-01 16:53:00
8,KBIL,Billings,1641052380,1641059580,D,-3.0,-11.0,68.0,WSW,,20.0,26.25,0.0,Fair,BIL,2022-01-01 15:53:00,2022-01-01 17:53:00
9,KBIL,Billings,1641055980,1641063180,D,-1.0,-9.0,69.0,SW,,21.0,26.26,0.0,Fair / Windy,BIL,2022-01-01 16:53:00,2022-01-01 18:53:00
10,KBIL,Billings,1641059580,1641066780,D,2.0,-8.0,63.0,WSW,,21.0,26.25,0.0,Fair / Windy,BIL,2022-01-01 17:53:00,2022-01-01 19:53:00
11,KBIL,Billings,1641063180,1641070380,D,6.0,-6.0,58.0,SW,30.0,24.0,26.23,0.0,Fair / Windy,BIL,2022-01-01 18:53:00,2022-01-01 20:53:00
12,KBIL,Billings,1641066780,1641073980,D,8.0,-4.0,58.0,SW,31.0,24.0,26.2,0.0,Fair / Windy,BIL,2022-01-01 19:53:00,2022-01-01 21:53:00
13,KBIL,Billings,1641070380,1641077580,D,11.0,-2.0,56.0,WSW,25.0,16.0,26.18,0.0,Fair,BIL,2022-01-01 20:53:00,2022-01-01 22:53:00
14,KBIL,Billings,1641073980,1641081180,D,11.0,-2.0,56.0,SW,,21.0,26.19,0.0,Fair / Windy,BIL,2022-01-01 21:53:00,2022-01-01 23:53:00
15,KBIL,Billings,1641077580,1641084780,D,12.0,-3.0,51.0,WSW,28.0,18.0,26.19,0.0,Fair,BIL,2022-01-01 22:53:00,2022-01-02 00:53:00
