,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KBLI,Bellingham,1641027180,1641034380,N,15.0,10.0,80.0,CALM,,0.0,30.06,0.0,Fair,BLI,2022-01-01 08:53:00,2022-01-01 10:53:00
1,KBLI,Bellingham,1641030780,1641037980,N,16.0,12.0,84.0,NNW,,10.0,30.08,0.0,Fair,BLI,2022-01-01 09:53:00,2022-01-01 11:53:00
2,KBLI,Bellingham,1641034380,1641041580,N,18.0,13.0,81.0,NNE,,3.0,30.09,0.0,Cloudy,BLI,2022-01-01 10:53:00,2022-01-01 12:53:00
3,KBLI,Bellingham,1641037980,1641045180,N,19.0,13.0,77.0,N,,5.0,30.09,0.0,Cloudy,BLI,2022-01-01 11:53:00,2022-01-01 13:53:00
4,KBLI,Bellingham,1641041580,1641048780,N,20.0,14.0,78.0,,,,30.08,0.0,Cloudy,BLI,2022-01-01 12:53:00,2022-01-01 14:53:00
5,KBLI,Bellingham,1641045180,1641052380,N,20.0,14.0,78.0,N,,10.0,30.09,0.0,Cloudy,BLI,2022-01-01 13:53:00,2022-01-01 15:53:00
6,KBLI,Bellingham,1641048780,1641055980,N,21.0,14.0,74.0,NNE,,5.0,30.08,0.0,Cloudy,BLI,2022-01-01 14:53:00,2022-01-01 16:53:00
7,KBLI,Bellingham,1641052380,1641059580,D,21.0,13.0,71.0,N,,8.0,30.09,0.0,Cloudy,BLI,2022-01-01 15:53:00,2022-01-01 17:53:00
8,KBLI,Bellingham,1641055980,1641063180,D,20.0,14.0,78.0,N,,3.0,30.08,0.0,Cloudy,BLI,2022-01-01 16:53:00,2022-01-01 18:53:00
9,KBLI,Bellingham,1641059580,1641066780,D,22.0,15.0,75.0,NNE,,6.0,30.09,0.0,Cloudy,BLI,2022-01-01 17:53:00,2022-01-01 19:53:00
10,KBLI,Bellingham,1641063180,1641070380,D,25.0,17.0,72.0,NNE,,6.0,30.08,0.0,Cloudy,BLI,2022-01-01 18:53:00,2022-01-01 20:53:00
11,KBLI,Bellingham,1641066780,1641073980,D,27.0,16.0,63.0,N,,7.0,30.05,0.0,Cloudy,BLI,2022-01-01 19:53:00,2022-01-01 21:53:00
12,KBLI,Bellingham,1641070380,1641077580,D,27.0,18.0,69.0,CALM,,0.0,30.02,0.0,Cloudy,BLI,2022-01-01 20:53:00,2022-01-01 22:53:00
13,KBLI,Bellingham,1641073980,1641081180,D,28.0,18.0,66.0,NNE,,7.0,30.0,0.0,Cloudy,BLI,2022-01-01 21:53:00,2022-01-01 23:53:00
14,KBLI,Bellingham,1641077580,1641084780,D,29.0,18.0,64.0,NNE,,7.0,29.99,0.0,Cloudy,BLI,2022-01-01 22:53:00,2022-01-02 00:53:00
15,KBLI,Bellingham,1641081180,1641088380,D,28.0,18.0,66.0,NNE,,7.0,29.97,0.0,Cloudy,BLI,2022-01-01 23:53:00,2022-01-02 01:53:00
16,KBLI,Bellingham,1641084780,1641091980,N,28.0,19.0,69.0,N,,13.0,29.93,0.0,Cloudy,BLI,2022-01-02 00:53:00,2022-01-02 02:53:00
17,KBLI,Bellingham,1641088380,1641095580,N,36.0,25.0,64.0,SE,,17.0,29.88,0.0,Cloudy,BLI,2022-01-02 01:53:00,2022-01-02 03:53:00
18,KBLI,Bellingham,1641091980,1641099180,N,38.0,24.0,57.0,SSE,23.0,14.0,29.85,0.0,Mostly Cloudy,BLI,2022-01-02 02:53:00,2022-01-02 04:53:00
19,KBLI,Bellingham,1641095580,1641102780,N,39.0,24.0,55.0,S,43.0,28.0,29.81,0.0,Mostly Cloudy / Windy,BLI,2022-01-02 03:53:00,2022-01-02 05:53:00
20,KBLI,Bellingham,1641099180,1641106380,N,40.0,25.0,55.0,SSE,33.0,16.0,29.79,0.0,Partly Cloudy,BLI,2022-01-02 04:53:00,2022-01-02 06:53:00
21,KBLI,Bellingham,1641102780,1641109980,N,40.0,22.0,49.0,SSE,37.0,17.0,29.76,0.0,Fair,BLI,2022-01-02 05:53:00,2022-01-02 07:53:00
22,KBLI,Bellingham,1641106380,1641113580,N,40.0,22.0,49.0,SSE,31.0,22.0,29.74,0.0,Fair / Windy,BLI,2022-01-02 06:53:00,2022-01-02 08:53:00
23,KBLI,Bellingham,1641109980,1641117180,N,41.0,24.0,51.0,SSE,53.0,28.0,29.68,0.0,Fair / Windy,BLI,2022-01-02 07:53:00,2022-01-02 09:53:00
24,KBLI,Bellingham,1641113580,1641120780,N,41.0,26.0,55.0,SSE,43.0,23.0,29.67,0.0,Fair / Windy,BLI,2022-01-02 08:53:00,2022-01-02 10:53:00
25,KBLI,Bellingham,1641117180,1641124380,N,42.0,27.0,55.0,S,47.0,26.0,29.66,0.0,Fair / Windy,BLI,2022-01-02 09:53:00,2022-01-02 11:53:00
26,KBLI,Bellingham,1641120780,1641127980,N,43.0,27.0,53.0,S,48.0,24.0,29.68,0.0,Fair / Windy,BLI,2022-01-02 10:53:00,2022-01-02 12:53:00
27,KBLI,Bellingham,1641124380,1641131580,N,43.0,28.0,56.0,S,43.0,23.0,29.66,0.0,Fair / Windy,BLI,2022-01-02 11:53:00,2022-01-02 13:53:00
28,KBLI,Bellingham,1641127980,1641135180,N,43.0,28.0,56.0,S,29.0,20.0,29.65,0.0,Fair,BLI,2022-01-02 12:53:00,2022-01-02 14:53:00
29,KBLI,Bellingham,1641131580,1641138780,N,43.0,30.0,60.0,SSE,30.0,16.0,29.64,0.0,Fair,BLI,2022-01-02 13:53:00,2022-01-02 15:53:00
30,KBLI,Bellingham,1641135180,1641142380,N,44.0,29.0,55.0,SSE,33.0,16.0,29.63,0.0,Partly Cloudy,BLI,2022-01-02 14:53:00,2022-01-02 16:53:00
31,KBLI,Bellingham,1641138780,1641145980,D,44.0,29.0,55.0,SSE,40.0,25.0,29.6,0.0,Fair / Windy,BLI,2022-01-02 15:53:00,2022-01-02 17:53:00
