,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KBOI,Boise,1641023580,1641030780,N,10.0,4.0,76.0,NW,,8.0,27.06,0.0,Fair,BOI,2022-01-01 07:53:00,2022-01-01 09:53:00
1,KBOI,Boise,1641027180,1641034380,N,9.0,3.0,77.0,NNE,,3.0,27.07,0.0,Fair,BOI,2022-01-01 08:53:00,2022-01-01 10:53:00
2,KBOI,Boise,1641030780,1641037980,N,2.0,-3.0,80.0,CALM,,0.0,27.11,0.0,Fair,BOI,2022-01-01 09:53:00,2022-01-01 11:53:00
3,KBOI,Boise,1641034380,1641041580,N,0.0,-4.0,83.0,CALM,,0.0,27.13,0.0,Fair,BOI,2022-01-01 10:53:00,2022-01-01 12:53:00
4,KBOI,Boise,1641037980,1641045180,N,1.0,-4.0,79.0,S,,3.0,27.14,0.0,Fair,BOI,2022-01-01 11:53:00,2022-01-01 13:53:00
5,KBOI,Boise,1641041580,1641048780,N,1.0,-3.0,83.0,CALM,,0.0,27.17,0.0,Fair,BOI,2022-01-01 12:53:00,2022-01-01 14:53:00
6,KBOI,Boise,1641045180,1641052380,N,0.0,-7.0,72.0,SE,,3.0,27.2,0.0,Fair,BOI,2022-01-01 13:53:00,2022-01-01 15:53:00
7,KBOI,Boise,1641048780,1641055980,D,0.0,-5.0,79.0,E,,8.0,27.22,0.0,Fair,BOI,2022-01-01 14:53:00,2022-01-01 16:53:00
8,KBOI,Boise,1641052380,1641059580,D,2.0,-2.0,83.0,SSE,,3.0,27.25,0.0,Fair,BOI,2022-01-01 15:53:00,2022-01-01 17:53:00
9,KBOI,Boise,1641055980,1641063180,D,6.0,2.0,83.0,SE,,7.0,27.28,0.0,Fair,BOI,2022-01-01 16:53:00,2022-01-01 18:53:00
10,KBOI,Boise,1641059580,1641066780,D,10.0,4.0,76.0,ESE,,6.0,27.3,0.0,Fair,BOI,2022-01-01 17:53:00,2022-01-01 19:53:00
11,KBOI,Boise,1641063180,1641070380,D,15.0,6.0,68.0,E,,5.0,27.29,0.0,Fair,BOI,2022-01-01 18:53:00,2022-01-01 20:53:00
12,KBOI,Boise,1641066780,1641073980,D,16.0,5.0,62.0,CALM,,0.0,27.29,0.0,Fair,BOI,2022-01-01 19:53:00,2022-01-01 21:53:00
13,KBOI,Boise,1641070380,1641077580,D,19.0,7.0,59.0,CALM,,0.0,27.29,0.0,Fair,BOI,2022-01-01 20:53:00,2022-01-01 22:53:00
14,KBOI,Boise,1641073980,1641081180,D,23.0,5.0,46.0,NNW,,5.0,27.3,0.0,Fair,BOI,2022-01-01 21:53:00,2022-01-01 23:53:00
15,KBOI,Boise,1641077580,1641084780,D,22.0,8.0,55.0,NW,,6.0,27.32,0.0,Fair,BOI,2022-01-01 22:53:00,2022-01-02 00:53:00
16,KBOI,Boise,1641081180,1641088380,D,16.0,6.0,65.0,SSW,,7.0,27.32,0.0,Fair,BOI,2022-01-01 23:53:00,2022-01-02 01:53:00
17,KBOI,Boise,1641084780,1641091980,N,13.0,4.0,67.0,CALM,,0.0,27.33,0.0,Fair,BOI,2022-01-02 00:53:00,2022-01-02 02:53:00
18,KBOI,Boise,1641088380,1641095580,N,13.0,4.0,67.0,E,,5.0,27.34,0.0,Fair,BOI,2022-01-02 01:53:00,2022-01-02 03:53:00
19,KBOI,Boise,1641091980,1641099180,N,9.0,2.0,73.0,SE,,6.0,27.35,0.0,Fair,BOI,2022-01-02 02:53:00,2022-01-02 04:53:00
20,KBOI,Boise,1641095580,1641102780,N,9.0,3.0,77.0,SE,,7.0,27.35,0.0,Fair,BOI,2022-01-02 03:53:00,2022-01-02 05:53:00
21,KBOI,Boise,1641099180,1641106380,N,11.0,3.0,70.0,SE,,8.0,27.37,0.0,Fair,BOI,2022-01-02 04:53:00,2022-01-02 06:53:00
