,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KFHR,Friday Harbor Arpt,1641027180,1641034380,N,26.0,18.0,71.0,ENE,,5.0,30.11,0.0,Fair,FHR,2022-01-01 08:53:00,2022-01-01 10:53:00
1,KFHR,Friday Harbor Arpt,1641030780,1641037980,N,26.0,18.0,71.0,NNE,,5.0,30.13,0.0,Fair,FHR,2022-01-01 09:53:00,2022-01-01 11:53:00
2,KFHR,Friday Harbor Arpt,1641034380,1641041580,N,27.0,20.0,75.0,ENE,,5.0,30.13,0.0,Mostly Cloudy,FHR,2022-01-01 10:53:00,2022-01-01 12:53:00
3,KFHR,Friday Harbor Arpt,1641037980,1641045180,N,29.0,22.0,75.0,VAR,,6.0,30.13,0.0,Cloudy,FHR,2022-01-01 11:53:00,2022-01-01 13:53:00
4,KFHR,Friday Harbor Arpt,1641041580,1641048780,N,29.0,22.0,75.0,ESE,,7.0,30.12,0.0,Cloudy,FHR,2022-01-01 12:53:00,2022-01-01 14:53:00
5,KFHR,Friday Harbor Arpt,1641045180,1641052380,N,29.0,22.0,75.0,E,,8.0,30.13,0.0,Cloudy,FHR,2022-01-01 13:53:00,2022-01-01 15:53:00
6,KFHR,Friday Harbor Arpt,1641048780,1641055980,N,29.0,22.0,75.0,ESE,,9.0,30.12,0.0,Cloudy,FHR,2022-01-01 14:53:00,2022-01-01 16:53:00
7,KFHR,Friday Harbor Arpt,1641052380,1641059580,D,29.0,21.0,72.0,E,,7.0,30.13,0.0,Cloudy,FHR,2022-01-01 15:53:00,2022-01-01 17:53:00
8,KFHR,Friday Harbor Arpt,1641055980,1641063180,D,30.0,22.0,72.0,ESE,,8.0,30.13,0.0,Cloudy,FHR,2022-01-01 16:53:00,2022-01-01 18:53:00
9,KFHR,Friday Harbor Arpt,1641059580,1641066780,D,31.0,23.0,72.0,ESE,,9.0,30.13,0.0,Cloudy,FHR,2022-01-01 17:53:00,2022-01-01 19:53:00
10,KFHR,Friday Harbor Arpt,1641063180,1641070380,D,32.0,23.0,69.0,ESE,22.0,12.0,30.12,0.0,Cloudy,FHR,2022-01-01 18:53:00,2022-01-01 20:53:00
11,KFHR,Friday Harbor Arpt,1641066780,1641073980,D,32.0,23.0,69.0,ESE,20.0,13.0,30.09,0.0,Cloudy,FHR,2022-01-01 19:53:00,2022-01-01 21:53:00
12,KFHR,Friday Harbor Arpt,1641068040,1641075240,D,32.0,23.0,69.0,ESE,18.0,13.0,30.08,0.0,Cloudy,FHR,2022-01-01 20:14:00,2022-01-01 22:14:00
