,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KGGW,Glasgow,1641023580,1641030780,N,-22.0,-29.0,70.0,CALM,,0.0,27.68,0.0,Cloudy,GGW,2022-01-01 07:53:00,2022-01-01 09:53:00
1,KGGW,Glasgow,1641027180,1641034380,N,-20.0,-26.0,74.0,CALM,,0.0,27.67,0.0,Mostly Cloudy,GGW,2022-01-01 08:53:00,2022-01-01 10:53:00
2,KGGW,Glasgow,1641030780,1641037980,N,-22.0,-28.0,74.0,CALM,,0.0,27.67,0.0,Fair,GGW,2022-01-01 09:53:00,2022-01-01 11:53:00
3,KGGW,Glasgow,1641034380,1641041580,N,-23.0,-31.0,67.0,SE,,5.0,27.67,0.0,Fair,GGW,2022-01-01 10:53:00,2022-01-01 12:53:00
4,KGGW,Glasgow,1641037980,1641045180,N,-26.0,-32.0,73.0,ESE,,8.0,27.66,0.0,Fair,GGW,2022-01-01 11:53:00,2022-01-01 13:53:00
5,KGGW,Glasgow,1641041580,1641048780,N,-25.0,-31.0,74.0,SE,,8.0,27.66,0.0,Fair,GGW,2022-01-01 12:53:00,2022-01-01 14:53:00
6,KGGW,Glasgow,1641045180,1641052380,N,-25.0,-31.0,74.0,ESE,,10.0,27.64,0.0,Fair,GGW,2022-01-01 13:53:00,2022-01-01 15:53:00
7,KGGW,Glasgow,1641048780,1641055980,D,-25.0,-31.0,74.0,ESE,,7.0,27.64,0.0,Fair,GGW,2022-01-01 14:53:00,2022-01-01 16:53:00
8,KGGW,Glasgow,1641052380,1641059580,D,-24.0,-29.0,77.0,ESE,,6.0,27.65,0.0,Fair,GGW,2022-01-01 15:53:00,2022-01-01 17:53:00
9,KGGW,Glasgow,1641055980,1641063180,D,-21.0,-25.0,81.0,SE,,3.0,27.65,0.0,Fair,GGW,2022-01-01 16:53:00,2022-01-01 18:53:00
10,KGGW,Glasgow,1641059580,1641066780,D,-19.0,-25.0,74.0,SE,,6.0,27.63,0.0,Light Snow,GGW,2022-01-01 17:53:00,2022-01-01 19:53:00
11,KGGW,Glasgow,1641063180,1641070380,D,-17.0,-23.0,74.0,ESE,,7.0,27.59,0.0,Light Snow,GGW,2022-01-01 18:53:00,2022-01-01 20:53:00
12,KGGW,Glasgow,1641066780,1641073980,D,-15.0,-21.0,75.0,ESE,,7.0,27.57,0.0,Fair,GGW,2022-01-01 19:53:00,2022-01-01 21:53:00
13,KGGW,Glasgow,1641070380,1641077580,D,-12.0,-19.0,71.0,SE,,7.0,27.55,0.0,Fair,GGW,2022-01-01 20:53:00,2022-01-01 22:53:00
14,KGGW,Glasgow,1641073980,1641081180,D,-11.0,-19.0,68.0,SE,,7.0,27.55,0.0,Fair,GGW,2022-01-01 21:53:00,2022-01-01 23:53:00
15,KGGW,Glasgow,1641077580,1641084780,D,-13.0,-21.0,68.0,E,,7.0,27.54,0.0,Fair,GGW,2022-01-01 22:53:00,2022-01-02 00:53:00
16,KGGW,Glasgow,1641081180,1641088380,N,-15.0,-22.0,71.0,E,,12.0,27.53,0.0,Fair,GGW,2022-01-01 23:53:00,2022-01-02 01:53:00
17,KGGW,Glasgow,1641084780,1641091980,N,-15.0,-22.0,71.0,ESE,,13.0,27.51,0.0,Fair,GGW,2022-01-02 00:53:00,2022-01-02 02:53:00
18,KGGW,Glasgow,1641088380,1641095580,N,-13.0,-21.0,68.0,ESE,,14.0,27.5,0.0,Fair,GGW,2022-01-02 01:53:00,2022-01-02 03:53:00
19,KGGW,Glasgow,1641091980,1641099180,N,-11.0,-19.0,68.0,ESE,,13.0,27.48,0.0,Fair,GGW,2022-01-02 02:53:00,2022-01-02 04:53:00
20,KGGW,Glasgow,1641095580,1641102780,N,-10.0,-18.0,68.0,ESE,,10.0,27.47,0.0,Fair,GGW,2022-01-02 03:53:00,2022-01-02 05:53:00
21,KGGW,Glasgow,1641099180,1641106380,N,-10.0,-17.0,71.0,ESE,,8.0,27.46,0.0,Fair,GGW,2022-01-02 04:53:00,2022-01-02 06:53:00
22,KGGW,Glasgow,1641102780,1641109980,N,-11.0,-18.0,71.0,CALM,,0.0,27.46,0.0,Fair,GGW,2022-01-02 05:53:00,2022-01-02 07:53:00
23,KGGW,Glasgow,1641106380,1641113580,N,-10.0,-17.0,71.0,SE,,6.0,27.44,0.0,Fair,GGW,2022-01-02 06:53:00,2022-01-02 08:53:00
24,KGGW,Glasgow,1641109980,1641117180,N,-9.0,-16.0,71.0,CALM,,0.0,27.43,0.0,Fair,GGW,2022-01-02 07:53:00,2022-01-02 09:53:00
25,KGGW,Glasgow,1641113580,1641120780,N,-8.0,-15.0,71.0,E,,5.0,27.43,0.0,Fair,GGW,2022-01-02 08:53:00,2022-01-02 10:53:00
26,KGGW,Glasgow,1641117180,1641124380,N,-10.0,-17.0,71.0,CALM,,0.0,27.43,0.0,Fair,GGW,2022-01-02 09:53:00,2022-01-02 11:53:00
27,KGGW,Glasgow,1641120780,1641127980,N,-5.0,-12.0,72.0,E,,7.0,27.43,0.0,Fair,GGW,2022-01-02 10:53:00,2022-01-02 12:53:00
28,KGGW,Glasgow,1641124380,1641131580,N,-2.0,-8.0,76.0,CALM,,0.0,27.43,0.0,Fair,GGW,2022-01-02 11:53:00,2022-01-02 13:53:00
29,KGGW,Glasgow,1641127980,1641135180,N,-6.0,-13.0,72.0,SE,,7.0,27.43,0.0,Fair,GGW,2022-01-02 12:53:00,2022-01-02 14:53:00
30,KGGW,Glasgow,1641131580,1641138780,N,-3.0,-11.0,68.0,ESE,,7.0,27.43,0.0,Fair,GGW,2022-01-02 13:53:00,2022-01-02 15:53:00
31,KGGW,Glasgow,1641135180,1641142380,D,0.0,-5.0,79.0,ESE,,7.0,27.43,0.0,Fair,GGW,2022-01-02 14:53:00,2022-01-02 16:53:00
32,KGGW,Glasgow,1641138780,1641145980,D,5.0,-1.0,76.0,SE,,8.0,27.44,0.0,Fair,GGW,2022-01-02 15:53:00,2022-01-02 17:53:00
