,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KGPI,Kalispell,1641023700,1641030900,N,-6.0,-11.0,79.0,CALM,,0.0,26.98,0.0,Cloudy,GPI,2022-01-01 07:55:00,2022-01-01 09:55:00
1,KGPI,Kalispell,1641027300,1641034500,N,-5.0,-10.0,80.0,WNW,,3.0,26.99,0.0,Cloudy,GPI,2022-01-01 08:55:00,2022-01-01 10:55:00
2,KGPI,Kalispell,1641030900,1641038100,N,-6.0,-11.0,79.0,CALM,,0.0,27.0,0.0,Cloudy,GPI,2022-01-01 09:55:00,2022-01-01 11:55:00
3,KGPI,Kalispell,1641034500,1641041700,N,-6.0,-12.0,75.0,CALM,,0.0,27.01,0.0,Cloudy,GPI,2022-01-01 10:55:00,2022-01-01 12:55:00
4,KGPI,Kalispell,1641038100,1641045300,N,-5.0,-11.0,76.0,WNW,,3.0,27.02,0.0,Cloudy,GPI,2022-01-01 11:55:00,2022-01-01 13:55:00
5,KGPI,Kalispell,1641041700,1641048900,N,-2.0,-7.0,79.0,CALM,,0.0,27.03,0.0,Haze,GPI,2022-01-01 12:55:00,2022-01-01 14:55:00
6,KGPI,Kalispell,1641045300,1641052500,N,-2.0,-8.0,76.0,CALM,,0.0,27.04,0.0,Cloudy,GPI,2022-01-01 13:55:00,2022-01-01 15:55:00
7,KGPI,Kalispell,1641048900,1641056100,N,-3.0,-8.0,79.0,CALM,,0.0,27.05,0.0,Cloudy,GPI,2022-01-01 14:55:00,2022-01-01 16:55:00
8,KGPI,Kalispell,1641052500,1641059700,D,-4.0,-10.0,76.0,WSW,,3.0,27.06,0.0,Partly Cloudy,GPI,2022-01-01 15:55:00,2022-01-01 17:55:00
9,KGPI,Kalispell,1641056100,1641063300,D,0.0,-5.0,79.0,CALM,,0.0,27.08,0.0,Cloudy,GPI,2022-01-01 16:55:00,2022-01-01 18:55:00
10,KGPI,Kalispell,1641059700,1641066900,D,2.0,-4.0,76.0,CALM,,0.0,27.09,0.0,Cloudy,GPI,2022-01-01 17:55:00,2022-01-01 19:55:00
11,KGPI,Kalispell,1641063300,1641070500,D,4.0,-2.0,76.0,CALM,,0.0,27.09,0.0,Cloudy,GPI,2022-01-01 18:55:00,2022-01-01 20:55:00
12,KGPI,Kalispell,1641066900,1641074100,D,7.0,-2.0,67.0,CALM,,0.0,27.08,0.0,Cloudy,GPI,2022-01-01 19:55:00,2022-01-01 21:55:00
13,KGPI,Kalispell,1641070500,1641077700,D,9.0,0.0,67.0,CALM,,0.0,27.07,0.0,Cloudy,GPI,2022-01-01 20:55:00,2022-01-01 22:55:00
14,KGPI,Kalispell,1641074100,1641081300,D,9.0,1.0,70.0,W,,3.0,27.07,0.0,Cloudy,GPI,2022-01-01 21:55:00,2022-01-01 23:55:00
15,KGPI,Kalispell,1641077700,1641084900,D,10.0,2.0,70.0,CALM,,0.0,27.08,0.0,Cloudy,GPI,2022-01-01 22:55:00,2022-01-02 00:55:00
16,KGPI,Kalispell,1641081300,1641088500,N,11.0,3.0,70.0,W,,5.0,27.08,0.0,Cloudy,GPI,2022-01-01 23:55:00,2022-01-02 01:55:00
17,KGPI,Kalispell,1641084900,1641092100,N,11.0,4.0,73.0,CALM,,0.0,27.08,0.0,Cloudy,GPI,2022-01-02 00:55:00,2022-01-02 02:55:00
18,KGPI,Kalispell,1641088500,1641095700,N,11.0,5.0,77.0,CALM,,0.0,27.07,0.0,Cloudy,GPI,2022-01-02 01:55:00,2022-01-02 03:55:00
19,KGPI,Kalispell,1641092100,1641099300,N,12.0,5.0,73.0,CALM,,0.0,27.08,0.0,Cloudy,GPI,2022-01-02 02:55:00,2022-01-02 04:55:00
20,KGPI,Kalispell,1641095700,1641102900,N,12.0,5.0,73.0,CALM,,0.0,27.08,0.0,Cloudy,GPI,2022-01-02 03:55:00,2022-01-02 05:55:00
21,KGPI,Kalispell,1641099300,1641106500,N,12.0,6.0,77.0,CALM,,0.0,27.07,0.0,Partly Cloudy,GPI,2022-01-02 04:55:00,2022-01-02 06:55:00
22,KGPI,Kalispell,1641102900,1641110100,N,9.0,4.0,80.0,SSW,,3.0,27.07,0.0,Partly Cloudy,GPI,2022-01-02 05:55:00,2022-01-02 07:55:00
23,KGPI,Kalispell,1641106500,1641113700,N,10.0,5.0,80.0,CALM,,0.0,27.07,0.0,Fair,GPI,2022-01-02 06:55:00,2022-01-02 08:55:00
24,KGPI,Kalispell,1641110100,1641117300,N,10.0,5.0,80.0,CALM,,0.0,27.06,0.0,Fair,GPI,2022-01-02 07:55:00,2022-01-02 09:55:00
25,KGPI,Kalispell,1641113700,1641120900,N,10.0,5.0,80.0,CALM,,0.0,27.05,0.0,Fair,GPI,2022-01-02 08:55:00,2022-01-02 10:55:00
26,KGPI,Kalispell,1641117300,1641124500,N,9.0,4.0,80.0,CALM,,0.0,27.05,0.0,Fair,GPI,2022-01-02 09:55:00,2022-01-02 11:55:00
27,KGPI,Kalispell,1641120900,1641128100,N,9.0,4.0,80.0,CALM,,0.0,27.04,0.0,Fair,GPI,2022-01-02 10:55:00,2022-01-02 12:55:00
28,KGPI,Kalispell,1641124500,1641131700,N,7.0,3.0,84.0,CALM,,0.0,27.02,0.0,Fair,GPI,2022-01-02 11:55:00,2022-01-02 13:55:00
29,KGPI,Kalispell,1641128100,1641135300,N,5.0,1.0,84.0,CALM,,0.0,27.0,0.0,Mostly Cloudy,GPI,2022-01-02 12:55:00,2022-01-02 14:55:00
30,KGPI,Kalispell,1641131700,1641138900,N,4.0,0.0,84.0,CALM,,0.0,26.98,0.0,Fair,GPI,2022-01-02 13:55:00,2022-01-02 15:55:00
31,KGPI,Kalispell,1641135300,1641142500,N,1.0,-2.0,87.0,N,,5.0,26.97,0.0,Fair,GPI,2022-01-02 14:55:00,2022-01-02 16:55:00
32,KGPI,Kalispell,1641138900,1641146100,D,1.0,-3.0,83.0,CALM,,0.0,26.97,0.0,Fair,GPI,2022-01-02 15:55:00,2022-01-02 17:55:00
33,KGPI,Kalispell,1641142500,1641149700,D,4.0,-1.0,80.0,CALM,,0.0,26.99,0.0,Fair,GPI,2022-01-02 16:55:00,2022-01-02 18:55:00
34,KGPI,Kalispell,1641146100,1641153300,D,12.0,4.0,70.0,W,,3.0,26.98,0.0,Fair,GPI,2022-01-02 17:55:00,2022-01-02 19:55:00
35,KGPI,Kalispell,1641149700,1641156900,D,11.0,5.0,77.0,CALM,,0.0,26.97,0.0,Fair,GPI,2022-01-02 18:55:00,2022-01-02 20:55:00
36,KGPI,Kalispell,1641153300,1641160500,D,14.0,7.0,74.0,WSW,,3.0,26.95,0.0,Fair,GPI,2022-01-02 19:55:00,2022-01-02 21:55:00
37,KGPI,Kalispell,1641156900,1641164100,D,18.0,9.0,68.0,CALM,,0.0,26.93,0.0,Mostly Cloudy,GPI,2022-01-02 20:55:00,2022-01-02 22:55:00
38,KGPI,Kalispell,1641160500,1641167700,D,19.0,10.0,68.0,CALM,,0.0,26.91,0.0,Partly Cloudy,GPI,2022-01-02 21:55:00,2022-01-02 23:55:00
39,KGPI,Kalispell,1641164100,1641171300,D,19.0,11.0,71.0,CALM,,0.0,26.9,0.0,Cloudy,GPI,2022-01-02 22:55:00,2022-01-03 00:55:00
40,KGPI,Kalispell,1641167700,1641174900,N,19.0,12.0,74.0,E,,3.0,26.9,0.0,Cloudy,GPI,2022-01-02 23:55:00,2022-01-03 01:55:00
41,KGPI,Kalispell,1641171300,1641178500,N,19.0,12.0,74.0,CALM,,0.0,26.88,0.0,Cloudy,GPI,2022-01-03 00:55:00,2022-01-03 02:55:00
42,KGPI,Kalispell,1641174900,1641182100,N,19.0,13.0,77.0,CALM,,0.0,26.88,0.0,Cloudy,GPI,2022-01-03 01:55:00,2022-01-03 03:55:00
43,KGPI,Kalispell,1641178500,1641185700,N,19.0,13.0,77.0,CALM,,0.0,26.86,0.0,Cloudy,GPI,2022-01-03 02:55:00,2022-01-03 04:55:00
44,KGPI,Kalispell,1641182100,1641189300,N,20.0,13.0,74.0,CALM,,0.0,26.86,0.0,Cloudy,GPI,2022-01-03 03:55:00,2022-01-03 05:55:00
45,KGPI,Kalispell,1641185700,1641192900,N,20.0,14.0,78.0,CALM,,0.0,26.85,0.0,Cloudy,GPI,2022-01-03 04:55:00,2022-01-03 06:55:00
46,KGPI,Kalispell,1641189300,1641196500,N,20.0,15.0,81.0,CALM,,0.0,26.83,0.0,Cloudy,GPI,2022-01-03 05:55:00,2022-01-03 07:55:00
47,KGPI,Kalispell,1641192900,1641200100,N,19.0,14.0,81.0,CALM,,0.0,26.82,0.0,Cloudy,GPI,2022-01-03 06:55:00,2022-01-03 08:55:00
48,KGPI,Kalispell,1641196500,1641203700,N,13.0,10.0,88.0,CALM,,0.0,26.8,0.0,Fair,GPI,2022-01-03 07:55:00,2022-01-03 09:55:00
49,KGPI,Kalispell,1641200100,1641207300,N,14.0,12.0,92.0,CALM,,0.0,26.78,0.0,Fair,GPI,2022-01-03 08:55:00,2022-01-03 10:55:00
50,KGPI,Kalispell,1641203700,1641210900,N,10.0,7.0,87.0,CALM,,0.0,26.77,0.0,Fair,GPI,2022-01-03 09:55:00,2022-01-03 11:55:00
51,KGPI,Kalispell,1641207300,1641214500,N,8.0,6.0,92.0,CALM,,0.0,26.74,0.0,Fair,GPI,2022-01-03 10:55:00,2022-01-03 12:55:00
52,KGPI,Kalispell,1641210900,1641218100,N,10.0,7.0,87.0,W,,3.0,26.72,0.0,Cloudy,GPI,2022-01-03 11:55:00,2022-01-03 13:55:00
53,KGPI,Kalispell,1641214500,1641221700,N,9.0,6.0,88.0,WSW,,5.0,26.68,0.0,Fair,GPI,2022-01-03 12:55:00,2022-01-03 14:55:00
54,KGPI,Kalispell,1641218100,1641225300,N,11.0,8.0,88.0,E,,3.0,26.64,0.0,Cloudy,GPI,2022-01-03 13:55:00,2022-01-03 15:55:00
