,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KHLN,Helena,1641023580,1641030780,N,-2.0,-10.0,69.0,CALM,,0.0,25.97,0.0,Cloudy,HLN,2022-01-01 07:53:00,2022-01-01 09:53:00
1,KHLN,Helena,1641027180,1641034380,N,-6.0,-11.0,79.0,CALM,,0.0,25.98,0.0,Partly Cloudy,HLN,2022-01-01 08:53:00,2022-01-01 10:53:00
2,KHLN,Helena,1641030780,1641037980,N,-7.0,-14.0,72.0,CALM,,0.0,26.01,0.0,Fair,HLN,2022-01-01 09:53:00,2022-01-01 11:53:00
3,KHLN,Helena,1641034380,1641041580,N,-8.0,-14.0,75.0,SSW,,5.0,26.01,0.0,Fair,HLN,2022-01-01 10:53:00,2022-01-01 12:53:00
4,KHLN,Helena,1641041580,1641048780,N,-13.0,-19.0,75.0,CALM,,0.0,26.03,0.0,Partly Cloudy,HLN,2022-01-01 12:53:00,2022-01-01 14:53:00
5,KHLN,Helena,1641045180,1641052380,N,-12.0,-18.0,74.0,CALM,,0.0,26.04,0.0,Fair,HLN,2022-01-01 13:53:00,2022-01-01 15:53:00
6,KHLN,Helena,1641048780,1641055980,D,-11.0,-17.0,75.0,CALM,,0.0,26.06,0.0,Fair,HLN,2022-01-01 14:53:00,2022-01-01 16:53:00
7,KHLN,Helena,1641055980,1641063180,D,-11.0,-16.0,78.0,CALM,,0.0,26.08,0.0,Fair,HLN,2022-01-01 16:53:00,2022-01-01 18:53:00
8,KHLN,Helena,1641059580,1641066780,D,-3.0,-12.0,65.0,CALM,,0.0,26.09,0.0,Fair,HLN,2022-01-01 17:53:00,2022-01-01 19:53:00
9,KHLN,Helena,1641063180,1641070380,D,0.0,-11.0,60.0,CALM,,0.0,26.07,0.0,Fair,HLN,2022-01-01 18:53:00,2022-01-01 20:53:00
10,KHLN,Helena,1641066780,1641073980,D,1.0,-9.0,63.0,CALM,,0.0,26.05,0.0,Fair,HLN,2022-01-01 19:53:00,2022-01-01 21:53:00
11,KHLN,Helena,1641070380,1641077580,D,4.0,-8.0,58.0,CALM,,0.0,26.04,0.0,Mostly Cloudy,HLN,2022-01-01 20:53:00,2022-01-01 22:53:00
12,KHLN,Helena,1641073980,1641081180,D,6.0,-6.0,58.0,CALM,,0.0,26.03,0.0,Partly Cloudy,HLN,2022-01-01 21:53:00,2022-01-01 23:53:00
13,KHLN,Helena,1641081180,1641088380,N,8.0,-3.0,61.0,VAR,,6.0,26.06,0.0,Partly Cloudy,HLN,2022-01-01 23:53:00,2022-01-02 01:53:00
14,KHLN,Helena,1641084780,1641091980,N,8.0,-2.0,64.0,CALM,,0.0,26.06,0.0,Mostly Cloudy,HLN,2022-01-02 00:53:00,2022-01-02 02:53:00
15,KHLN,Helena,1641088380,1641095580,N,10.0,0.0,64.0,CALM,,0.0,26.07,0.0,Cloudy,HLN,2022-01-02 01:53:00,2022-01-02 03:53:00
16,KHLN,Helena,1641091980,1641099180,N,16.0,2.0,54.0,S,,6.0,26.08,0.0,Mostly Cloudy,HLN,2022-01-02 02:53:00,2022-01-02 04:53:00
17,KHLN,Helena,1641095580,1641102780,N,17.0,3.0,54.0,SE,,6.0,26.09,0.0,Cloudy,HLN,2022-01-02 03:53:00,2022-01-02 05:53:00
18,KHLN,Helena,1641099180,1641106380,N,19.0,3.0,50.0,SSE,,8.0,26.1,0.0,Cloudy,HLN,2022-01-02 04:53:00,2022-01-02 06:53:00
19,KHLN,Helena,1641102780,1641109980,N,14.0,3.0,62.0,ESE,,7.0,26.1,0.0,Partly Cloudy,HLN,2022-01-02 05:53:00,2022-01-02 07:53:00
20,KHLN,Helena,1641106380,1641113580,N,11.0,2.0,67.0,W,,7.0,26.11,0.0,Fair,HLN,2022-01-02 06:53:00,2022-01-02 08:53:00
21,KHLN,Helena,1641109980,1641117180,N,11.0,1.0,64.0,W,,7.0,26.11,0.0,Fair,HLN,2022-01-02 07:53:00,2022-01-02 09:53:00
22,KHLN,Helena,1641113580,1641120780,N,11.0,0.0,61.0,WSW,,8.0,26.12,0.0,Fair,HLN,2022-01-02 08:53:00,2022-01-02 10:53:00
23,KHLN,Helena,1641117180,1641124380,N,8.0,-1.0,67.0,WNW,,7.0,26.13,0.0,Fair,HLN,2022-01-02 09:53:00,2022-01-02 11:53:00
24,KHLN,Helena,1641120780,1641127980,N,10.0,0.0,64.0,SSW,,3.0,26.12,0.0,Fair,HLN,2022-01-02 10:53:00,2022-01-02 12:53:00
25,KHLN,Helena,1641124380,1641131580,N,11.0,1.0,64.0,WSW,,3.0,26.12,0.0,Fair,HLN,2022-01-02 11:53:00,2022-01-02 13:53:00
26,KHLN,Helena,1641131580,1641138780,N,8.0,1.0,73.0,S,,3.0,26.11,0.0,Fair,HLN,2022-01-02 13:53:00,2022-01-02 15:53:00
27,KHLN,Helena,1641138780,1641145980,D,8.0,1.0,73.0,WNW,,3.0,26.11,0.0,Fair,HLN,2022-01-02 15:53:00,2022-01-02 17:53:00
28,KHLN,Helena,1641145980,1641153180,D,16.0,5.0,62.0,WNW,,5.0,26.11,0.0,Fair,HLN,2022-01-02 17:53:00,2022-01-02 19:53:00
29,KHLN,Helena,1641149580,1641156780,D,19.0,6.0,57.0,CALM,,0.0,26.1,0.0,Fair,HLN,2022-01-02 18:53:00,2022-01-02 20:53:00
30,KHLN,Helena,1641153180,1641160380,D,21.0,7.0,55.0,NW,,5.0,26.08,0.0,Fair,HLN,2022-01-02 19:53:00,2022-01-02 21:53:00
31,KHLN,Helena,1641156780,1641163980,D,24.0,9.0,53.0,CALM,,0.0,26.05,0.0,Fair,HLN,2022-01-02 20:53:00,2022-01-02 22:53:00
32,KHLN,Helena,1641160380,1641167580,D,24.0,10.0,55.0,WNW,,6.0,26.04,0.0,Fair,HLN,2022-01-02 21:53:00,2022-01-02 23:53:00
33,KHLN,Helena,1641163980,1641171180,D,21.0,9.0,60.0,WNW,,3.0,26.03,0.0,Fair,HLN,2022-01-02 22:53:00,2022-01-03 00:53:00
34,KHLN,Helena,1641167580,1641174780,N,21.0,9.0,60.0,CALM,,0.0,26.02,0.0,Fair,HLN,2022-01-02 23:53:00,2022-01-03 01:53:00
35,KHLN,Helena,1641171180,1641178380,N,17.0,8.0,68.0,W,,5.0,26.0,0.0,Fair,HLN,2022-01-03 00:53:00,2022-01-03 02:53:00
36,KHLN,Helena,1641174780,1641181980,N,16.0,7.0,68.0,SW,,3.0,25.99,0.0,Fair,HLN,2022-01-03 01:53:00,2022-01-03 03:53:00
37,KHLN,Helena,1641178380,1641185580,N,17.0,8.0,68.0,SW,,6.0,26.0,0.0,Mostly Cloudy,HLN,2022-01-03 02:53:00,2022-01-03 04:53:00
38,KHLN,Helena,1641181980,1641189180,N,15.0,6.0,68.0,VAR,,3.0,26.0,0.0,Fair,HLN,2022-01-03 03:53:00,2022-01-03 05:53:00
39,KHLN,Helena,1641185580,1641192780,N,12.0,5.0,73.0,S,,5.0,25.99,0.0,Fair,HLN,2022-01-03 04:53:00,2022-01-03 06:53:00
40,KHLN,Helena,1641189180,1641196380,N,12.0,5.0,73.0,CALM,,0.0,25.97,0.0,Fair,HLN,2022-01-03 05:53:00,2022-01-03 07:53:00
41,KHLN,Helena,1641196380,1641203580,N,11.0,5.0,77.0,W,,6.0,25.96,0.0,Fair,HLN,2022-01-03 07:53:00,2022-01-03 09:53:00
42,KHLN,Helena,1641199980,1641207180,N,12.0,5.0,73.0,CALM,,0.0,25.95,0.0,Fair,HLN,2022-01-03 08:53:00,2022-01-03 10:53:00
43,KHLN,Helena,1641203580,1641210780,N,9.0,3.0,77.0,CALM,,0.0,25.95,0.0,Fair,HLN,2022-01-03 09:53:00,2022-01-03 11:53:00
44,KHLN,Helena,1641207180,1641214380,N,13.0,5.0,71.0,CALM,,0.0,25.94,0.0,Fair,HLN,2022-01-03 10:53:00,2022-01-03 12:53:00
45,KHLN,Helena,1641210780,1641217980,N,10.0,3.0,73.0,CALM,,0.0,25.92,0.0,Fair,HLN,2022-01-03 11:53:00,2022-01-03 13:53:00
46,KHLN,Helena,1641217980,1641225180,N,12.0,4.0,70.0,W,,5.0,25.87,0.0,Fair,HLN,2022-01-03 13:53:00,2022-01-03 15:53:00
47,KHLN,Helena,1641221580,1641228780,D,13.0,4.0,67.0,W,,6.0,25.85,0.0,Fair,HLN,2022-01-03 14:53:00,2022-01-03 16:53:00
