,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KLMT,Klamath Falls,1641027180,1641034380,N,4.0,1.0,88.0,S,,3.0,25.85,0.0,Fair,LMT,2022-01-01 08:53:00,2022-01-01 10:53:00
1,KLMT,Klamath Falls,1641030780,1641037980,N,0.0,-2.0,91.0,CALM,,0.0,25.86,0.0,Fair,LMT,2022-01-01 09:53:00,2022-01-01 11:53:00
2,KLMT,Klamath Falls,1641034380,1641041580,N,0.0,-4.0,83.0,CALM,,0.0,25.89,0.0,Fair,LMT,2022-01-01 10:53:00,2022-01-01 12:53:00
3,KLMT,Klamath Falls,1641035220,1641042420,N,-1.0,-4.0,87.0,SSE,,3.0,25.9,0.0,Partly Cloudy,LMT,2022-01-01 11:07:00,2022-01-01 13:07:00
4,KLMT,Klamath Falls,1641035460,1641042660,N,0.0,-3.0,88.0,CALM,,0.0,25.9,0.0,Fog,LMT,2022-01-01 11:11:00,2022-01-01 13:11:00
5,KLMT,Klamath Falls,1641035580,1641042780,N,2.0,-2.0,83.0,CALM,,0.0,25.9,0.0,Fog,LMT,2022-01-01 11:13:00,2022-01-01 13:13:00
6,KLMT,Klamath Falls,1641035940,1641043140,N,4.0,1.0,88.0,S,,3.0,25.9,0.0,Fog,LMT,2022-01-01 11:19:00,2022-01-01 13:19:00
7,KLMT,Klamath Falls,1641036540,1641043740,N,3.0,0.0,87.0,SSE,,3.0,25.9,0.0,Fog,LMT,2022-01-01 11:29:00,2022-01-01 13:29:00
8,KLMT,Klamath Falls,1641036900,1641044100,N,4.0,1.0,88.0,CALM,,0.0,25.9,0.0,Fog,LMT,2022-01-01 11:35:00,2022-01-01 13:35:00
9,KLMT,Klamath Falls,1641037080,1641044280,N,4.0,1.0,88.0,ESE,,3.0,25.9,0.0,Partly Cloudy,LMT,2022-01-01 11:38:00,2022-01-01 13:38:00
10,KLMT,Klamath Falls,1641037980,1641045180,N,2.0,0.0,91.0,ESE,,3.0,25.9,0.0,Fair,LMT,2022-01-01 11:53:00,2022-01-01 13:53:00
11,KLMT,Klamath Falls,1641041580,1641048780,N,4.0,0.0,84.0,CALM,,0.0,25.91,0.0,Fair,LMT,2022-01-01 12:53:00,2022-01-01 14:53:00
12,KLMT,Klamath Falls,1641045180,1641052380,N,8.0,4.0,83.0,E,,6.0,25.93,0.0,Fair,LMT,2022-01-01 13:53:00,2022-01-01 15:53:00
13,KLMT,Klamath Falls,1641048780,1641055980,N,2.0,-1.0,88.0,CALM,,0.0,25.96,0.0,Fair,LMT,2022-01-01 14:53:00,2022-01-01 16:53:00
14,KLMT,Klamath Falls,1641052380,1641059580,D,5.0,1.0,84.0,CALM,,0.0,25.97,0.0,Fair,LMT,2022-01-01 15:53:00,2022-01-01 17:53:00
15,KLMT,Klamath Falls,1641055980,1641063180,D,8.0,5.0,87.0,SSE,,6.0,25.99,0.0,Fair,LMT,2022-01-01 16:53:00,2022-01-01 18:53:00
16,KLMT,Klamath Falls,1641059580,1641066780,D,10.0,8.0,92.0,CALM,,0.0,26.02,0.0,Fair,LMT,2022-01-01 17:53:00,2022-01-01 19:53:00
17,KLMT,Klamath Falls,1641063180,1641070380,D,14.0,10.0,84.0,SSE,,3.0,26.02,0.0,Fair,LMT,2022-01-01 18:53:00,2022-01-01 20:53:00
18,KLMT,Klamath Falls,1641066780,1641073980,D,16.0,11.0,81.0,CALM,,0.0,26.01,0.0,Fair,LMT,2022-01-01 19:53:00,2022-01-01 21:53:00
19,KLMT,Klamath Falls,1641070380,1641077580,D,19.0,12.0,74.0,CALM,,0.0,26.0,0.0,Fair,LMT,2022-01-01 20:53:00,2022-01-01 22:53:00
20,KLMT,Klamath Falls,1641073980,1641081180,D,20.0,13.0,74.0,CALM,,0.0,25.99,0.0,Fair,LMT,2022-01-01 21:53:00,2022-01-01 23:53:00
21,KLMT,Klamath Falls,1641077580,1641084780,D,21.0,12.0,68.0,CALM,,0.0,26.0,0.0,Fair,LMT,2022-01-01 22:53:00,2022-01-02 00:53:00
22,KLMT,Klamath Falls,1641081180,1641088380,D,20.0,13.0,74.0,S,,3.0,25.99,0.0,Fair,LMT,2022-01-01 23:53:00,2022-01-02 01:53:00
23,KLMT,Klamath Falls,1641084780,1641091980,N,17.0,11.0,77.0,CALM,,0.0,25.99,0.0,Fair,LMT,2022-01-02 00:53:00,2022-01-02 02:53:00
24,KLMT,Klamath Falls,1641088380,1641095580,N,13.0,8.0,81.0,CALM,,0.0,26.0,0.0,Fair,LMT,2022-01-02 01:53:00,2022-01-02 03:53:00
25,KLMT,Klamath Falls,1641091980,1641099180,N,11.0,7.0,84.0,CALM,,0.0,25.99,0.0,Fair,LMT,2022-01-02 02:53:00,2022-01-02 04:53:00
26,KLMT,Klamath Falls,1641095580,1641102780,N,7.0,4.0,87.0,CALM,,0.0,26.0,0.0,Fair,LMT,2022-01-02 03:53:00,2022-01-02 05:53:00
27,KLMT,Klamath Falls,1641099180,1641106380,N,8.0,5.0,87.0,NNE,,3.0,26.0,0.0,Fair,LMT,2022-01-02 04:53:00,2022-01-02 06:53:00
28,KLMT,Klamath Falls,1641102780,1641109980,N,7.0,4.0,87.0,ESE,,3.0,26.0,0.0,Fair,LMT,2022-01-02 05:53:00,2022-01-02 07:53:00
29,KLMT,Klamath Falls,1641106380,1641113580,N,7.0,3.0,84.0,CALM,,0.0,26.0,0.0,Fair,LMT,2022-01-02 06:53:00,2022-01-02 08:53:00
30,KLMT,Klamath Falls,1641109980,1641117180,N,9.0,6.0,88.0,CALM,,0.0,25.98,0.0,Fair,LMT,2022-01-02 07:53:00,2022-01-02 09:53:00
31,KLMT,Klamath Falls,1641113580,1641120780,N,10.0,6.0,84.0,CALM,,0.0,25.97,0.0,Fair,LMT,2022-01-02 08:53:00,2022-01-02 10:53:00
32,KLMT,Klamath Falls,1641117180,1641124380,N,10.0,6.0,84.0,CALM,,0.0,25.97,0.0,Fair,LMT,2022-01-02 09:53:00,2022-01-02 11:53:00
