,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KNUW,Oak Harbor/Whidbey Island Nas,1641027360,1641034560,N,21.0,16.0,81.0,ESE,,9.0,30.23,0.0,Mostly Cloudy,OKH,2022-01-01 08:56:00,2022-01-01 10:56:00
1,KNUW,Oak Harbor/Whidbey Island Nas,1641030960,1641038160,N,26.0,19.0,75.0,E,,9.0,30.24,0.0,Cloudy,OKH,2022-01-01 09:56:00,2022-01-01 11:56:00
2,KNUW,Oak Harbor/Whidbey Island Nas,1641034560,1641041760,N,27.0,18.0,69.0,E,,8.0,30.25,0.0,Cloudy,OKH,2022-01-01 10:56:00,2022-01-01 12:56:00
3,KNUW,Oak Harbor/Whidbey Island Nas,1641038160,1641045360,N,27.0,18.0,69.0,ESE,,8.0,30.24,0.0,Cloudy,OKH,2022-01-01 11:56:00,2022-01-01 13:56:00
4,KNUW,Oak Harbor/Whidbey Island Nas,1641041760,1641048960,N,27.0,18.0,69.0,E,,12.0,30.24,0.0,Cloudy,OKH,2022-01-01 12:56:00,2022-01-01 14:56:00
5,KNUW,Oak Harbor/Whidbey Island Nas,1641045360,1641052560,N,27.0,18.0,69.0,ESE,,10.0,30.24,0.0,Cloudy,OKH,2022-01-01 13:56:00,2022-01-01 15:56:00
6,KNUW,Oak Harbor/Whidbey Island Nas,1641048960,1641056160,N,28.0,18.0,66.0,E,,14.0,30.23,0.0,Cloudy,OKH,2022-01-01 14:56:00,2022-01-01 16:56:00
7,KNUW,Oak Harbor/Whidbey Island Nas,1641052560,1641059760,D,28.0,18.0,66.0,ESE,,12.0,30.25,0.0,Cloudy,OKH,2022-01-01 15:56:00,2022-01-01 17:56:00
8,KNUW,Oak Harbor/Whidbey Island Nas,1641056160,1641063360,D,28.0,19.0,69.0,ESE,,10.0,30.25,0.0,Cloudy,OKH,2022-01-01 16:56:00,2022-01-01 18:56:00
9,KNUW,Oak Harbor/Whidbey Island Nas,1641059760,1641066960,D,29.0,20.0,69.0,ESE,,14.0,30.24,0.0,Mostly Cloudy,OKH,2022-01-01 17:56:00,2022-01-01 19:56:00
10,KNUW,Oak Harbor/Whidbey Island Nas,1641063360,1641070560,D,31.0,22.0,69.0,ESE,,14.0,30.22,0.0,Cloudy,OKH,2022-01-01 18:56:00,2022-01-01 20:56:00
11,KNUW,Oak Harbor/Whidbey Island Nas,1641066960,1641074160,D,32.0,22.0,66.0,ESE,,13.0,30.2,0.0,Cloudy,OKH,2022-01-01 19:56:00,2022-01-01 21:56:00
12,KNUW,Oak Harbor/Whidbey Island Nas,1641070560,1641077760,D,33.0,23.0,66.0,ESE,,13.0,30.18,0.0,Cloudy,OKH,2022-01-01 20:56:00,2022-01-01 22:56:00
