,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KSDY,Sidney,1641023760,1641030960,N,-22.0,-28.0,74.0,WSW,,8.0,28.07,0.0,Fair,SDY,2022-01-01 07:56:00,2022-01-01 09:56:00
1,KSDY,Sidney,1641027360,1641034560,N,-21.0,-27.0,73.0,SW,,6.0,28.08,0.0,Fair,SDY,2022-01-01 08:56:00,2022-01-01 10:56:00
2,KSDY,Sidney,1641030960,1641038160,N,-23.0,-29.0,74.0,SSW,,6.0,28.07,0.0,Fair,SDY,2022-01-01 09:56:00,2022-01-01 11:56:00
3,KSDY,Sidney,1641034560,1641041760,N,-25.0,-30.0,78.0,SSW,,9.0,28.06,0.0,Fair,SDY,2022-01-01 10:56:00,2022-01-01 12:56:00
4,KSDY,Sidney,1641038160,1641045360,N,-24.0,-30.0,74.0,SSW,,6.0,28.06,0.0,Fair,SDY,2022-01-01 11:56:00,2022-01-01 13:56:00
5,KSDY,Sidney,1641041760,1641048960,N,-25.0,-30.0,78.0,SSW,,5.0,28.06,0.0,Fair,SDY,2022-01-01 12:56:00,2022-01-01 14:56:00
6,KSDY,Sidney,1641045360,1641052560,N,-25.0,-31.0,74.0,SSW,,7.0,28.06,0.0,Fair,SDY,2022-01-01 13:56:00,2022-01-01 15:56:00
7,KSDY,Sidney,1641048960,1641056160,D,-25.0,-30.0,78.0,S,,9.0,28.05,0.0,Fair,SDY,2022-01-01 14:56:00,2022-01-01 16:56:00
8,KSDY,Sidney,1641052560,1641059760,D,-21.0,-27.0,73.0,SSW,,5.0,28.05,0.0,Fair,SDY,2022-01-01 15:56:00,2022-01-01 17:56:00
9,KSDY,Sidney,1641056160,1641063360,D,-17.0,-24.0,70.0,SSW,,9.0,28.05,0.0,Fair,SDY,2022-01-01 16:56:00,2022-01-01 18:56:00
10,KSDY,Sidney,1641059760,1641066960,D,-14.0,-21.0,71.0,SSW,,12.0,28.04,0.0,Fair,SDY,2022-01-01 17:56:00,2022-01-01 19:56:00
11,KSDY,Sidney,1641063360,1641070560,D,-10.0,-18.0,68.0,SSW,,14.0,28.0,0.0,Fair,SDY,2022-01-01 18:56:00,2022-01-01 20:56:00
12,KSDY,Sidney,1641066960,1641074160,D,-7.0,-15.0,68.0,SSW,,13.0,27.99,0.0,Fair,SDY,2022-01-01 19:56:00,2022-01-01 21:56:00
13,KSDY,Sidney,1641070560,1641077760,D,-6.0,-14.0,68.0,SSW,,12.0,,0.0,Fair,SDY,2022-01-01 20:56:00,2022-01-01 22:56:00
14,KSDY,Sidney,1641074160,1641081360,D,-5.0,-13.0,69.0,SSW,,13.0,27.96,0.0,Fair,SDY,2022-01-01 21:56:00,2022-01-01 23:56:00
15,KSDY,Sidney,1641077760,1641084960,D,-7.0,-15.0,68.0,SSW,,7.0,27.95,0.0,Fair,SDY,2022-01-01 22:56:00,2022-01-02 00:56:00
16,KSDY,Sidney,1641081360,1641088560,N,-10.0,-17.0,71.0,SSW,,7.0,27.94,0.0,Fair,SDY,2022-01-01 23:56:00,2022-01-02 01:56:00
17,KSDY,Sidney,1641084960,1641092160,N,-11.0,-17.0,75.0,SSW,,9.0,27.93,0.0,Fair,SDY,2022-01-02 00:56:00,2022-01-02 02:56:00
18,KSDY,Sidney,1641088560,1641095760,N,-13.0,-18.0,78.0,S,,7.0,27.91,0.0,Fair,SDY,2022-01-02 01:56:00,2022-01-02 03:56:00
19,KSDY,Sidney,1641092160,1641099360,N,-11.0,-17.0,75.0,S,,9.0,27.9,0.0,Fair,SDY,2022-01-02 02:56:00,2022-01-02 04:56:00
20,KSDY,Sidney,1641095760,1641102960,N,-11.0,-17.0,75.0,S,,10.0,27.89,0.0,Fair,SDY,2022-01-02 03:56:00,2022-01-02 05:56:00
21,KSDY,Sidney,1641099360,1641106560,N,-13.0,-18.0,78.0,SSW,,9.0,27.87,0.0,Fair,SDY,2022-01-02 04:56:00,2022-01-02 06:56:00
22,KSDY,Sidney,1641102960,1641110160,N,-11.0,-16.0,78.0,S,,8.0,27.87,0.0,Fair,SDY,2022-01-02 05:56:00,2022-01-02 07:56:00
23,KSDY,Sidney,1641106560,1641113760,N,-8.0,-14.0,75.0,SSW,,9.0,27.85,0.0,Fair,SDY,2022-01-02 06:56:00,2022-01-02 08:56:00
