,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,start_day,start_month,start_year,start_isoweekday,start_hour_gmt,start_minute_gmt,record_end_date,end_hour_gmt,end_minute_gmt
0,KBZN,Bozeman,1641023760,1641030960,N,,,,CALM,,0.0,25.38,0.0,Cloudy,BZN,2022-01-01 07:56:00,1,1,2022,5,7,56,2022-01-01 09:56:00,9,56
1,KBZN,Bozeman,1641027360,1641034560,N,,,,CALM,,0.0,25.39,0.0,Cloudy,BZN,2022-01-01 08:56:00,1,1,2022,5,8,56,2022-01-01 10:56:00,10,56
2,KBZN,Bozeman,1641030960,1641038160,N,,,,NE,,5.0,25.41,0.0,Mostly Cloudy,BZN,2022-01-01 09:56:00,1,1,2022,5,9,56,2022-01-01 11:56:00,11,56
3,KBZN,Bozeman,1641034560,1641041760,N,-5.0,-10.0,80.0,CALM,,0.0,25.44,0.0,Cloudy,BZN,2022-01-01 10:56:00,1,1,2022,5,10,56,2022-01-01 12:56:00,12,56
4,KBZN,Bozeman,1641038160,1641045360,N,-5.0,-10.0,80.0,SSE,,5.0,25.43,0.0,Fair,BZN,2022-01-01 11:56:00,1,1,2022,5,11,56,2022-01-01 13:56:00,13,56
5,KBZN,Bozeman,1641041760,1641048960,N,-10.0,-16.0,74.0,N,,5.0,25.44,0.0,Fair,BZN,2022-01-01 12:56:00,1,1,2022,5,12,56,2022-01-01 14:56:00,14,56
6,KBZN,Bozeman,1641045360,1641052560,N,-12.0,-19.0,71.0,CALM,,0.0,25.46,0.0,Fair,BZN,2022-01-01 13:56:00,1,1,2022,5,13,56,2022-01-01 15:56:00,15,56
7,KBZN,Bozeman,1641048960,1641056160,D,-14.0,-22.0,68.0,CALM,,0.0,25.47,0.0,Fair,BZN,2022-01-01 14:56:00,1,1,2022,5,14,56,2022-01-01 16:56:00,16,56
8,KBZN,Bozeman,1641052560,1641059760,D,-12.0,-16.0,82.0,E,,3.0,25.49,0.0,Fair,BZN,2022-01-01 15:56:00,1,1,2022,5,15,56,2022-01-01 17:56:00,17,56
9,KBZN,Bozeman,1641056160,1641063360,D,-11.0,,,SSW,,3.0,25.51,0.0,Fair,BZN,2022-01-01 16:56:00,1,1,2022,5,16,56,2022-01-01 18:56:00,18,56
10,KBZN,Bozeman,1641059760,1641066960,D,0.0,-4.0,83.0,CALM,,0.0,25.52,0.0,Fair,BZN,2022-01-01 17:56:00,1,1,2022,5,17,56,2022-01-01 19:56:00,19,56
11,KBZN,Bozeman,1641063360,1641070560,D,-2.0,-11.0,66.0,NE,,5.0,25.5,0.0,Fair,BZN,2022-01-01 18:56:00,1,1,2022,5,18,56,2022-01-01 20:56:00,20,56
12,KBZN,Bozeman,1641066960,1641074160,D,9.0,-7.0,48.0,CALM,,0.0,25.49,0.0,Fair,BZN,2022-01-01 19:56:00,1,1,2022,5,19,56,2022-01-01 21:56:00,21,56
13,KBZN,Bozeman,1641070560,1641077760,D,-1.0,-7.0,75.0,CALM,,0.0,25.47,0.0,Fair,BZN,2022-01-01 20:56:00,1,1,2022,5,20,56,2022-01-01 22:56:00,22,56
14,KBZN,Bozeman,1641074160,1641081360,D,-2.0,-8.0,76.0,CALM,,0.0,25.49,0.0,Partly Cloudy,BZN,2022-01-01 21:56:00,1,1,2022,5,21,56,2022-01-01 23:56:00,23,56
15,KBZN,Bozeman,1641077760,1641084960,D,,,,CALM,,0.0,25.49,0.0,Cloudy,BZN,2022-01-01 22:56:00,1,1,2022,5,22,56,2022-01-02 00:56:00,0,56
16,KBZN,Bozeman,1641081360,1641088560,N,1.0,,,CALM,,0.0,25.49,0.0,Cloudy,BZN,2022-01-01 23:56:00,1,1,2022,5,23,56,2022-01-02 01:56:00,1,56
17,KBZN,Bozeman,1641084960,1641092160,N,1.0,-6.0,72.0,CALM,,0.0,25.5,0.0,Cloudy,BZN,2022-01-02 00:56:00,2,1,2022,6,0,56,2022-01-02 02:56:00,2,56
18,KBZN,Bozeman,1641088560,1641095760,N,3.0,-2.0,80.0,CALM,,0.0,25.5,0.0,Cloudy,BZN,2022-01-02 01:56:00,2,1,2022,6,1,56,2022-01-02 03:56:00,3,56
19,KBZN,Bozeman,1641092160,1641099360,N,4.0,,,CALM,,0.0,25.53,0.0,Cloudy,BZN,2022-01-02 02:56:00,2,1,2022,6,2,56,2022-01-02 04:56:00,4,56
20,KBZN,Bozeman,1641095760,1641102960,N,,,,ESE,,7.0,25.55,0.0,Cloudy,BZN,2022-01-02 03:56:00,2,1,2022,6,3,56,2022-01-02 05:56:00,5,56
21,KBZN,Bozeman,1641099360,1641106560,N,,,,SSW,,3.0,25.55,0.0,Cloudy,BZN,2022-01-02 04:56:00,2,1,2022,6,4,56,2022-01-02 06:56:00,6,56
22,KBZN,Bozeman,1641102960,1641110160,N,8.0,,,CALM,,0.0,25.56,0.0,Cloudy,BZN,2022-01-02 05:56:00,2,1,2022,6,5,56,2022-01-02 07:56:00,7,56
23,KBZN,Bozeman,1641106560,1641113760,N,8.0,,,NE,,3.0,25.57,0.0,Fair,BZN,2022-01-02 06:56:00,2,1,2022,6,6,56,2022-01-02 08:56:00,8,56
24,KBZN,Bozeman,1641110160,1641117360,N,,,,WSW,,3.0,25.56,0.0,Fair,BZN,2022-01-02 07:56:00,2,1,2022,6,7,56,2022-01-02 09:56:00,9,56
25,KBZN,Bozeman,1641113760,1641120960,N,,,,NNE,,5.0,25.57,0.0,Fair,BZN,2022-01-02 08:56:00,2,1,2022,6,8,56,2022-01-02 10:56:00,10,56
26,KBZN,Bozeman,1641117360,1641124560,N,,,,S,,6.0,25.58,0.0,Fair,BZN,2022-01-02 09:56:00,2,1,2022,6,9,56,2022-01-02 11:56:00,11,56
27,KBZN,Bozeman,1641120960,1641128160,N,,,,CALM,,0.0,25.58,0.0,Fair,BZN,2022-01-02 10:56:00,2,1,2022,6,10,56,2022-01-02 12:56:00,12,56
28,KBZN,Bozeman,1641124560,1641131760,N,7.0,,,ESE,,3.0,25.58,0.0,Fair,BZN,2022-01-02 11:56:00,2,1,2022,6,11,56,2022-01-02 13:56:00,13,56
29,KBZN,Bozeman,1641128160,1641135360,N,6.0,2.0,83.0,CALM,,0.0,25.58,0.0,Fair,BZN,2022-01-02 12:56:00,2,1,2022,6,12,56,2022-01-02 14:56:00,14,56
30,KBZN,Bozeman,1641131760,1641138960,N,6.0,1.0,80.0,CALM,,0.0,25.58,0.0,Fair,BZN,2022-01-02 13:56:00,2,1,2022,6,13,56,2022-01-02 15:56:00,15,56
31,KBZN,Bozeman,1641135360,1641142560,D,6.0,1.0,80.0,ENE,,3.0,25.58,0.0,Fair,BZN,2022-01-02 14:56:00,2,1,2022,6,14,56,2022-01-02 16:56:00,16,56
32,KBZN,Bozeman,1641138960,1641146160,D,7.0,3.0,84.0,CALM,,0.0,25.58,0.0,Fair,BZN,2022-01-02 15:56:00,2,1,2022,6,15,56,2022-01-02 17:56:00,17,56
33,KBZN,Bozeman,1641142560,1641149760,D,9.0,7.0,92.0,CALM,,0.0,25.58,0.0,Fair,BZN,2022-01-02 16:56:00,2,1,2022,6,16,56,2022-01-02 18:56:00,18,56
