,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KCLM,Port Angeles,1641027180,1641034380,N,20.0,14.0,78.0,SW,,3.0,29.89,0.0,Fair,CLM,2022-01-01 08:53:00,2022-01-01 10:53:00
1,KCLM,Port Angeles,1641030780,1641037980,N,24.0,17.0,75.0,SW,,5.0,29.9,0.0,Mostly Cloudy,CLM,2022-01-01 09:53:00,2022-01-01 11:53:00
2,KCLM,Port Angeles,1641034380,1641041580,N,23.0,18.0,81.0,SSW,,3.0,29.9,0.0,Mostly Cloudy,CLM,2022-01-01 10:53:00,2022-01-01 12:53:00
3,KCLM,Port Angeles,1641037980,1641045180,N,26.0,19.0,75.0,SW,,5.0,29.9,0.0,Cloudy,CLM,2022-01-01 11:53:00,2022-01-01 13:53:00
4,KCLM,Port Angeles,1641041580,1641048780,N,26.0,21.0,81.0,WSW,,5.0,29.89,0.0,Cloudy,CLM,2022-01-01 12:53:00,2022-01-01 14:53:00
5,KCLM,Port Angeles,1641045180,1641052380,N,27.0,21.0,78.0,CALM,,0.0,29.89,0.0,Cloudy,CLM,2022-01-01 13:53:00,2022-01-01 15:53:00
6,KCLM,Port Angeles,1641048780,1641055980,N,25.0,20.0,81.0,SSW,,3.0,29.88,0.0,Cloudy,CLM,2022-01-01 14:53:00,2022-01-01 16:53:00
7,KCLM,Port Angeles,1641052380,1641059580,D,28.0,21.0,75.0,SW,,6.0,29.89,0.0,Cloudy,CLM,2022-01-01 15:53:00,2022-01-01 17:53:00
8,KCLM,Port Angeles,1641055980,1641063180,D,26.0,22.0,84.0,CALM,,0.0,29.89,0.0,Cloudy,CLM,2022-01-01 16:53:00,2022-01-01 18:53:00
9,KCLM,Port Angeles,1641059580,1641066780,D,29.0,24.0,82.0,CALM,,0.0,29.88,0.0,Cloudy,CLM,2022-01-01 17:53:00,2022-01-01 19:53:00
10,KCLM,Port Angeles,1641063180,1641070380,D,33.0,23.0,66.0,SW,,3.0,29.88,0.0,Cloudy,CLM,2022-01-01 18:53:00,2022-01-01 20:53:00
11,KCLM,Port Angeles,1641066780,1641073980,D,34.0,22.0,61.0,CALM,,0.0,29.85,0.0,Cloudy,CLM,2022-01-01 19:53:00,2022-01-01 21:53:00
12,KCLM,Port Angeles,1641070380,1641077580,D,35.0,24.0,64.0,SE,,3.0,29.83,0.0,Mostly Cloudy,CLM,2022-01-01 20:53:00,2022-01-01 22:53:00
13,KCLM,Port Angeles,1641073980,1641081180,D,35.0,24.0,64.0,CALM,,0.0,29.8,0.0,Fair,CLM,2022-01-01 21:53:00,2022-01-01 23:53:00
14,KCLM,Port Angeles,1641077580,1641084780,D,34.0,24.0,67.0,E,,5.0,29.78,0.0,Fair,CLM,2022-01-01 22:53:00,2022-01-02 00:53:00
15,KCLM,Port Angeles,1641081180,1641088380,D,33.0,24.0,70.0,CALM,,0.0,29.76,0.0,Fair,CLM,2022-01-01 23:53:00,2022-01-02 01:53:00
16,KCLM,Port Angeles,1641084780,1641091980,N,27.0,23.0,85.0,CALM,,0.0,29.73,0.0,Fair,CLM,2022-01-02 00:53:00,2022-01-02 02:53:00
17,KCLM,Port Angeles,1641088380,1641095580,N,26.0,22.0,84.0,S,,3.0,29.69,0.0,Fair,CLM,2022-01-02 01:53:00,2022-01-02 03:53:00
18,KCLM,Port Angeles,1641091980,1641099180,N,27.0,24.0,89.0,VAR,,3.0,29.65,0.0,Fair,CLM,2022-01-02 02:53:00,2022-01-02 04:53:00
19,KCLM,Port Angeles,1641095580,1641102780,N,29.0,24.0,82.0,CALM,,0.0,29.62,0.0,Fair,CLM,2022-01-02 03:53:00,2022-01-02 05:53:00
