,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KGDV,Glendive,1641023760,1641030960,N,-17.0,-24.0,70.0,SW,,7.0,,0.0,Fair,GDV,2022-01-01 07:56:00,2022-01-01 09:56:00
1,KGDV,Glendive,1641027360,1641034560,N,-18.0,-25.0,70.0,SW,,8.0,27.53,0.0,Fair,GDV,2022-01-01 08:56:00,2022-01-01 10:56:00
2,KGDV,Glendive,1641030960,1641038160,N,-19.0,-26.0,70.0,SSW,,7.0,27.53,0.0,Fair,GDV,2022-01-01 09:56:00,2022-01-01 11:56:00
3,KGDV,Glendive,1641034560,1641041760,N,-20.0,-26.0,74.0,SSW,,5.0,27.52,0.0,Fair,GDV,2022-01-01 10:56:00,2022-01-01 12:56:00
4,KGDV,Glendive,1641038160,1641045360,N,-18.0,-28.0,61.0,CALM,,0.0,27.51,0.0,Fair,GDV,2022-01-01 11:56:00,2022-01-01 13:56:00
5,KGDV,Glendive,1641041760,1641048960,N,-20.0,-27.0,70.0,S,,6.0,27.53,0.0,Fair,GDV,2022-01-01 12:56:00,2022-01-01 14:56:00
6,KGDV,Glendive,1641045360,1641052560,N,-19.0,-27.0,66.0,S,,6.0,27.52,0.0,Fair,GDV,2022-01-01 13:56:00,2022-01-01 15:56:00
7,KGDV,Glendive,1641048960,1641056160,D,-21.0,-27.0,73.0,S,,9.0,27.52,0.0,Fair,GDV,2022-01-01 14:56:00,2022-01-01 16:56:00
8,KGDV,Glendive,1641052560,1641059760,D,-19.0,-24.0,78.0,S,,7.0,27.52,0.0,Fair,GDV,2022-01-01 15:56:00,2022-01-01 17:56:00
9,KGDV,Glendive,1641056160,1641063360,D,-11.0,-18.0,71.0,SSW,,14.0,,0.0,Fair,GDV,2022-01-01 16:56:00,2022-01-01 18:56:00
10,KGDV,Glendive,1641059760,1641066960,D,-10.0,-17.0,71.0,S,,13.0,,0.0,Fair,GDV,2022-01-01 17:56:00,2022-01-01 19:56:00
11,KGDV,Glendive,1641063360,1641070560,D,-9.0,-16.0,71.0,SSW,,16.0,27.47,0.0,Fair,GDV,2022-01-01 18:56:00,2022-01-01 20:56:00
12,KGDV,Glendive,1641066960,1641074160,D,-7.0,-14.0,72.0,SSW,,13.0,27.46,0.0,Fair,GDV,2022-01-01 19:56:00,2022-01-01 21:56:00
13,KGDV,Glendive,1641070560,1641077760,D,-6.0,-14.0,68.0,SSW,,17.0,,0.0,Fair,GDV,2022-01-01 20:56:00,2022-01-01 22:56:00
14,KGDV,Glendive,1641074160,1641081360,D,-5.0,-13.0,69.0,SSW,,13.0,27.43,0.0,Fair,GDV,2022-01-01 21:56:00,2022-01-01 23:56:00
15,KGDV,Glendive,1641077760,1641084960,D,-7.0,-14.0,72.0,,,,,0.0,Fair,GDV,2022-01-01 22:56:00,2022-01-02 00:56:00
16,KGDV,Glendive,1641081360,1641088560,N,-9.0,-16.0,71.0,SSW,,14.0,27.41,0.0,Fair,GDV,2022-01-01 23:56:00,2022-01-02 01:56:00
17,KGDV,Glendive,1641084960,1641092160,N,-13.0,-18.0,78.0,S,,10.0,27.4,0.0,Fair,GDV,2022-01-02 00:56:00,2022-01-02 02:56:00
18,KGDV,Glendive,1641088560,1641095760,N,-13.0,-19.0,75.0,S,,9.0,,0.0,Fair,GDV,2022-01-02 01:56:00,2022-01-02 03:56:00
19,KGDV,Glendive,1641092160,1641099360,N,-13.0,-19.0,75.0,S,,6.0,27.39,0.0,Fair,GDV,2022-01-02 02:56:00,2022-01-02 04:56:00
20,KGDV,Glendive,1641095760,1641102960,N,-11.0,-18.0,71.0,S,,9.0,27.37,0.0,Fair,GDV,2022-01-02 03:56:00,2022-01-02 05:56:00
21,KGDV,Glendive,1641099360,1641106560,N,-10.0,-16.0,74.0,S,,10.0,27.36,0.0,Fair,GDV,2022-01-02 04:56:00,2022-01-02 06:56:00
22,KGDV,Glendive,1641102960,1641110160,N,-11.0,-16.0,78.0,S,,10.0,27.35,0.0,Fair,GDV,2022-01-02 05:56:00,2022-01-02 07:56:00
23,KGDV,Glendive,1641106560,1641113760,N,-9.0,-15.0,75.0,S,,12.0,27.35,0.0,Fair,GDV,2022-01-02 06:56:00,2022-01-02 08:56:00
