,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KGEG,Spokane,1641025200,1641032400,N,2,-1,88,CALM,,0.0,27.64,0.0,Light Snow,GEG,2022-01-01 08:20:00,2022-01-01 10:20:00
1,KGEG,Spokane,1641027180,1641034380,N,2,-2,83,S,,3.0,27.64,0.0,Light Snow,GEG,2022-01-01 08:53:00,2022-01-01 10:53:00
2,KGEG,Spokane,1641030780,1641037980,N,5,1,84,SSE,,7.0,27.67,0.0,Light Snow,GEG,2022-01-01 09:53:00,2022-01-01 11:53:00
3,KGEG,Spokane,1641034380,1641041580,N,6,2,83,S,,6.0,27.68,0.0,Light Snow,GEG,2022-01-01 10:53:00,2022-01-01 12:53:00
4,KGEG,Spokane,1641037980,1641045180,N,6,1,80,S,,8.0,27.68,0.0,Light Snow,GEG,2022-01-01 11:53:00,2022-01-01 13:53:00
5,KGEG,Spokane,1641041580,1641048780,N,6,1,80,SSE,,8.0,27.68,0.0,Light Snow,GEG,2022-01-01 12:53:00,2022-01-01 14:53:00
6,KGEG,Spokane,1641045180,1641052380,N,6,1,80,SSE,,6.0,27.69,0.0,Light Snow,GEG,2022-01-01 13:53:00,2022-01-01 15:53:00
7,KGEG,Spokane,1641048780,1641055980,N,6,1,80,S,,3.0,27.7,0.0,Light Snow,GEG,2022-01-01 14:53:00,2022-01-01 16:53:00
8,KGEG,Spokane,1641050700,1641057900,D,6,1,80,SSE,,3.0,27.71,0.0,Mostly Cloudy,GEG,2022-01-01 15:25:00,2022-01-01 17:25:00
9,KGEG,Spokane,1641052380,1641059580,D,6,1,80,S,,3.0,27.71,0.0,Mostly Cloudy,GEG,2022-01-01 15:53:00,2022-01-01 17:53:00
