,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,start_day,start_month,start_year,start_isoweekday,start_hour_gmt,start_minute_gmt,record_end_date,end_hour_gmt,end_minute_gmt
0,KIDA,Idaho Falls,1641023580,1641030780,N,-7.0,-11.0,83.0,WNW,,5.0,25.06,0.0,Fair,IDA,2022-01-01 07:53:00,1,1,2022,5,7,53,2022-01-01 09:53:00,9,53
1,KIDA,Idaho Falls,1641027180,1641034380,N,-1.0,-6.0,79.0,CALM,,0.0,25.08,0.0,Fair,IDA,2022-01-01 08:53:00,1,1,2022,5,8,53,2022-01-01 10:53:00,10,53
2,KIDA,Idaho Falls,1641030780,1641037980,N,-8.0,-11.0,86.0,CALM,,0.0,25.11,0.0,Partly Cloudy,IDA,2022-01-01 09:53:00,1,1,2022,5,9,53,2022-01-01 11:53:00,11,53
3,KIDA,Idaho Falls,1641031260,1641038460,N,-9.0,-12.0,87.0,CALM,,0.0,25.11,0.0,Mostly Cloudy,IDA,2022-01-01 10:01:00,1,1,2022,5,10,1,2022-01-01 12:01:00,12,1
4,KIDA,Idaho Falls,1641031860,1641039060,N,-9.0,-15.0,75.0,WNW,,6.0,25.12,0.0,Cloudy,IDA,2022-01-01 10:11:00,1,1,2022,5,10,11,2022-01-01 12:11:00,12,11
5,KIDA,Idaho Falls,1641034380,1641041580,N,0.0,-6.0,76.0,SSW,,5.0,25.13,0.0,Cloudy,IDA,2022-01-01 10:53:00,1,1,2022,5,10,53,2022-01-01 12:53:00,12,53
6,KIDA,Idaho Falls,1641035160,1641042360,N,-1.0,-8.0,72.0,SSW,,5.0,25.15,0.0,Partly Cloudy,IDA,2022-01-01 11:06:00,1,1,2022,5,11,6,2022-01-01 13:06:00,13,6
7,KIDA,Idaho Falls,1641037980,1641045180,N,-4.0,-8.0,83.0,S,,7.0,25.16,0.0,Mostly Cloudy,IDA,2022-01-01 11:53:00,1,1,2022,5,11,53,2022-01-01 13:53:00,13,53
8,KIDA,Idaho Falls,1641039000,1641046200,N,-1.0,-3.0,91.0,SW,,3.0,25.17,0.0,Partly Cloudy,IDA,2022-01-01 12:10:00,1,1,2022,5,12,10,2022-01-01 14:10:00,14,10
9,KIDA,Idaho Falls,1641040260,1641047460,N,-1.0,-6.0,79.0,SSW,,7.0,25.18,0.0,Mostly Cloudy,IDA,2022-01-01 12:31:00,1,1,2022,5,12,31,2022-01-01 14:31:00,14,31
10,KIDA,Idaho Falls,1641040740,1641047940,N,0.0,-5.0,79.0,SSW,,7.0,25.18,0.0,Haze,IDA,2022-01-01 12:39:00,1,1,2022,5,12,39,2022-01-01 14:39:00,14,39
11,KIDA,Idaho Falls,1641041280,1641048480,N,0.0,-4.0,85.0,SSW,,6.0,25.18,0.0,Mostly Cloudy,IDA,2022-01-01 12:48:00,1,1,2022,5,12,48,2022-01-01 14:48:00,14,48
12,KIDA,Idaho Falls,1641041580,1641048780,N,-1.0,-5.0,83.0,SSW,,7.0,25.19,0.0,Mostly Cloudy,IDA,2022-01-01 12:53:00,1,1,2022,5,12,53,2022-01-01 14:53:00,14,53
