,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KLWS,Lewiston,1641027360,1641034560,N,5.0,0.0,80.0,CALM,,0.0,28.74,0.0,Cloudy,LWS,2022-01-01 08:56:00,2022-01-01 10:56:00
1,KLWS,Lewiston,1641030960,1641038160,N,3.0,-1.0,84.0,SE,,6.0,28.76,0.0,Unknown Precipitation,LWS,2022-01-01 09:56:00,2022-01-01 11:56:00
2,KLWS,Lewiston,1641034560,1641041760,N,3.0,-1.0,84.0,CALM,,0.0,28.78,0.0,Cloudy,LWS,2022-01-01 10:56:00,2022-01-01 12:56:00
3,KLWS,Lewiston,1641037860,1641045060,N,3.0,0.0,85.0,SE,,3.0,28.79,0.0,Cloudy,LWS,2022-01-01 11:51:00,2022-01-01 13:51:00
4,KLWS,Lewiston,1641038160,1641045360,N,3.0,-1.0,84.0,SE,,3.0,28.79,0.0,Cloudy,LWS,2022-01-01 11:56:00,2022-01-01 13:56:00
5,KLWS,Lewiston,1641041760,1641048960,N,2.0,-1.0,88.0,CALM,,0.0,28.79,0.0,Mostly Cloudy,LWS,2022-01-01 12:56:00,2022-01-01 14:56:00
6,KLWS,Lewiston,1641042240,1641049440,N,4.0,-1.0,80.0,ESE,,3.0,28.79,0.0,Partly Cloudy,LWS,2022-01-01 13:04:00,2022-01-01 15:04:00
7,KLWS,Lewiston,1641045360,1641052560,N,1.0,-3.0,83.0,ESE,,5.0,28.81,0.0,Fair,LWS,2022-01-01 13:56:00,2022-01-01 15:56:00
8,KLWS,Lewiston,1641048960,1641056160,N,2.0,-3.0,80.0,CALM,,0.0,28.81,0.0,Fair,LWS,2022-01-01 14:56:00,2022-01-01 16:56:00
9,KLWS,Lewiston,1641052560,1641059760,D,1.0,-3.0,83.0,CALM,,0.0,28.82,0.0,Fair,LWS,2022-01-01 15:56:00,2022-01-01 17:56:00
10,KLWS,Lewiston,1641056160,1641063360,D,5.0,1.0,84.0,CALM,,0.0,28.83,0.0,Fair,LWS,2022-01-01 16:56:00,2022-01-01 18:56:00
11,KLWS,Lewiston,1641059760,1641066960,D,5.0,-1.0,76.0,CALM,,0.0,28.84,0.0,Mostly Cloudy,LWS,2022-01-01 17:56:00,2022-01-01 19:56:00
12,KLWS,Lewiston,1641063360,1641070560,D,8.0,0.0,70.0,E,,5.0,28.82,0.0,Cloudy,LWS,2022-01-01 18:56:00,2022-01-01 20:56:00
