,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KMSO,Missoula,1641023580,1641030780,N,10.0,3.0,73.0,CALM,,0.0,26.7,0.0,Light Snow,MSO,2022-01-01 07:53:00,2022-01-01 09:53:00
1,KMSO,Missoula,1641027180,1641034380,N,10.0,4.0,76.0,CALM,,0.0,26.72,0.0,Light Snow,MSO,2022-01-01 08:53:00,2022-01-01 10:53:00
2,KMSO,Missoula,1641030780,1641037980,N,9.0,5.0,84.0,SE,,3.0,26.75,0.0,Cloudy,MSO,2022-01-01 09:53:00,2022-01-01 11:53:00
3,KMSO,Missoula,1641034380,1641041580,N,8.0,3.0,80.0,ESE,,7.0,26.75,0.0,Cloudy,MSO,2022-01-01 10:53:00,2022-01-01 12:53:00
4,KMSO,Missoula,1641037980,1641045180,N,9.0,2.0,73.0,E,,6.0,26.77,0.0,Cloudy,MSO,2022-01-01 11:53:00,2022-01-01 13:53:00
5,KMSO,Missoula,1641041580,1641048780,N,6.0,1.0,80.0,ESE,,7.0,26.78,0.0,Cloudy,MSO,2022-01-01 12:53:00,2022-01-01 14:53:00
6,KMSO,Missoula,1641045180,1641052380,N,3.0,-2.0,80.0,E,,9.0,26.8,0.0,Partly Cloudy,MSO,2022-01-01 13:53:00,2022-01-01 15:53:00
7,KMSO,Missoula,1641048780,1641055980,D,1.0,-4.0,79.0,ESE,,8.0,26.83,0.0,Fair,MSO,2022-01-01 14:53:00,2022-01-01 16:53:00
8,KMSO,Missoula,1641051900,1641059100,D,0.0,-5.0,79.0,ESE,,7.0,26.84,0.0,Fair,MSO,2022-01-01 15:45:00,2022-01-01 17:45:00
9,KMSO,Missoula,1641052380,1641059580,D,0.0,-5.0,79.0,ESE,,7.0,26.84,0.0,Fair,MSO,2022-01-01 15:53:00,2022-01-01 17:53:00
10,KMSO,Missoula,1641055980,1641063180,D,1.0,-5.0,75.0,ESE,,5.0,26.86,0.0,Fair,MSO,2022-01-01 16:53:00,2022-01-01 18:53:00
11,KMSO,Missoula,1641059580,1641066780,D,3.0,-3.0,76.0,ESE,,6.0,26.88,0.0,Fair,MSO,2022-01-01 17:53:00,2022-01-01 19:53:00
12,KMSO,Missoula,1641063180,1641070380,D,7.0,-1.0,70.0,E,,3.0,26.86,0.0,Cloudy,MSO,2022-01-01 18:53:00,2022-01-01 20:53:00
13,KMSO,Missoula,1641066780,1641073980,D,9.0,1.0,70.0,CALM,,0.0,26.86,0.0,Cloudy,MSO,2022-01-01 19:53:00,2022-01-01 21:53:00
14,KMSO,Missoula,1641070380,1641077580,D,10.0,2.0,70.0,CALM,,0.0,26.85,0.0,Cloudy,MSO,2022-01-01 20:53:00,2022-01-01 22:53:00
15,KMSO,Missoula,1641073980,1641081180,D,12.0,3.0,67.0,CALM,,0.0,26.85,0.0,Cloudy,MSO,2022-01-01 21:53:00,2022-01-01 23:53:00
16,KMSO,Missoula,1641077580,1641084780,D,13.0,2.0,62.0,NNW,,5.0,26.85,0.0,Cloudy,MSO,2022-01-01 22:53:00,2022-01-02 00:53:00
17,KMSO,Missoula,1641081180,1641088380,D,11.0,4.0,73.0,WSW,,3.0,26.85,0.0,Cloudy,MSO,2022-01-01 23:53:00,2022-01-02 01:53:00
18,KMSO,Missoula,1641084780,1641091980,N,12.0,4.0,70.0,WNW,,3.0,26.86,0.0,Cloudy,MSO,2022-01-02 00:53:00,2022-01-02 02:53:00
19,KMSO,Missoula,1641088380,1641095580,N,12.0,3.0,67.0,CALM,,0.0,26.85,0.0,Cloudy,MSO,2022-01-02 01:53:00,2022-01-02 03:53:00
20,KMSO,Missoula,1641091980,1641099180,N,13.0,4.0,67.0,CALM,,0.0,26.85,0.0,Cloudy,MSO,2022-01-02 02:53:00,2022-01-02 04:53:00
21,KMSO,Missoula,1641095580,1641102780,N,13.0,4.0,67.0,CALM,,0.0,26.85,0.0,Mostly Cloudy,MSO,2022-01-02 03:53:00,2022-01-02 05:53:00
22,KMSO,Missoula,1641099180,1641106380,N,9.0,3.0,77.0,CALM,,0.0,26.86,0.0,Fair,MSO,2022-01-02 04:53:00,2022-01-02 06:53:00
23,KMSO,Missoula,1641102780,1641109980,N,10.0,3.0,73.0,NW,,3.0,26.86,0.0,Fair,MSO,2022-01-02 05:53:00,2022-01-02 07:53:00
24,KMSO,Missoula,1641106380,1641113580,N,10.0,4.0,76.0,CALM,,0.0,26.85,0.0,Fair,MSO,2022-01-02 06:53:00,2022-01-02 08:53:00
25,KMSO,Missoula,1641109980,1641117180,N,8.0,2.0,76.0,CALM,,0.0,26.86,0.0,Fair,MSO,2022-01-02 07:53:00,2022-01-02 09:53:00
26,KMSO,Missoula,1641113580,1641120780,N,8.0,3.0,80.0,CALM,,0.0,26.85,0.0,Fair,MSO,2022-01-02 08:53:00,2022-01-02 10:53:00
27,KMSO,Missoula,1641117180,1641124380,N,10.0,3.0,73.0,CALM,,0.0,26.85,0.0,Fair,MSO,2022-01-02 09:53:00,2022-01-02 11:53:00
28,KMSO,Missoula,1641120780,1641127980,N,8.0,3.0,80.0,NW,,3.0,26.85,0.0,Fair,MSO,2022-01-02 10:53:00,2022-01-02 12:53:00
29,KMSO,Missoula,1641124380,1641131580,N,7.0,2.0,80.0,NW,,3.0,26.85,0.0,Fair,MSO,2022-01-02 11:53:00,2022-01-02 13:53:00
30,KMSO,Missoula,1641127980,1641135180,N,7.0,3.0,84.0,CALM,,0.0,26.83,0.0,Fair,MSO,2022-01-02 12:53:00,2022-01-02 14:53:00
31,KMSO,Missoula,1641131580,1641138780,N,7.0,3.0,84.0,CALM,,0.0,26.81,0.0,Fair,MSO,2022-01-02 13:53:00,2022-01-02 15:53:00
32,KMSO,Missoula,1641135180,1641142380,D,9.0,4.0,80.0,N,,3.0,26.8,0.0,Fair,MSO,2022-01-02 14:53:00,2022-01-02 16:53:00
33,KMSO,Missoula,1641138780,1641145980,D,6.0,2.0,83.0,CALM,,0.0,26.8,0.0,Fair,MSO,2022-01-02 15:53:00,2022-01-02 17:53:00
34,KMSO,Missoula,1641142380,1641149580,D,9.0,3.0,77.0,CALM,,0.0,26.8,0.0,Fair,MSO,2022-01-02 16:53:00,2022-01-02 18:53:00
35,KMSO,Missoula,1641145980,1641153180,D,10.0,5.0,80.0,W,,5.0,26.79,0.0,Fair,MSO,2022-01-02 17:53:00,2022-01-02 19:53:00
36,KMSO,Missoula,1641149580,1641156780,D,14.0,6.0,71.0,W,,6.0,26.77,0.0,Fair,MSO,2022-01-02 18:53:00,2022-01-02 20:53:00
37,KMSO,Missoula,1641153180,1641160380,D,15.0,7.0,70.0,WNW,,6.0,26.73,0.0,Fair,MSO,2022-01-02 19:53:00,2022-01-02 21:53:00
38,KMSO,Missoula,1641156780,1641163980,D,16.0,7.0,68.0,WNW,,5.0,26.71,0.0,Fair,MSO,2022-01-02 20:53:00,2022-01-02 22:53:00
39,KMSO,Missoula,1641160380,1641167580,D,15.0,7.0,70.0,WSW,,6.0,26.69,0.0,Fair,MSO,2022-01-02 21:53:00,2022-01-02 23:53:00
40,KMSO,Missoula,1641163980,1641171180,D,16.0,8.0,71.0,NNW,,5.0,26.69,0.0,Fair,MSO,2022-01-02 22:53:00,2022-01-03 00:53:00
41,KMSO,Missoula,1641167580,1641174780,D,16.0,8.0,71.0,W,,5.0,26.67,0.0,Partly Cloudy,MSO,2022-01-02 23:53:00,2022-01-03 01:53:00
42,KMSO,Missoula,1641171180,1641178380,N,16.0,8.0,71.0,W,,6.0,26.68,0.0,Cloudy,MSO,2022-01-03 00:53:00,2022-01-03 02:53:00
43,KMSO,Missoula,1641174780,1641181980,N,17.0,10.0,74.0,E,,5.0,26.68,0.0,Cloudy,MSO,2022-01-03 01:53:00,2022-01-03 03:53:00
44,KMSO,Missoula,1641178380,1641185580,N,17.0,9.0,71.0,CALM,,0.0,26.67,0.0,Partly Cloudy,MSO,2022-01-03 02:53:00,2022-01-03 04:53:00
45,KMSO,Missoula,1641181980,1641189180,N,12.0,7.0,80.0,NNW,,3.0,26.66,0.0,Fair,MSO,2022-01-03 03:53:00,2022-01-03 05:53:00
46,KMSO,Missoula,1641185580,1641192780,N,11.0,6.0,81.0,CALM,,0.0,26.64,0.0,Fair,MSO,2022-01-03 04:53:00,2022-01-03 06:53:00
47,KMSO,Missoula,1641189180,1641196380,N,12.0,7.0,80.0,CALM,,0.0,26.63,0.0,Fair,MSO,2022-01-03 05:53:00,2022-01-03 07:53:00
48,KMSO,Missoula,1641192780,1641199980,N,9.0,6.0,88.0,NW,,3.0,26.62,0.0,Fair,MSO,2022-01-03 06:53:00,2022-01-03 08:53:00
49,KMSO,Missoula,1641196380,1641203580,N,8.0,5.0,87.0,CALM,,0.0,26.61,0.0,Fair,MSO,2022-01-03 07:53:00,2022-01-03 09:53:00
50,KMSO,Missoula,1641199980,1641207180,N,6.0,3.0,87.0,CALM,,0.0,26.59,0.0,Fair,MSO,2022-01-03 08:53:00,2022-01-03 10:53:00
51,KMSO,Missoula,1641203580,1641210780,N,6.0,3.0,87.0,WNW,,3.0,26.59,0.0,Fair,MSO,2022-01-03 09:53:00,2022-01-03 11:53:00
52,KMSO,Missoula,1641207180,1641214380,N,7.0,2.0,80.0,N,,5.0,26.56,0.0,Fair,MSO,2022-01-03 10:53:00,2022-01-03 12:53:00
53,KMSO,Missoula,1641210780,1641217980,N,6.0,2.0,83.0,W,,3.0,26.53,0.0,Fair,MSO,2022-01-03 11:53:00,2022-01-03 13:53:00
