,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,start_day,start_month,start_year,start_isoweekday,start_hour_gmt,start_minute_gmt,record_end_date,end_hour_gmt,end_minute_gmt
0,KOLF,Wolf Point,1641023580,1641030780,N,-30.0,,,CALM,,0.0,28.07,0.0,Fair,OLF,2022-01-01 07:53:00,1,1,2022,5,7,53,2022-01-01 09:53:00,9,53
1,KOLF,Wolf Point,1641027180,1641034380,N,-28.0,-35.0,69.0,CALM,,0.0,28.06,0.0,Partly Cloudy,OLF,2022-01-01 08:53:00,1,1,2022,5,8,53,2022-01-01 10:53:00,10,53
2,KOLF,Wolf Point,1641030780,1641037980,N,-28.0,-35.0,69.0,CALM,,0.0,28.07,0.0,Mostly Cloudy,OLF,2022-01-01 09:53:00,1,1,2022,5,9,53,2022-01-01 11:53:00,11,53
3,KOLF,Wolf Point,1641034380,1641041580,N,-32.0,,,WSW,,3.0,28.06,0.0,Fair,OLF,2022-01-01 10:53:00,1,1,2022,5,10,53,2022-01-01 12:53:00,12,53
4,KOLF,Wolf Point,1641037980,1641045180,N,-31.0,,,CALM,,0.0,28.06,0.0,Fair,OLF,2022-01-01 11:53:00,1,1,2022,5,11,53,2022-01-01 13:53:00,13,53
5,KOLF,Wolf Point,1641041580,1641048780,N,-32.0,,,CALM,,0.0,28.04,0.0,Fair,OLF,2022-01-01 12:53:00,1,1,2022,5,12,53,2022-01-01 14:53:00,14,53
6,KOLF,Wolf Point,1641045180,1641052380,N,-32.0,,,CALM,,0.0,28.03,0.0,Fair,OLF,2022-01-01 13:53:00,1,1,2022,5,13,53,2022-01-01 15:53:00,15,53
7,KOLF,Wolf Point,1641048780,1641055980,D,-32.0,,,CALM,,0.0,28.04,0.0,Fair,OLF,2022-01-01 14:53:00,1,1,2022,5,14,53,2022-01-01 16:53:00,16,53
8,KOLF,Wolf Point,1641052380,1641059580,D,-33.0,,,CALM,,0.0,28.04,0.0,Fair,OLF,2022-01-01 15:53:00,1,1,2022,5,15,53,2022-01-01 17:53:00,17,53
9,KOLF,Wolf Point,1641055980,1641063180,D,-26.0,-31.0,77.0,CALM,,0.0,28.03,0.0,Fair,OLF,2022-01-01 16:53:00,1,1,2022,5,16,53,2022-01-01 18:53:00,18,53
10,KOLF,Wolf Point,1641059580,1641066780,D,-23.0,-30.0,70.0,CALM,,0.0,28.01,0.0,Fair,OLF,2022-01-01 17:53:00,1,1,2022,5,17,53,2022-01-01 19:53:00,19,53
11,KOLF,Wolf Point,1641063180,1641070380,D,-20.0,-29.0,63.0,CALM,,0.0,27.99,0.0,Fair,OLF,2022-01-01 18:53:00,1,1,2022,5,18,53,2022-01-01 20:53:00,20,53
12,KOLF,Wolf Point,1641066780,1641073980,D,-18.0,-26.0,67.0,CALM,,0.0,27.96,0.0,Fair,OLF,2022-01-01 19:53:00,1,1,2022,5,19,53,2022-01-01 21:53:00,21,53
13,KOLF,Wolf Point,1641070380,1641077580,D,-16.0,-25.0,64.0,CALM,,0.0,27.95,0.0,Fair,OLF,2022-01-01 20:53:00,1,1,2022,5,20,53,2022-01-01 22:53:00,22,53
14,KOLF,Wolf Point,1641073980,1641081180,D,-14.0,-25.0,58.0,CALM,,0.0,27.94,0.0,Fair,OLF,2022-01-01 21:53:00,1,1,2022,5,21,53,2022-01-01 23:53:00,23,53
15,KOLF,Wolf Point,1641077580,1641084780,D,-17.0,-26.0,64.0,CALM,,0.0,27.93,0.0,Fair,OLF,2022-01-01 22:53:00,1,1,2022,5,22,53,2022-01-02 00:53:00,0,53
16,KOLF,Wolf Point,1641081180,1641088380,N,-21.0,-28.0,70.0,CALM,,0.0,27.92,0.0,Fair,OLF,2022-01-01 23:53:00,1,1,2022,5,23,53,2022-01-02 01:53:00,1,53
17,KOLF,Wolf Point,1641084780,1641091980,N,-22.0,-28.0,74.0,CALM,,0.0,27.9,0.0,Fair,OLF,2022-01-02 00:53:00,2,1,2022,6,0,53,2022-01-02 02:53:00,2,53
18,KOLF,Wolf Point,1641088380,1641095580,N,-22.0,-29.0,70.0,CALM,,0.0,27.88,0.0,Fair,OLF,2022-01-02 01:53:00,2,1,2022,6,1,53,2022-01-02 03:53:00,3,53
19,KOLF,Wolf Point,1641091980,1641099180,N,-23.0,-29.0,74.0,CALM,,0.0,27.88,0.0,Fair,OLF,2022-01-02 02:53:00,2,1,2022,6,2,53,2022-01-02 04:53:00,4,53
20,KOLF,Wolf Point,1641095580,1641102780,N,-23.0,-30.0,70.0,CALM,,0.0,27.85,0.0,Fair,OLF,2022-01-02 03:53:00,2,1,2022,6,3,53,2022-01-02 05:53:00,5,53
21,KOLF,Wolf Point,1641099180,1641106380,N,-23.0,-29.0,74.0,CALM,,0.0,27.83,0.0,Fair,OLF,2022-01-02 04:53:00,2,1,2022,6,4,53,2022-01-02 06:53:00,6,53
22,KOLF,Wolf Point,1641102780,1641109980,N,-21.0,-28.0,70.0,CALM,,0.0,27.83,0.0,Fair,OLF,2022-01-02 05:53:00,2,1,2022,6,5,53,2022-01-02 07:53:00,7,53
23,KOLF,Wolf Point,1641106380,1641113580,N,-19.0,-26.0,70.0,CALM,,0.0,27.82,0.0,Fair,OLF,2022-01-02 06:53:00,2,1,2022,6,6,53,2022-01-02 08:53:00,8,53
24,KOLF,Wolf Point,1641109980,1641117180,N,-17.0,-24.0,70.0,CALM,,0.0,27.81,0.0,Fair,OLF,2022-01-02 07:53:00,2,1,2022,6,7,53,2022-01-02 09:53:00,9,53
25,KOLF,Wolf Point,1641113580,1641120780,N,-15.0,-22.0,71.0,CALM,,0.0,27.8,0.0,Fair,OLF,2022-01-02 08:53:00,2,1,2022,6,8,53,2022-01-02 10:53:00,10,53
26,KOLF,Wolf Point,1641117180,1641124380,N,-14.0,-21.0,71.0,CALM,,0.0,27.8,0.0,Fair,OLF,2022-01-02 09:53:00,2,1,2022,6,9,53,2022-01-02 11:53:00,11,53
27,KOLF,Wolf Point,1641120780,1641127980,N,-13.0,-20.0,71.0,CALM,,0.0,27.8,0.0,Fair,OLF,2022-01-02 10:53:00,2,1,2022,6,10,53,2022-01-02 12:53:00,12,53
28,KOLF,Wolf Point,1641124380,1641131580,N,-11.0,-18.0,71.0,CALM,,0.0,27.79,0.0,Fair,OLF,2022-01-02 11:53:00,2,1,2022,6,11,53,2022-01-02 13:53:00,13,53
29,KOLF,Wolf Point,1641127980,1641135180,N,-10.0,-17.0,71.0,WSW,,3.0,27.79,0.0,Fair,OLF,2022-01-02 12:53:00,2,1,2022,6,12,53,2022-01-02 14:53:00,14,53
30,KOLF,Wolf Point,1641131580,1641138780,N,-9.0,-16.0,71.0,CALM,,0.0,27.8,0.0,Fair,OLF,2022-01-02 13:53:00,2,1,2022,6,13,53,2022-01-02 15:53:00,15,53
31,KOLF,Wolf Point,1641135180,1641142380,D,-8.0,-16.0,68.0,SW,,5.0,27.8,0.0,Fair,OLF,2022-01-02 14:53:00,2,1,2022,6,14,53,2022-01-02 16:53:00,16,53
32,KOLF,Wolf Point,1641138780,1641145980,D,-6.0,-14.0,68.0,W,,5.0,27.81,0.0,Fair,OLF,2022-01-02 15:53:00,2,1,2022,6,15,53,2022-01-02 17:53:00,17,53
33,KOLF,Wolf Point,1641142380,1641149580,D,-3.0,-10.0,72.0,CALM,,0.0,27.8,0.0,Fair,OLF,2022-01-02 16:53:00,2,1,2022,6,16,53,2022-01-02 18:53:00,18,53
34,KOLF,Wolf Point,1641145980,1641153180,D,2.0,-6.0,69.0,CALM,,0.0,27.8,0.0,Fair,OLF,2022-01-02 17:53:00,2,1,2022,6,17,53,2022-01-02 19:53:00,19,53
35,KOLF,Wolf Point,1641149580,1641156780,D,4.0,-4.0,70.0,CALM,,0.0,27.79,0.0,Fair,OLF,2022-01-02 18:53:00,2,1,2022,6,18,53,2022-01-02 20:53:00,20,53
36,KOLF,Wolf Point,1641153180,1641160380,D,12.0,2.0,64.0,CALM,,0.0,27.79,0.0,Fair,OLF,2022-01-02 19:53:00,2,1,2022,6,19,53,2022-01-02 21:53:00,21,53
37,KOLF,Wolf Point,1641156780,1641163980,D,13.0,3.0,65.0,SW,,6.0,27.78,0.0,Fair,OLF,2022-01-02 20:53:00,2,1,2022,6,20,53,2022-01-02 22:53:00,22,53
38,KOLF,Wolf Point,1641160380,1641167580,D,11.0,2.0,67.0,W,,8.0,27.79,0.0,Fair,OLF,2022-01-02 21:53:00,2,1,2022,6,21,53,2022-01-02 23:53:00,23,53
39,KOLF,Wolf Point,1641163980,1641171180,D,11.0,2.0,67.0,CALM,,0.0,27.8,0.0,Fair,OLF,2022-01-02 22:53:00,2,1,2022,6,22,53,2022-01-03 00:53:00,0,53
40,KOLF,Wolf Point,1641167580,1641174780,N,10.0,1.0,67.0,WSW,,6.0,27.81,0.0,Fair,OLF,2022-01-02 23:53:00,2,1,2022,6,23,53,2022-01-03 01:53:00,1,53
41,KOLF,Wolf Point,1641171180,1641178380,N,8.0,2.0,76.0,ENE,,6.0,27.82,0.0,Fair,OLF,2022-01-03 00:53:00,3,1,2022,0,0,53,2022-01-03 02:53:00,2,53
42,KOLF,Wolf Point,1641174780,1641181980,N,4.0,-1.0,80.0,SSW,,3.0,27.83,0.0,Fair,OLF,2022-01-03 01:53:00,3,1,2022,0,1,53,2022-01-03 03:53:00,3,53
43,KOLF,Wolf Point,1641178380,1641185580,N,6.0,1.0,80.0,W,,3.0,27.84,0.0,Fair,OLF,2022-01-03 02:53:00,3,1,2022,0,2,53,2022-01-03 04:53:00,4,53
44,KOLF,Wolf Point,1641181980,1641189180,N,9.0,3.0,77.0,WSW,,6.0,27.85,0.0,Fair,OLF,2022-01-03 03:53:00,3,1,2022,0,3,53,2022-01-03 05:53:00,5,53
45,KOLF,Wolf Point,1641185580,1641192780,N,13.0,8.0,81.0,SSW,,6.0,27.83,0.0,Mostly Cloudy,OLF,2022-01-03 04:53:00,3,1,2022,0,4,53,2022-01-03 06:53:00,6,53
46,KOLF,Wolf Point,1641189180,1641196380,N,15.0,10.0,80.0,WSW,,3.0,27.84,0.0,Mostly Cloudy,OLF,2022-01-03 05:53:00,3,1,2022,0,5,53,2022-01-03 07:53:00,7,53
47,KOLF,Wolf Point,1641192780,1641199980,N,12.0,7.0,80.0,CALM,,0.0,27.85,0.0,Fair,OLF,2022-01-03 06:53:00,3,1,2022,0,6,53,2022-01-03 08:53:00,8,53
48,KOLF,Wolf Point,1641196380,1641203580,N,7.0,2.0,80.0,ENE,,5.0,27.84,0.0,Fair,OLF,2022-01-03 07:53:00,3,1,2022,0,7,53,2022-01-03 09:53:00,9,53
