,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KPDX,Portland,1641027180,1641034380,N,26.0,14.0,60.0,ESE,,9.0,30.23,0.0,Fair,PDX,2022-01-01 08:53:00,2022-01-01 10:53:00
1,KPDX,Portland,1641030780,1641037980,N,26.0,14.0,60.0,ESE,,8.0,30.24,0.0,Fair,PDX,2022-01-01 09:53:00,2022-01-01 11:53:00
2,KPDX,Portland,1641034380,1641041580,N,26.0,14.0,60.0,ESE,,8.0,30.25,0.0,Fair,PDX,2022-01-01 10:53:00,2022-01-01 12:53:00
3,KPDX,Portland,1641037980,1641045180,N,25.0,14.0,63.0,ESE,,8.0,30.26,0.0,Fair,PDX,2022-01-01 11:53:00,2022-01-01 13:53:00
4,KPDX,Portland,1641041580,1641048780,N,25.0,14.0,63.0,ESE,,8.0,30.27,0.0,Mostly Cloudy,PDX,2022-01-01 12:53:00,2022-01-01 14:53:00
5,KPDX,Portland,1641045180,1641052380,N,25.0,13.0,60.0,ESE,,7.0,30.28,0.0,Partly Cloudy,PDX,2022-01-01 13:53:00,2022-01-01 15:53:00
6,KPDX,Portland,1641048780,1641055980,N,25.0,15.0,66.0,SE,,9.0,30.29,0.0,Partly Cloudy,PDX,2022-01-01 14:53:00,2022-01-01 16:53:00
7,KPDX,Portland,1641052380,1641059580,D,25.0,15.0,66.0,ESE,,9.0,30.3,0.0,Mostly Cloudy,PDX,2022-01-01 15:53:00,2022-01-01 17:53:00
8,KPDX,Portland,1641055980,1641063180,D,26.0,15.0,63.0,E,,9.0,30.31,0.0,Mostly Cloudy,PDX,2022-01-01 16:53:00,2022-01-01 18:53:00
9,KPDX,Portland,1641058860,1641066060,D,27.0,15.0,61.0,ESE,,10.0,30.31,0.0,Mostly Cloudy,PDX,2022-01-01 17:41:00,2022-01-01 19:41:00
10,KPDX,Portland,1641059580,1641066780,D,27.0,15.0,61.0,ESE,,9.0,30.32,0.0,Mostly Cloudy,PDX,2022-01-01 17:53:00,2022-01-01 19:53:00
11,KPDX,Portland,1641060900,1641068100,D,28.0,15.0,58.0,E,,8.0,30.32,0.0,Mostly Cloudy,PDX,2022-01-01 18:15:00,2022-01-01 20:15:00
12,KPDX,Portland,1641063180,1641070380,D,28.0,16.0,61.0,ESE,,8.0,30.32,0.0,Mostly Cloudy,PDX,2022-01-01 18:53:00,2022-01-01 20:53:00
13,KPDX,Portland,1641066780,1641073980,D,30.0,16.0,56.0,ESE,,9.0,30.3,0.0,Mostly Cloudy,PDX,2022-01-01 19:53:00,2022-01-01 21:53:00
14,KPDX,Portland,1641070380,1641077580,D,31.0,16.0,54.0,ESE,,10.0,30.28,0.0,Mostly Cloudy,PDX,2022-01-01 20:53:00,2022-01-01 22:53:00
15,KPDX,Portland,1641073980,1641081180,D,33.0,19.0,56.0,ESE,,8.0,30.27,0.0,Mostly Cloudy,PDX,2022-01-01 21:53:00,2022-01-01 23:53:00
16,KPDX,Portland,1641077580,1641084780,D,33.0,20.0,59.0,ESE,,7.0,30.25,0.0,Mostly Cloudy,PDX,2022-01-01 22:53:00,2022-01-02 00:53:00
17,KPDX,Portland,1641081180,1641088380,D,33.0,19.0,56.0,ESE,,7.0,30.24,0.0,Mostly Cloudy,PDX,2022-01-01 23:53:00,2022-01-02 01:53:00
18,KPDX,Portland,1641084780,1641091980,N,31.0,20.0,64.0,SE,,6.0,30.23,0.0,Cloudy,PDX,2022-01-02 00:53:00,2022-01-02 02:53:00
19,KPDX,Portland,1641088380,1641095580,N,30.0,19.0,64.0,ESE,,6.0,30.21,0.0,Cloudy,PDX,2022-01-02 01:53:00,2022-01-02 03:53:00
20,KPDX,Portland,1641091980,1641099180,N,30.0,19.0,64.0,ESE,,8.0,30.21,0.0,Cloudy,PDX,2022-01-02 02:53:00,2022-01-02 04:53:00
21,KPDX,Portland,1641095580,1641102780,N,30.0,19.0,64.0,ESE,,9.0,30.19,0.0,Cloudy,PDX,2022-01-02 03:53:00,2022-01-02 05:53:00
22,KPDX,Portland,1641099180,1641106380,N,30.0,19.0,64.0,SE,,8.0,30.17,0.0,Cloudy,PDX,2022-01-02 04:53:00,2022-01-02 06:53:00
23,KPDX,Portland,1641102780,1641109980,N,31.0,18.0,59.0,ESE,,15.0,30.16,0.0,Cloudy,PDX,2022-01-02 05:53:00,2022-01-02 07:53:00
24,KPDX,Portland,1641106380,1641113580,N,30.0,19.0,64.0,ESE,22.0,15.0,30.15,0.0,Cloudy,PDX,2022-01-02 06:53:00,2022-01-02 08:53:00
25,KPDX,Portland,1641109980,1641117180,N,30.0,18.0,61.0,ESE,23.0,16.0,30.14,0.0,Mostly Cloudy,PDX,2022-01-02 07:53:00,2022-01-02 09:53:00
26,KPDX,Portland,1641113580,1641120780,N,31.0,18.0,59.0,E,,15.0,30.11,0.0,Mostly Cloudy,PDX,2022-01-02 08:53:00,2022-01-02 10:53:00
27,KPDX,Portland,1641117180,1641124380,N,30.0,18.0,61.0,ESE,,10.0,30.1,0.0,Mostly Cloudy,PDX,2022-01-02 09:53:00,2022-01-02 11:53:00
28,KPDX,Portland,1641120780,1641127980,N,30.0,18.0,61.0,ESE,,12.0,30.09,0.0,Mostly Cloudy,PDX,2022-01-02 10:53:00,2022-01-02 12:53:00
29,KPDX,Portland,1641124380,1641131580,N,30.0,18.0,61.0,SE,18.0,9.0,30.08,0.0,Mostly Cloudy,PDX,2022-01-02 11:53:00,2022-01-02 13:53:00
30,KPDX,Portland,1641127980,1641135180,N,30.0,18.0,61.0,ESE,,14.0,30.03,0.0,Mostly Cloudy,PDX,2022-01-02 12:53:00,2022-01-02 14:53:00
31,KPDX,Portland,1641131580,1641138780,N,31.0,19.0,61.0,SE,,10.0,30.03,0.0,Mostly Cloudy,PDX,2022-01-02 13:53:00,2022-01-02 15:53:00
32,KPDX,Portland,1641135180,1641142380,N,31.0,18.0,59.0,SE,,10.0,30.03,0.0,Mostly Cloudy,PDX,2022-01-02 14:53:00,2022-01-02 16:53:00
33,KPDX,Portland,1641138780,1641145980,D,31.0,19.0,61.0,ESE,,14.0,30.01,0.0,Cloudy,PDX,2022-01-02 15:53:00,2022-01-02 17:53:00
34,KPDX,Portland,1641142380,1641149580,D,32.0,19.0,59.0,ESE,24.0,18.0,29.97,0.0,Cloudy,PDX,2022-01-02 16:53:00,2022-01-02 18:53:00
35,KPDX,Portland,1641145980,1641153180,D,32.0,19.0,59.0,ESE,26.0,20.0,29.95,0.0,Cloudy,PDX,2022-01-02 17:53:00,2022-01-02 19:53:00
36,KPDX,Portland,1641149580,1641156780,D,33.0,21.0,61.0,ESE,22.0,14.0,29.93,0.0,Cloudy,PDX,2022-01-02 18:53:00,2022-01-02 20:53:00
37,KPDX,Portland,1641153180,1641160380,D,34.0,21.0,59.0,ESE,24.0,16.0,29.9,0.0,Cloudy,PDX,2022-01-02 19:53:00,2022-01-02 21:53:00
38,KPDX,Portland,1641156780,1641163980,D,35.0,23.0,61.0,ESE,,15.0,29.86,0.0,Cloudy,PDX,2022-01-02 20:53:00,2022-01-02 22:53:00
39,KPDX,Portland,1641160380,1641167580,D,38.0,24.0,57.0,ESE,,17.0,29.81,0.0,Mostly Cloudy,PDX,2022-01-02 21:53:00,2022-01-02 23:53:00
40,KPDX,Portland,1641163980,1641171180,D,40.0,28.0,63.0,ESE,,10.0,29.78,0.0,Cloudy,PDX,2022-01-02 22:53:00,2022-01-03 00:53:00
41,KPDX,Portland,1641167580,1641174780,D,39.0,28.0,65.0,ESE,,12.0,29.75,0.0,Light Rain,PDX,2022-01-02 23:53:00,2022-01-03 01:53:00
42,KPDX,Portland,1641171180,1641178380,N,37.0,29.0,73.0,ESE,24.0,15.0,29.71,0.0,Light Rain,PDX,2022-01-03 00:53:00,2022-01-03 02:53:00
43,KPDX,Portland,1641174780,1641181980,N,36.0,28.0,73.0,ESE,23.0,12.0,29.67,0.0,Cloudy,PDX,2022-01-03 01:53:00,2022-01-03 03:53:00
