,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KPIH,Pocatello,1641023580,1641030780,N,13.0,8.0,81.0,WSW,,17.0,25.36,0.0,Cloudy,PIH,2022-01-01 07:53:00,2022-01-01 09:53:00
1,KPIH,Pocatello,1641026340,1641033540,N,11.0,7.0,84.0,WSW,,17.0,25.38,0.0,Cloudy,PIH,2022-01-01 08:39:00,2022-01-01 10:39:00
2,KPIH,Pocatello,1641027180,1641034380,N,11.0,6.0,81.0,WSW,,17.0,25.38,0.0,Cloudy,PIH,2022-01-01 08:53:00,2022-01-01 10:53:00
3,KPIH,Pocatello,1641029880,1641037080,N,9.0,5.0,84.0,SW,,13.0,25.4,0.0,Partly Cloudy,PIH,2022-01-01 09:38:00,2022-01-01 11:38:00
4,KPIH,Pocatello,1641030780,1641037980,N,9.0,4.0,80.0,SW,,15.0,25.41,0.0,Fair,PIH,2022-01-01 09:53:00,2022-01-01 11:53:00
5,KPIH,Pocatello,1641034380,1641041580,N,8.0,3.0,80.0,WSW,,15.0,25.44,0.0,Fair,PIH,2022-01-01 10:53:00,2022-01-01 12:53:00
6,KPIH,Pocatello,1641035520,1641042720,N,9.0,5.0,84.0,SW,,17.0,25.45,0.0,Mostly Cloudy,PIH,2022-01-01 11:12:00,2022-01-01 13:12:00
7,KPIH,Pocatello,1641036480,1641043680,N,9.0,5.0,84.0,SSW,,13.0,25.46,0.0,Cloudy,PIH,2022-01-01 11:28:00,2022-01-01 13:28:00
8,KPIH,Pocatello,1641037140,1641044340,N,9.0,5.0,84.0,SW,,15.0,25.46,0.0,Cloudy,PIH,2022-01-01 11:39:00,2022-01-01 13:39:00
9,KPIH,Pocatello,1641037980,1641045180,N,9.0,4.0,80.0,SSW,,14.0,25.46,0.0,Cloudy,PIH,2022-01-01 11:53:00,2022-01-01 13:53:00
