,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,start_day,start_month,start_year,start_isoweekday,start_hour_gmt,start_minute_gmt,record_end_date,end_hour_gmt,end_minute_gmt
0,KPUW,Pullman/Moscow,1641027180,1641034380,N,3,1.0,91.0,CALM,,0.0,27.48,0.0,Fog,PUW,2022-01-01 08:53:00,1,1,2022,5,8,53,2022-01-01 10:53:00,10,53
1,KPUW,Pullman/Moscow,1641029940,1641037140,N,2,0.0,91.0,SE,,3.0,27.49,0.0,Fog,PUW,2022-01-01 09:39:00,1,1,2022,5,9,39,2022-01-01 11:39:00,11,39
2,KPUW,Pullman/Moscow,1641030780,1641037980,N,1,-2.0,87.0,SE,,3.0,27.5,0.0,Cloudy,PUW,2022-01-01 09:53:00,1,1,2022,5,9,53,2022-01-01 11:53:00,11,53
3,KPUW,Pullman/Moscow,1641031320,1641038520,N,1,-2.0,87.0,CALM,,0.0,27.51,0.0,Cloudy,PUW,2022-01-01 10:02:00,1,1,2022,5,10,2,2022-01-01 12:02:00,12,2
4,KPUW,Pullman/Moscow,1641034260,1641041460,N,0,-6.0,78.0,SE,,5.0,27.51,0.0,Fair,PUW,2022-01-01 10:51:00,1,1,2022,5,10,51,2022-01-01 12:51:00,12,51
5,KPUW,Pullman/Moscow,1641034380,1641041580,N,-2,-5.0,87.0,CALM,,0.0,27.51,0.0,Fair,PUW,2022-01-01 10:53:00,1,1,2022,5,10,53,2022-01-01 12:53:00,12,53
6,KPUW,Pullman/Moscow,1641037980,1641045180,N,-4,-8.0,83.0,CALM,,0.0,27.52,0.0,Fair,PUW,2022-01-01 11:53:00,1,1,2022,5,11,53,2022-01-01 13:53:00,13,53
7,KPUW,Pullman/Moscow,1641041580,1641048780,N,-3,-8.0,79.0,ENE,,3.0,27.52,0.0,Fair,PUW,2022-01-01 12:53:00,1,1,2022,5,12,53,2022-01-01 14:53:00,14,53
8,KPUW,Pullman/Moscow,1641045180,1641052380,N,-3,-6.0,87.0,CALM,,0.0,27.53,0.0,Fair,PUW,2022-01-01 13:53:00,1,1,2022,5,13,53,2022-01-01 15:53:00,15,53
9,KPUW,Pullman/Moscow,1641048780,1641055980,N,-4,-8.0,83.0,ESE,,3.0,27.53,0.0,Fair,PUW,2022-01-01 14:53:00,1,1,2022,5,14,53,2022-01-01 16:53:00,16,53
10,KPUW,Pullman/Moscow,1641052380,1641059580,D,4,0.0,84.0,E,,9.0,27.55,0.0,Fair,PUW,2022-01-01 15:53:00,1,1,2022,5,15,53,2022-01-01 17:53:00,17,53
11,KPUW,Pullman/Moscow,1641055980,1641063180,D,5,1.0,84.0,E,,13.0,27.56,0.0,Partly Cloudy,PUW,2022-01-01 16:53:00,1,1,2022,5,16,53,2022-01-01 18:53:00,18,53
12,KPUW,Pullman/Moscow,1641059580,1641066780,D,8,3.0,80.0,E,,15.0,27.57,0.0,Cloudy,PUW,2022-01-01 17:53:00,1,1,2022,5,17,53,2022-01-01 19:53:00,19,53
13,KPUW,Pullman/Moscow,1641063180,1641070380,D,10,4.0,76.0,E,,15.0,27.56,0.0,Cloudy,PUW,2022-01-01 18:53:00,1,1,2022,5,18,53,2022-01-01 20:53:00,20,53
14,KPUW,Pullman/Moscow,1641066780,1641073980,D,11,5.0,77.0,ESE,,12.0,27.54,0.0,Cloudy,PUW,2022-01-01 19:53:00,1,1,2022,5,19,53,2022-01-01 21:53:00,21,53
15,KPUW,Pullman/Moscow,1641070380,1641077580,D,12,6.0,77.0,E,,10.0,27.54,0.0,Cloudy,PUW,2022-01-01 20:53:00,1,1,2022,5,20,53,2022-01-01 22:53:00,22,53
16,KPUW,Pullman/Moscow,1641073980,1641081180,D,13,7.0,77.0,E,,13.0,27.53,0.0,Cloudy,PUW,2022-01-01 21:53:00,1,1,2022,5,21,53,2022-01-01 23:53:00,23,53
17,KPUW,Pullman/Moscow,1641077580,1641084780,D,14,7.0,74.0,E,,10.0,27.54,0.0,Cloudy,PUW,2022-01-01 22:53:00,1,1,2022,5,22,53,2022-01-02 00:53:00,0,53
18,KPUW,Pullman/Moscow,1641081180,1641088380,D,14,7.0,74.0,E,,12.0,27.53,0.0,Cloudy,PUW,2022-01-01 23:53:00,1,1,2022,5,23,53,2022-01-02 01:53:00,1,53
19,KPUW,Pullman/Moscow,1641084780,1641091980,N,14,7.0,74.0,E,,15.0,27.52,0.0,Cloudy,PUW,2022-01-02 00:53:00,2,1,2022,6,0,53,2022-01-02 02:53:00,2,53
20,KPUW,Pullman/Moscow,1641088380,1641095580,N,14,7.0,74.0,E,,15.0,27.52,0.0,Fair,PUW,2022-01-02 01:53:00,2,1,2022,6,1,53,2022-01-02 03:53:00,3,53
21,KPUW,Pullman/Moscow,1641091980,1641099180,N,14,7.0,74.0,E,,16.0,27.52,0.0,Fair,PUW,2022-01-02 02:53:00,2,1,2022,6,2,53,2022-01-02 04:53:00,4,53
22,KPUW,Pullman/Moscow,1641095580,1641102780,N,16,8.0,71.0,ESE,,15.0,27.51,0.0,Fair,PUW,2022-01-02 03:53:00,2,1,2022,6,3,53,2022-01-02 05:53:00,5,53
23,KPUW,Pullman/Moscow,1641099180,1641106380,N,16,7.0,68.0,ESE,,18.0,27.5,0.0,Fair,PUW,2022-01-02 04:53:00,2,1,2022,6,4,53,2022-01-02 06:53:00,6,53
24,KPUW,Pullman/Moscow,1641102780,1641109980,N,16,8.0,71.0,E,,16.0,27.49,0.0,Fair,PUW,2022-01-02 05:53:00,2,1,2022,6,5,53,2022-01-02 07:53:00,7,53
25,KPUW,Pullman/Moscow,1641106380,1641113580,N,17,8.0,68.0,E,,20.0,27.47,0.0,Fair,PUW,2022-01-02 06:53:00,2,1,2022,6,6,53,2022-01-02 08:53:00,8,53
26,KPUW,Pullman/Moscow,1641109980,1641117180,N,18,9.0,68.0,ESE,,18.0,27.47,0.0,Fair,PUW,2022-01-02 07:53:00,2,1,2022,6,7,53,2022-01-02 09:53:00,9,53
27,KPUW,Pullman/Moscow,1641113580,1641120780,N,18,9.0,68.0,E,28.0,13.0,27.47,0.0,Fair,PUW,2022-01-02 08:53:00,2,1,2022,6,8,53,2022-01-02 10:53:00,10,53
28,KPUW,Pullman/Moscow,1641117180,1641124380,N,17,10.0,74.0,ESE,25.0,20.0,27.46,0.0,Fair,PUW,2022-01-02 09:53:00,2,1,2022,6,9,53,2022-01-02 11:53:00,11,53
