,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,start_day,start_month,start_year,start_isoweekday,start_hour_gmt,start_minute_gmt,record_end_date,end_hour_gmt,end_minute_gmt
0,KSDY,Sidney,1641023760,1641030960,N,-22.0,-28.0,74.0,WSW,,8.0,28.07,0.0,Fair,SDY,2022-01-01 07:56:00,1,1,2022,5,7,56,2022-01-01 09:56:00,9,56
1,KSDY,Sidney,1641027360,1641034560,N,-21.0,-27.0,73.0,SW,,6.0,28.08,0.0,Fair,SDY,2022-01-01 08:56:00,1,1,2022,5,8,56,2022-01-01 10:56:00,10,56
2,KSDY,Sidney,1641030960,1641038160,N,-23.0,-29.0,74.0,SSW,,6.0,28.07,0.0,Fair,SDY,2022-01-01 09:56:00,1,1,2022,5,9,56,2022-01-01 11:56:00,11,56
3,KSDY,Sidney,1641034560,1641041760,N,-25.0,-30.0,78.0,SSW,,9.0,28.06,0.0,Fair,SDY,2022-01-01 10:56:00,1,1,2022,5,10,56,2022-01-01 12:56:00,12,56
4,KSDY,Sidney,1641038160,1641045360,N,-24.0,-30.0,74.0,SSW,,6.0,28.06,0.0,Fair,SDY,2022-01-01 11:56:00,1,1,2022,5,11,56,2022-01-01 13:56:00,13,56
5,KSDY,Sidney,1641041760,1641048960,N,-25.0,-30.0,78.0,SSW,,5.0,28.06,0.0,Fair,SDY,2022-01-01 12:56:00,1,1,2022,5,12,56,2022-01-01 14:56:00,14,56
6,KSDY,Sidney,1641045360,1641052560,N,-25.0,-31.0,74.0,SSW,,7.0,28.06,0.0,Fair,SDY,2022-01-01 13:56:00,1,1,2022,5,13,56,2022-01-01 15:56:00,15,56
7,KSDY,Sidney,1641048960,1641056160,D,-25.0,-30.0,78.0,S,,9.0,28.05,0.0,Fair,SDY,2022-01-01 14:56:00,1,1,2022,5,14,56,2022-01-01 16:56:00,16,56
8,KSDY,Sidney,1641052560,1641059760,D,-21.0,-27.0,73.0,SSW,,5.0,28.05,0.0,Fair,SDY,2022-01-01 15:56:00,1,1,2022,5,15,56,2022-01-01 17:56:00,17,56
9,KSDY,Sidney,1641056160,1641063360,D,-17.0,-24.0,70.0,SSW,,9.0,28.05,0.0,Fair,SDY,2022-01-01 16:56:00,1,1,2022,5,16,56,2022-01-01 18:56:00,18,56
10,KSDY,Sidney,1641059760,1641066960,D,-14.0,-21.0,71.0,SSW,,12.0,28.04,0.0,Fair,SDY,2022-01-01 17:56:00,1,1,2022,5,17,56,2022-01-01 19:56:00,19,56
11,KSDY,Sidney,1641063360,1641070560,D,-10.0,-18.0,68.0,SSW,,14.0,28.0,0.0,Fair,SDY,2022-01-01 18:56:00,1,1,2022,5,18,56,2022-01-01 20:56:00,20,56
