,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,start_day,start_month,start_year,start_isoweekday,start_hour_gmt,start_minute_gmt,record_end_date,end_hour_gmt,end_minute_gmt
0,KSEA,Seattle,1641027180,1641034380,N,22.0,17.0,82.0,SE,,8.0,29.73,0.0,Fair,SEA,2022-01-01 08:53:00,1,1,2022,5,8,53,2022-01-01 10:53:00,10,53
1,KSEA,Seattle,1641030780,1641037980,N,23.0,17.0,78.0,ESE,,9.0,29.75,0.0,Cloudy,SEA,2022-01-01 09:53:00,1,1,2022,5,9,53,2022-01-01 11:53:00,11,53
2,KSEA,Seattle,1641034380,1641041580,N,23.0,16.0,74.0,ESE,,7.0,29.77,0.0,Cloudy,SEA,2022-01-01 10:53:00,1,1,2022,5,10,53,2022-01-01 12:53:00,12,53
3,KSEA,Seattle,1641037980,1641045180,N,23.0,16.0,74.0,ESE,,6.0,29.77,0.0,Cloudy,SEA,2022-01-01 11:53:00,1,1,2022,5,11,53,2022-01-01 13:53:00,13,53
4,KSEA,Seattle,1641041580,1641048780,N,23.0,17.0,78.0,SE,,7.0,29.77,0.0,Cloudy,SEA,2022-01-01 12:53:00,1,1,2022,5,12,53,2022-01-01 14:53:00,14,53
5,KSEA,Seattle,1641045180,1641052380,N,24.0,17.0,75.0,SE,,8.0,29.76,0.0,Cloudy,SEA,2022-01-01 13:53:00,1,1,2022,5,13,53,2022-01-01 15:53:00,15,53
6,KSEA,Seattle,1641048780,1641055980,N,25.0,18.0,75.0,ESE,,9.0,29.78,0.0,Cloudy,SEA,2022-01-01 14:53:00,1,1,2022,5,14,53,2022-01-01 16:53:00,16,53
7,KSEA,Seattle,1641052380,1641059580,D,26.0,17.0,69.0,SE,,9.0,29.78,0.0,Cloudy,SEA,2022-01-01 15:53:00,1,1,2022,5,15,53,2022-01-01 17:53:00,17,53
8,KSEA,Seattle,1641055980,1641063180,D,26.0,18.0,71.0,SE,,5.0,29.79,0.0,Mostly Cloudy,SEA,2022-01-01 16:53:00,1,1,2022,5,16,53,2022-01-01 18:53:00,18,53
9,KSEA,Seattle,1641059580,1641066780,D,26.0,19.0,75.0,SE,,7.0,29.8,0.0,Mostly Cloudy,SEA,2022-01-01 17:53:00,1,1,2022,5,17,53,2022-01-01 19:53:00,19,53
10,KSEA,Seattle,1641063180,1641070380,D,27.0,20.0,75.0,SE,,9.0,29.79,0.0,Mostly Cloudy,SEA,2022-01-01 18:53:00,1,1,2022,5,18,53,2022-01-01 20:53:00,20,53
11,KSEA,Seattle,1641066780,1641073980,D,29.0,20.0,69.0,SSE,,7.0,29.77,0.0,Mostly Cloudy,SEA,2022-01-01 19:53:00,1,1,2022,5,19,53,2022-01-01 21:53:00,21,53
12,KSEA,Seattle,1641070380,1641077580,D,31.0,21.0,67.0,SSE,,8.0,29.74,0.0,Mostly Cloudy,SEA,2022-01-01 20:53:00,1,1,2022,5,20,53,2022-01-01 22:53:00,22,53
13,KSEA,Seattle,1641073980,1641081180,D,32.0,22.0,66.0,SSE,,9.0,29.73,0.0,Mostly Cloudy,SEA,2022-01-01 21:53:00,1,1,2022,5,21,53,2022-01-01 23:53:00,23,53
14,KSEA,Seattle,1641077580,1641084780,D,32.0,23.0,69.0,S,,9.0,29.72,0.0,Mostly Cloudy,SEA,2022-01-01 22:53:00,1,1,2022,5,22,53,2022-01-02 00:53:00,0,53
