,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,start_day,start_month,start_year,start_isoweekday,start_hour_gmt,start_minute_gmt,record_end_date,end_hour_gmt,end_minute_gmt
0,KBTM,Butte,1641023580,1641030780,N,-14.0,-21.0,71.0,SSE,,6.0,24.29,0.0,Fair,BTM,2022-01-01 07:53:00,1,1,2022,5,7,53,2022-01-01 09:53:00,9,53
1,KBTM,Butte,1641027180,1641034380,N,-17.0,-24.0,70.0,SSE,,7.0,24.31,0.0,Mostly Cloudy,BTM,2022-01-01 08:53:00,1,1,2022,5,8,53,2022-01-01 10:53:00,10,53
2,KBTM,Butte,1641030780,1641037980,N,-14.0,-22.0,68.0,SE,,5.0,24.34,0.0,Cloudy,BTM,2022-01-01 09:53:00,1,1,2022,5,9,53,2022-01-01 11:53:00,11,53
3,KBTM,Butte,1641034380,1641041580,N,-14.0,-22.0,68.0,CALM,,0.0,24.34,0.0,Fair,BTM,2022-01-01 10:53:00,1,1,2022,5,10,53,2022-01-01 12:53:00,12,53
4,KBTM,Butte,1641037980,1641045180,N,-17.0,-25.0,67.0,SSE,,3.0,24.35,0.0,Fair,BTM,2022-01-01 11:53:00,1,1,2022,5,11,53,2022-01-01 13:53:00,13,53
5,KBTM,Butte,1641041580,1641048780,N,-18.0,-26.0,67.0,CALM,,0.0,24.36,0.0,Fair,BTM,2022-01-01 12:53:00,1,1,2022,5,12,53,2022-01-01 14:53:00,14,53
6,KBTM,Butte,1641045180,1641052380,N,-21.0,-30.0,63.0,CALM,,0.0,24.39,0.0,Fair,BTM,2022-01-01 13:53:00,1,1,2022,5,13,53,2022-01-01 15:53:00,15,53
7,KBTM,Butte,1641048780,1641055980,D,-22.0,-30.0,67.0,SSE,,5.0,24.4,0.0,Fair,BTM,2022-01-01 14:53:00,1,1,2022,5,14,53,2022-01-01 16:53:00,16,53
8,KBTM,Butte,1641052380,1641059580,D,-19.0,-26.0,70.0,CALM,,0.0,24.41,0.0,Fair,BTM,2022-01-01 15:53:00,1,1,2022,5,15,53,2022-01-01 17:53:00,17,53
9,KBTM,Butte,1641055980,1641063180,D,-15.0,-22.0,71.0,CALM,,0.0,24.43,0.0,Fair,BTM,2022-01-01 16:53:00,1,1,2022,5,16,53,2022-01-01 18:53:00,18,53
10,KBTM,Butte,1641059580,1641066780,D,-9.0,-18.0,65.0,S,,3.0,24.44,0.0,Fair,BTM,2022-01-01 17:53:00,1,1,2022,5,17,53,2022-01-01 19:53:00,19,53
11,KBTM,Butte,1641063180,1641070380,D,-5.0,-13.0,69.0,S,,3.0,24.43,0.0,Fair,BTM,2022-01-01 18:53:00,1,1,2022,5,18,53,2022-01-01 20:53:00,20,53
12,KBTM,Butte,1641066780,1641073980,D,-1.0,-11.0,62.0,CALM,,0.0,24.41,0.0,Fair,BTM,2022-01-01 19:53:00,1,1,2022,5,19,53,2022-01-01 21:53:00,21,53
13,KBTM,Butte,1641070380,1641077580,D,3.0,-8.0,60.0,CALM,,0.0,24.4,0.0,Fair,BTM,2022-01-01 20:53:00,1,1,2022,5,20,53,2022-01-01 22:53:00,22,53
14,KBTM,Butte,1641073980,1641081180,D,6.0,-6.0,58.0,SE,,3.0,24.42,0.0,Mostly Cloudy,BTM,2022-01-01 21:53:00,1,1,2022,5,21,53,2022-01-01 23:53:00,23,53
15,KBTM,Butte,1641077580,1641084780,D,6.0,-5.0,60.0,CALM,,0.0,24.42,0.0,Mostly Cloudy,BTM,2022-01-01 22:53:00,1,1,2022,5,22,53,2022-01-02 00:53:00,0,53
16,KBTM,Butte,1641081180,1641088380,D,14.0,-2.0,49.0,NW,,9.0,24.44,0.0,Cloudy,BTM,2022-01-01 23:53:00,1,1,2022,5,23,53,2022-01-02 01:53:00,1,53
17,KBTM,Butte,1641084780,1641091980,N,14.0,-2.0,49.0,N,,7.0,24.43,0.0,Cloudy,BTM,2022-01-02 00:53:00,2,1,2022,6,0,53,2022-01-02 02:53:00,2,53
18,KBTM,Butte,1641088380,1641095580,N,14.0,1.0,56.0,NNW,,5.0,24.44,0.0,Cloudy,BTM,2022-01-02 01:53:00,2,1,2022,6,1,53,2022-01-02 03:53:00,3,53
19,KBTM,Butte,1641091980,1641099180,N,16.0,0.0,49.0,NNW,,5.0,24.46,0.0,Cloudy,BTM,2022-01-02 02:53:00,2,1,2022,6,2,53,2022-01-02 04:53:00,4,53
20,KBTM,Butte,1641095580,1641102780,N,16.0,1.0,52.0,CALM,,0.0,24.47,0.0,Cloudy,BTM,2022-01-02 03:53:00,2,1,2022,6,3,53,2022-01-02 05:53:00,5,53
21,KBTM,Butte,1641099180,1641106380,N,12.0,1.0,61.0,ESE,,6.0,24.49,0.0,Fair,BTM,2022-01-02 04:53:00,2,1,2022,6,4,53,2022-01-02 06:53:00,6,53
