,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,start_day,start_month,start_year,start_isoweekday,start_hour_gmt,start_minute_gmt,record_end_date,end_hour_gmt,end_minute_gmt
0,KEUG,Eugene,1641027240,1641034440,N,32.0,29.0,88.0,N,,5.0,29.79,0.0,Cloudy,EUG,2022-01-01 08:54:00,1,1,2022,5,8,54,2022-01-01 10:54:00,10,54
1,KEUG,Eugene,1641028980,1641036180,N,32.0,29.0,88.0,N,,5.0,29.8,0.0,Cloudy,EUG,2022-01-01 09:23:00,1,1,2022,5,9,23,2022-01-01 11:23:00,11,23
2,KEUG,Eugene,1641030840,1641038040,N,31.0,28.0,89.0,NNW,,6.0,29.82,0.0,Cloudy,EUG,2022-01-01 09:54:00,1,1,2022,5,9,54,2022-01-01 11:54:00,11,54
3,KEUG,Eugene,1641034440,1641041640,N,31.0,29.0,92.0,N,,6.0,29.84,0.0,Cloudy,EUG,2022-01-01 10:54:00,1,1,2022,5,10,54,2022-01-01 12:54:00,12,54
4,KEUG,Eugene,1641038040,1641045240,N,31.0,28.0,89.0,CALM,,0.0,29.85,0.0,Cloudy,EUG,2022-01-01 11:54:00,1,1,2022,5,11,54,2022-01-01 13:54:00,13,54
5,KEUG,Eugene,1641041640,1641048840,N,31.0,28.0,89.0,N,,3.0,29.85,0.0,Cloudy,EUG,2022-01-01 12:54:00,1,1,2022,5,12,54,2022-01-01 14:54:00,14,54
6,KEUG,Eugene,1641045240,1641052440,N,31.0,27.0,85.0,N,,7.0,29.86,0.0,Cloudy,EUG,2022-01-01 13:54:00,1,1,2022,5,13,54,2022-01-01 15:54:00,15,54
7,KEUG,Eugene,1641048840,1641056040,N,31.0,28.0,89.0,NNW,,3.0,29.87,0.0,Cloudy,EUG,2022-01-01 14:54:00,1,1,2022,5,14,54,2022-01-01 16:54:00,16,54
8,KEUG,Eugene,1641052440,1641059640,D,31.0,28.0,89.0,N,,3.0,29.88,0.0,Mostly Cloudy,EUG,2022-01-01 15:54:00,1,1,2022,5,15,54,2022-01-01 17:54:00,17,54
9,KEUG,Eugene,1641055620,1641062820,D,32.0,29.0,88.0,CALM,,0.0,29.87,0.0,Mostly Cloudy,EUG,2022-01-01 16:47:00,1,1,2022,5,16,47,2022-01-01 18:47:00,18,47
10,KEUG,Eugene,1641056040,1641063240,D,33.0,29.0,85.0,CALM,,0.0,29.88,0.0,Mostly Cloudy,EUG,2022-01-01 16:54:00,1,1,2022,5,16,54,2022-01-01 18:54:00,18,54
11,KEUG,Eugene,1641059640,1641066840,D,34.0,28.0,79.0,SSE,,6.0,29.9,0.0,Mostly Cloudy,EUG,2022-01-01 17:54:00,1,1,2022,5,17,54,2022-01-01 19:54:00,19,54
12,KEUG,Eugene,1641063240,1641070440,D,36.0,31.0,82.0,SSW,,6.0,29.9,0.0,Mostly Cloudy,EUG,2022-01-01 18:54:00,1,1,2022,5,18,54,2022-01-01 20:54:00,20,54
13,KEUG,Eugene,1641066840,1641074040,D,37.0,31.0,79.0,S,,5.0,29.88,0.0,Mostly Cloudy,EUG,2022-01-01 19:54:00,1,1,2022,5,19,54,2022-01-01 21:54:00,21,54
14,KEUG,Eugene,1641070440,1641077640,D,39.0,32.0,76.0,SSE,,3.0,29.85,0.0,Mostly Cloudy,EUG,2022-01-01 20:54:00,1,1,2022,5,20,54,2022-01-01 22:54:00,22,54
15,KEUG,Eugene,1641074040,1641081240,D,41.0,33.0,73.0,SW,,5.0,29.85,0.0,Mostly Cloudy,EUG,2022-01-01 21:54:00,1,1,2022,5,21,54,2022-01-01 23:54:00,23,54
16,KEUG,Eugene,1641077640,1641084840,D,41.0,32.0,70.0,SSW,,5.0,29.83,0.0,Mostly Cloudy,EUG,2022-01-01 22:54:00,1,1,2022,5,22,54,2022-01-02 00:54:00,0,54
17,KEUG,Eugene,1641081240,1641088440,D,41.0,33.0,73.0,SSW,,5.0,29.82,0.0,Partly Cloudy,EUG,2022-01-01 23:54:00,1,1,2022,5,23,54,2022-01-02 01:54:00,1,54
18,KEUG,Eugene,1641084840,1641092040,N,37.0,31.0,79.0,CALM,,0.0,29.81,0.0,Mostly Cloudy,EUG,2022-01-02 00:54:00,2,1,2022,6,0,54,2022-01-02 02:54:00,2,54
19,KEUG,Eugene,1641088440,1641095640,N,36.0,31.0,82.0,SSW,,3.0,29.8,0.0,Mostly Cloudy,EUG,2022-01-02 01:54:00,2,1,2022,6,1,54,2022-01-02 03:54:00,3,54
20,KEUG,Eugene,1641092040,1641099240,N,35.0,32.0,89.0,S,,3.0,29.8,0.0,Partly Cloudy,EUG,2022-01-02 02:54:00,2,1,2022,6,2,54,2022-01-02 04:54:00,4,54
21,KEUG,Eugene,1641095640,1641102840,N,35.0,30.0,82.0,SE,,7.0,29.79,0.0,Mostly Cloudy,EUG,2022-01-02 03:54:00,2,1,2022,6,3,54,2022-01-02 05:54:00,5,54
22,KEUG,Eugene,1641099240,1641106440,N,32.0,29.0,88.0,SSW,,5.0,29.78,0.0,Mostly Cloudy,EUG,2022-01-02 04:54:00,2,1,2022,6,4,54,2022-01-02 06:54:00,6,54
23,KEUG,Eugene,1641102840,1641110040,N,32.0,29.0,88.0,SSW,,7.0,29.78,0.0,Cloudy,EUG,2022-01-02 05:54:00,2,1,2022,6,5,54,2022-01-02 07:54:00,7,54
24,KEUG,Eugene,1641106440,1641113640,N,31.0,29.0,92.0,SW,,7.0,29.77,0.0,Cloudy,EUG,2022-01-02 06:54:00,2,1,2022,6,6,54,2022-01-02 08:54:00,8,54
25,KEUG,Eugene,1641110040,1641117240,N,32.0,30.0,92.0,S,,7.0,29.74,0.0,Fair,EUG,2022-01-02 07:54:00,2,1,2022,6,7,54,2022-01-02 09:54:00,9,54
26,KEUG,Eugene,1641113640,1641120840,N,32.0,29.0,88.0,S,,5.0,29.74,0.0,Fair,EUG,2022-01-02 08:54:00,2,1,2022,6,8,54,2022-01-02 10:54:00,10,54
27,KEUG,Eugene,1641117240,1641124440,N,34.0,31.0,89.0,SSE,,8.0,29.72,0.0,Fair,EUG,2022-01-02 09:54:00,2,1,2022,6,9,54,2022-01-02 11:54:00,11,54
