,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,start_day,start_month,start_year,start_isoweekday,start_hour_gmt,start_minute_gmt,record_end_date,end_hour_gmt,end_minute_gmt
0,KHVR,Havre,1641023580,1641030780,N,-24.0,-29.0,77.0,CALM,,0.0,27.32,0.0,Fair,HVR,2022-01-01 07:53:00,1,1,2022,5,7,53,2022-01-01 09:53:00,9,53
1,KHVR,Havre,1641027180,1641034380,N,-28.0,-33.0,77.0,E,,7.0,27.32,0.0,Fair,HVR,2022-01-01 08:53:00,1,1,2022,5,8,53,2022-01-01 10:53:00,10,53
2,KHVR,Havre,1641030780,1641037980,N,-25.0,-30.0,78.0,ENE,,5.0,27.32,0.0,Fair,HVR,2022-01-01 09:53:00,1,1,2022,5,9,53,2022-01-01 11:53:00,11,53
3,KHVR,Havre,1641034380,1641041580,N,-30.0,,,SE,,5.0,27.31,0.0,Fair,HVR,2022-01-01 10:53:00,1,1,2022,5,10,53,2022-01-01 12:53:00,12,53
4,KHVR,Havre,1641037980,1641045180,N,-30.0,,,ESE,,5.0,27.28,0.0,Fair,HVR,2022-01-01 11:53:00,1,1,2022,5,11,53,2022-01-01 13:53:00,13,53
5,KHVR,Havre,1641041580,1641048780,N,-29.0,-35.0,73.0,E,,5.0,27.28,0.0,Fair,HVR,2022-01-01 12:53:00,1,1,2022,5,12,53,2022-01-01 14:53:00,14,53
6,KHVR,Havre,1641045180,1641052380,N,-30.0,,,ESE,,3.0,27.28,0.0,Fair,HVR,2022-01-01 13:53:00,1,1,2022,5,13,53,2022-01-01 15:53:00,15,53
7,KHVR,Havre,1641048780,1641055980,D,-29.0,-35.0,73.0,ENE,,5.0,27.28,0.0,Fair,HVR,2022-01-01 14:53:00,1,1,2022,5,14,53,2022-01-01 16:53:00,16,53
8,KHVR,Havre,1641049200,1641056400,D,-29.0,-35.0,73.0,E,,5.0,27.27,0.0,Haze,HVR,2022-01-01 15:00:00,1,1,2022,5,15,0,2022-01-01 17:00:00,17,0
9,KHVR,Havre,1641049800,1641057000,D,-30.0,,,E,,5.0,27.27,0.0,Fog,HVR,2022-01-01 15:10:00,1,1,2022,5,15,10,2022-01-01 17:10:00,17,10
10,KHVR,Havre,1641050160,1641057360,D,-30.0,,,SE,,3.0,27.27,0.0,Fog,HVR,2022-01-01 15:16:00,1,1,2022,5,15,16,2022-01-01 17:16:00,17,16
11,KHVR,Havre,1641050640,1641057840,D,-29.0,-34.0,77.0,CALM,,0.0,27.27,0.0,Fair,HVR,2022-01-01 15:24:00,1,1,2022,5,15,24,2022-01-01 17:24:00,17,24
12,KHVR,Havre,1641052380,1641059580,D,-28.0,-33.0,77.0,E,,6.0,27.27,0.0,Fair,HVR,2022-01-01 15:53:00,1,1,2022,5,15,53,2022-01-01 17:53:00,17,53
13,KHVR,Havre,1641055980,1641063180,D,-23.0,-28.0,78.0,E,,3.0,27.26,0.0,Fair,HVR,2022-01-01 16:53:00,1,1,2022,5,16,53,2022-01-01 18:53:00,18,53
14,KHVR,Havre,1641059580,1641066780,D,-20.0,-26.0,74.0,E,,6.0,27.25,0.0,Fair,HVR,2022-01-01 17:53:00,1,1,2022,5,17,53,2022-01-01 19:53:00,19,53
15,KHVR,Havre,1641063180,1641070380,D,-18.0,-24.0,74.0,E,,6.0,27.21,0.0,Fair,HVR,2022-01-01 18:53:00,1,1,2022,5,18,53,2022-01-01 20:53:00,20,53
16,KHVR,Havre,1641066780,1641073980,D,-15.0,-22.0,71.0,E,,6.0,27.17,0.0,Fair,HVR,2022-01-01 19:53:00,1,1,2022,5,19,53,2022-01-01 21:53:00,21,53
17,KHVR,Havre,1641070380,1641077580,D,-12.0,-20.0,67.0,E,,6.0,27.16,0.0,Fair,HVR,2022-01-01 20:53:00,1,1,2022,5,20,53,2022-01-01 22:53:00,22,53
18,KHVR,Havre,1641073980,1641081180,D,-13.0,-20.0,71.0,E,,9.0,27.15,0.0,Fair,HVR,2022-01-01 21:53:00,1,1,2022,5,21,53,2022-01-01 23:53:00,23,53
19,KHVR,Havre,1641077580,1641084780,D,-14.0,-21.0,71.0,E,,6.0,27.15,0.0,Fair,HVR,2022-01-01 22:53:00,1,1,2022,5,22,53,2022-01-02 00:53:00,0,53
20,KHVR,Havre,1641081180,1641088380,N,-16.0,-22.0,74.0,E,,7.0,27.13,0.0,Fair,HVR,2022-01-01 23:53:00,1,1,2022,5,23,53,2022-01-02 01:53:00,1,53
21,KHVR,Havre,1641084780,1641091980,N,-14.0,-19.0,79.0,ENE,,5.0,27.12,0.0,Fair,HVR,2022-01-02 00:53:00,2,1,2022,6,0,53,2022-01-02 02:53:00,2,53
22,KHVR,Havre,1641088380,1641095580,N,14.0,4.0,64.0,SW,23.0,16.0,27.11,0.0,Fair,HVR,2022-01-02 01:53:00,2,1,2022,6,1,53,2022-01-02 03:53:00,3,53
23,KHVR,Havre,1641089100,1641096300,N,15.0,5.0,64.0,SW,28.0,20.0,27.11,0.0,Fair,HVR,2022-01-02 02:05:00,2,1,2022,6,2,5,2022-01-02 04:05:00,4,5
24,KHVR,Havre,1641091980,1641099180,N,17.0,6.0,62.0,SW,,21.0,27.09,0.0,Fair / Windy,HVR,2022-01-02 02:53:00,2,1,2022,6,2,53,2022-01-02 04:53:00,4,53
25,KHVR,Havre,1641095580,1641102780,N,19.0,8.0,62.0,SW,,23.0,27.09,0.0,Fair / Windy,HVR,2022-01-02 03:53:00,2,1,2022,6,3,53,2022-01-02 05:53:00,5,53
26,KHVR,Havre,1641099180,1641106380,N,21.0,11.0,65.0,SW,43.0,26.0,27.08,0.0,Fair / Windy,HVR,2022-01-02 04:53:00,2,1,2022,6,4,53,2022-01-02 06:53:00,6,53
27,KHVR,Havre,1641102780,1641109980,N,21.0,12.0,68.0,SW,39.0,26.0,27.09,0.0,Fair / Windy,HVR,2022-01-02 05:53:00,2,1,2022,6,5,53,2022-01-02 07:53:00,7,53
28,KHVR,Havre,1641106380,1641113580,N,23.0,13.0,65.0,SW,,20.0,27.1,0.0,Fair,HVR,2022-01-02 06:53:00,2,1,2022,6,6,53,2022-01-02 08:53:00,8,53
29,KHVR,Havre,1641109980,1641117180,N,24.0,15.0,69.0,SW,36.0,24.0,27.1,0.0,Fair / Windy,HVR,2022-01-02 07:53:00,2,1,2022,6,7,53,2022-01-02 09:53:00,9,53
