,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,start_day,start_month,start_year,start_isoweekday,start_hour_gmt,start_minute_gmt,record_end_date,end_hour_gmt,end_minute_gmt
0,KPDX,Portland,1641027180,1641034380,N,26,14,60,ESE,,9.0,30.23,0.0,Fair,PDX,2022-01-01 08:53:00,1,1,2022,5,8,53,2022-01-01 10:53:00,10,53
1,KPDX,Portland,1641030780,1641037980,N,26,14,60,ESE,,8.0,30.24,0.0,Fair,PDX,2022-01-01 09:53:00,1,1,2022,5,9,53,2022-01-01 11:53:00,11,53
2,KPDX,Portland,1641034380,1641041580,N,26,14,60,ESE,,8.0,30.25,0.0,Fair,PDX,2022-01-01 10:53:00,1,1,2022,5,10,53,2022-01-01 12:53:00,12,53
3,KPDX,Portland,1641037980,1641045180,N,25,14,63,ESE,,8.0,30.26,0.0,Fair,PDX,2022-01-01 11:53:00,1,1,2022,5,11,53,2022-01-01 13:53:00,13,53
4,KPDX,Portland,1641041580,1641048780,N,25,14,63,ESE,,8.0,30.27,0.0,Mostly Cloudy,PDX,2022-01-01 12:53:00,1,1,2022,5,12,53,2022-01-01 14:53:00,14,53
5,KPDX,Portland,1641045180,1641052380,N,25,13,60,ESE,,7.0,30.28,0.0,Partly Cloudy,PDX,2022-01-01 13:53:00,1,1,2022,5,13,53,2022-01-01 15:53:00,15,53
6,KPDX,Portland,1641048780,1641055980,N,25,15,66,SE,,9.0,30.29,0.0,Partly Cloudy,PDX,2022-01-01 14:53:00,1,1,2022,5,14,53,2022-01-01 16:53:00,16,53
7,KPDX,Portland,1641052380,1641059580,D,25,15,66,ESE,,9.0,30.3,0.0,Mostly Cloudy,PDX,2022-01-01 15:53:00,1,1,2022,5,15,53,2022-01-01 17:53:00,17,53
8,KPDX,Portland,1641055980,1641063180,D,26,15,63,E,,9.0,30.31,0.0,Mostly Cloudy,PDX,2022-01-01 16:53:00,1,1,2022,5,16,53,2022-01-01 18:53:00,18,53
9,KPDX,Portland,1641058860,1641066060,D,27,15,61,ESE,,10.0,30.31,0.0,Mostly Cloudy,PDX,2022-01-01 17:41:00,1,1,2022,5,17,41,2022-01-01 19:41:00,19,41
10,KPDX,Portland,1641059580,1641066780,D,27,15,61,ESE,,9.0,30.32,0.0,Mostly Cloudy,PDX,2022-01-01 17:53:00,1,1,2022,5,17,53,2022-01-01 19:53:00,19,53
11,KPDX,Portland,1641060900,1641068100,D,28,15,58,E,,8.0,30.32,0.0,Mostly Cloudy,PDX,2022-01-01 18:15:00,1,1,2022,5,18,15,2022-01-01 20:15:00,20,15
12,KPDX,Portland,1641063180,1641070380,D,28,16,61,ESE,,8.0,30.32,0.0,Mostly Cloudy,PDX,2022-01-01 18:53:00,1,1,2022,5,18,53,2022-01-01 20:53:00,20,53
13,KPDX,Portland,1641066780,1641073980,D,30,16,56,ESE,,9.0,30.3,0.0,Mostly Cloudy,PDX,2022-01-01 19:53:00,1,1,2022,5,19,53,2022-01-01 21:53:00,21,53
14,KPDX,Portland,1641070380,1641077580,D,31,16,54,ESE,,10.0,30.28,0.0,Mostly Cloudy,PDX,2022-01-01 20:53:00,1,1,2022,5,20,53,2022-01-01 22:53:00,22,53
15,KPDX,Portland,1641073980,1641081180,D,33,19,56,ESE,,8.0,30.27,0.0,Mostly Cloudy,PDX,2022-01-01 21:53:00,1,1,2022,5,21,53,2022-01-01 23:53:00,23,53
16,KPDX,Portland,1641077580,1641084780,D,33,20,59,ESE,,7.0,30.25,0.0,Mostly Cloudy,PDX,2022-01-01 22:53:00,1,1,2022,5,22,53,2022-01-02 00:53:00,0,53
17,KPDX,Portland,1641081180,1641088380,D,33,19,56,ESE,,7.0,30.24,0.0,Mostly Cloudy,PDX,2022-01-01 23:53:00,1,1,2022,5,23,53,2022-01-02 01:53:00,1,53
18,KPDX,Portland,1641084780,1641091980,N,31,20,64,SE,,6.0,30.23,0.0,Cloudy,PDX,2022-01-02 00:53:00,2,1,2022,6,0,53,2022-01-02 02:53:00,2,53
19,KPDX,Portland,1641088380,1641095580,N,30,19,64,ESE,,6.0,30.21,0.0,Cloudy,PDX,2022-01-02 01:53:00,2,1,2022,6,1,53,2022-01-02 03:53:00,3,53
20,KPDX,Portland,1641091980,1641099180,N,30,19,64,ESE,,8.0,30.21,0.0,Cloudy,PDX,2022-01-02 02:53:00,2,1,2022,6,2,53,2022-01-02 04:53:00,4,53
21,KPDX,Portland,1641095580,1641102780,N,30,19,64,ESE,,9.0,30.19,0.0,Cloudy,PDX,2022-01-02 03:53:00,2,1,2022,6,3,53,2022-01-02 05:53:00,5,53
22,KPDX,Portland,1641099180,1641106380,N,30,19,64,SE,,8.0,30.17,0.0,Cloudy,PDX,2022-01-02 04:53:00,2,1,2022,6,4,53,2022-01-02 06:53:00,6,53
23,KPDX,Portland,1641102780,1641109980,N,31,18,59,ESE,,15.0,30.16,0.0,Cloudy,PDX,2022-01-02 05:53:00,2,1,2022,6,5,53,2022-01-02 07:53:00,7,53
24,KPDX,Portland,1641106380,1641113580,N,30,19,64,ESE,22.0,15.0,30.15,0.0,Cloudy,PDX,2022-01-02 06:53:00,2,1,2022,6,6,53,2022-01-02 08:53:00,8,53
25,KPDX,Portland,1641109980,1641117180,N,30,18,61,ESE,23.0,16.0,30.14,0.0,Mostly Cloudy,PDX,2022-01-02 07:53:00,2,1,2022,6,7,53,2022-01-02 09:53:00,9,53
26,KPDX,Portland,1641113580,1641120780,N,31,18,59,E,,15.0,30.11,0.0,Mostly Cloudy,PDX,2022-01-02 08:53:00,2,1,2022,6,8,53,2022-01-02 10:53:00,10,53
27,KPDX,Portland,1641117180,1641124380,N,30,18,61,ESE,,10.0,30.1,0.0,Mostly Cloudy,PDX,2022-01-02 09:53:00,2,1,2022,6,9,53,2022-01-02 11:53:00,11,53
28,KPDX,Portland,1641120780,1641127980,N,30,18,61,ESE,,12.0,30.09,0.0,Mostly Cloudy,PDX,2022-01-02 10:53:00,2,1,2022,6,10,53,2022-01-02 12:53:00,12,53
29,KPDX,Portland,1641124380,1641131580,N,30,18,61,SE,18.0,9.0,30.08,0.0,Mostly Cloudy,PDX,2022-01-02 11:53:00,2,1,2022,6,11,53,2022-01-02 13:53:00,13,53
30,KPDX,Portland,1641127980,1641135180,N,30,18,61,ESE,,14.0,30.03,0.0,Mostly Cloudy,PDX,2022-01-02 12:53:00,2,1,2022,6,12,53,2022-01-02 14:53:00,14,53
31,KPDX,Portland,1641131580,1641138780,N,31,19,61,SE,,10.0,30.03,0.0,Mostly Cloudy,PDX,2022-01-02 13:53:00,2,1,2022,6,13,53,2022-01-02 15:53:00,15,53
32,KPDX,Portland,1641135180,1641142380,N,31,18,59,SE,,10.0,30.03,0.0,Mostly Cloudy,PDX,2022-01-02 14:53:00,2,1,2022,6,14,53,2022-01-02 16:53:00,16,53
33,KPDX,Portland,1641138780,1641145980,D,31,19,61,ESE,,14.0,30.01,0.0,Cloudy,PDX,2022-01-02 15:53:00,2,1,2022,6,15,53,2022-01-02 17:53:00,17,53
34,KPDX,Portland,1641142380,1641149580,D,32,19,59,ESE,24.0,18.0,29.97,0.0,Cloudy,PDX,2022-01-02 16:53:00,2,1,2022,6,16,53,2022-01-02 18:53:00,18,53
35,KPDX,Portland,1641145980,1641153180,D,32,19,59,ESE,26.0,20.0,29.95,0.0,Cloudy,PDX,2022-01-02 17:53:00,2,1,2022,6,17,53,2022-01-02 19:53:00,19,53
36,KPDX,Portland,1641149580,1641156780,D,33,21,61,ESE,22.0,14.0,29.93,0.0,Cloudy,PDX,2022-01-02 18:53:00,2,1,2022,6,18,53,2022-01-02 20:53:00,20,53
37,KPDX,Portland,1641153180,1641160380,D,34,21,59,ESE,24.0,16.0,29.9,0.0,Cloudy,PDX,2022-01-02 19:53:00,2,1,2022,6,19,53,2022-01-02 21:53:00,21,53
38,KPDX,Portland,1641156780,1641163980,D,35,23,61,ESE,,15.0,29.86,0.0,Cloudy,PDX,2022-01-02 20:53:00,2,1,2022,6,20,53,2022-01-02 22:53:00,22,53
39,KPDX,Portland,1641160380,1641167580,D,38,24,57,ESE,,17.0,29.81,0.0,Mostly Cloudy,PDX,2022-01-02 21:53:00,2,1,2022,6,21,53,2022-01-02 23:53:00,23,53
40,KPDX,Portland,1641163980,1641171180,D,40,28,63,ESE,,10.0,29.78,0.0,Cloudy,PDX,2022-01-02 22:53:00,2,1,2022,6,22,53,2022-01-03 00:53:00,0,53
