,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,start_day,start_month,start_year,start_isoweekday,start_hour_gmt,start_minute_gmt,record_end_date,end_hour_gmt,end_minute_gmt
0,KTWF,Twin Falls,1641023580,1641030780,N,9.0,4.0,80.0,WSW,,15.0,25.69,0.0,Fair,TWF,2022-01-01 07:53:00,1,1,2022,5,7,53,2022-01-01 09:53:00,9,53
1,KTWF,Twin Falls,1641027180,1641034380,N,9.0,3.0,77.0,W,,18.0,25.71,0.0,Fair,TWF,2022-01-01 08:53:00,1,1,2022,5,8,53,2022-01-01 10:53:00,10,53
2,KTWF,Twin Falls,1641030780,1641037980,N,7.0,2.0,80.0,SW,,18.0,25.75,0.0,Fair,TWF,2022-01-01 09:53:00,1,1,2022,5,9,53,2022-01-01 11:53:00,11,53
3,KTWF,Twin Falls,1641034380,1641041580,N,7.0,1.0,77.0,WSW,,17.0,25.76,0.0,Fair,TWF,2022-01-01 10:53:00,1,1,2022,5,10,53,2022-01-01 12:53:00,12,53
4,KTWF,Twin Falls,1641037980,1641045180,N,6.0,-1.0,73.0,SW,,17.0,25.78,0.0,Fair,TWF,2022-01-01 11:53:00,1,1,2022,5,11,53,2022-01-01 13:53:00,13,53
5,KTWF,Twin Falls,1641041580,1641048780,N,6.0,-1.0,73.0,SW,,18.0,25.81,0.0,Fair,TWF,2022-01-01 12:53:00,1,1,2022,5,12,53,2022-01-01 14:53:00,14,53
6,KTWF,Twin Falls,1641045180,1641052380,N,3.0,-4.0,73.0,SSW,,20.0,25.84,0.0,Fair,TWF,2022-01-01 13:53:00,1,1,2022,5,13,53,2022-01-01 15:53:00,15,53
7,KTWF,Twin Falls,1641048780,1641055980,D,4.0,-4.0,70.0,SW,,18.0,25.87,0.0,Fair,TWF,2022-01-01 14:53:00,1,1,2022,5,14,53,2022-01-01 16:53:00,16,53
8,KTWF,Twin Falls,1641052380,1641059580,D,8.0,-2.0,64.0,SW,,16.0,25.89,0.0,Fair,TWF,2022-01-01 15:53:00,1,1,2022,5,15,53,2022-01-01 17:53:00,17,53
9,KTWF,Twin Falls,1641055980,1641063180,D,9.0,-1.0,64.0,SW,,15.0,25.93,0.0,Fair,TWF,2022-01-01 16:53:00,1,1,2022,5,16,53,2022-01-01 18:53:00,18,53
10,KTWF,Twin Falls,1641059580,1641066780,D,12.0,1.0,61.0,SW,,16.0,25.95,0.0,Fair,TWF,2022-01-01 17:53:00,1,1,2022,5,17,53,2022-01-01 19:53:00,19,53
11,KTWF,Twin Falls,1641063180,1641070380,D,14.0,3.0,62.0,WSW,,13.0,25.95,0.0,Fair,TWF,2022-01-01 18:53:00,1,1,2022,5,18,53,2022-01-01 20:53:00,20,53
12,KTWF,Twin Falls,1641066780,1641073980,D,15.0,4.0,61.0,WSW,,14.0,25.95,0.0,Fair,TWF,2022-01-01 19:53:00,1,1,2022,5,19,53,2022-01-01 21:53:00,21,53
13,KTWF,Twin Falls,1641070380,1641077580,D,16.0,5.0,62.0,WSW,,12.0,25.95,0.0,Fair,TWF,2022-01-01 20:53:00,1,1,2022,5,20,53,2022-01-01 22:53:00,22,53
14,KTWF,Twin Falls,1641073980,1641081180,D,14.0,6.0,71.0,W,,7.0,25.97,0.0,Fair,TWF,2022-01-01 21:53:00,1,1,2022,5,21,53,2022-01-01 23:53:00,23,53
15,KTWF,Twin Falls,1641077580,1641084780,D,12.0,4.0,70.0,WSW,,8.0,26.0,0.0,Fair,TWF,2022-01-01 22:53:00,1,1,2022,5,22,53,2022-01-02 00:53:00,0,53
16,KTWF,Twin Falls,1641081180,1641088380,D,10.0,2.0,70.0,WSW,,12.0,26.01,0.0,Fair,TWF,2022-01-01 23:53:00,1,1,2022,5,23,53,2022-01-02 01:53:00,1,53
17,KTWF,Twin Falls,1641084780,1641091980,N,10.0,2.0,70.0,WSW,,8.0,26.02,0.0,Fair,TWF,2022-01-02 00:53:00,2,1,2022,6,0,53,2022-01-02 02:53:00,2,53
18,KTWF,Twin Falls,1641088380,1641095580,N,7.0,0.0,73.0,SW,,10.0,26.02,0.0,Fair,TWF,2022-01-02 01:53:00,2,1,2022,6,1,53,2022-01-02 03:53:00,3,53
19,KTWF,Twin Falls,1641091980,1641099180,N,3.0,-4.0,73.0,SW,,6.0,26.02,0.0,Fair,TWF,2022-01-02 02:53:00,2,1,2022,6,2,53,2022-01-02 04:53:00,4,53
