,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,start_day,start_month,start_year,start_isoweekday,start_hour_gmt,start_minute_gmt,record_end_date,end_hour_gmt,end_minute_gmt
0,KBIL,Billings,1641023580,1641030780,N,-11,-16,78,SW,,10.0,26.25,0.0,Fair,BIL,2022-01-01 07:53:00,1,1,2022,5,7,53,2022-01-01 09:53:00,9,53
1,KBIL,Billings,1641027180,1641034380,N,-12,-18,74,SW,,10.0,26.25,0.0,Fair,BIL,2022-01-01 08:53:00,1,1,2022,5,8,53,2022-01-01 10:53:00,10,53
2,KBIL,Billings,1641030780,1641037980,N,-14,-19,79,SW,,12.0,26.25,0.0,Fair,BIL,2022-01-01 09:53:00,1,1,2022,5,9,53,2022-01-01 11:53:00,11,53
3,KBIL,Billings,1641034380,1641041580,N,-15,-19,82,SSW,,8.0,26.25,0.0,Fair,BIL,2022-01-01 10:53:00,1,1,2022,5,10,53,2022-01-01 12:53:00,12,53
4,KBIL,Billings,1641037980,1641045180,N,-15,-20,78,SSW,,14.0,26.24,0.0,Cloudy,BIL,2022-01-01 11:53:00,1,1,2022,5,11,53,2022-01-01 13:53:00,13,53
5,KBIL,Billings,1641041580,1641048780,N,-15,-21,75,SW,,10.0,26.25,0.0,Fair,BIL,2022-01-01 12:53:00,1,1,2022,5,12,53,2022-01-01 14:53:00,14,53
6,KBIL,Billings,1641045180,1641052380,N,-9,-16,71,WSW,,21.0,26.24,0.0,Fair / Windy,BIL,2022-01-01 13:53:00,1,1,2022,5,13,53,2022-01-01 15:53:00,15,53
7,KBIL,Billings,1641048780,1641055980,D,-5,-12,72,SW,,21.0,26.25,0.0,Fair / Windy,BIL,2022-01-01 14:53:00,1,1,2022,5,14,53,2022-01-01 16:53:00,16,53
8,KBIL,Billings,1641052380,1641059580,D,-3,-11,68,WSW,,20.0,26.25,0.0,Fair,BIL,2022-01-01 15:53:00,1,1,2022,5,15,53,2022-01-01 17:53:00,17,53
9,KBIL,Billings,1641055980,1641063180,D,-1,-9,69,SW,,21.0,26.26,0.0,Fair / Windy,BIL,2022-01-01 16:53:00,1,1,2022,5,16,53,2022-01-01 18:53:00,18,53
10,KBIL,Billings,1641059580,1641066780,D,2,-8,63,WSW,,21.0,26.25,0.0,Fair / Windy,BIL,2022-01-01 17:53:00,1,1,2022,5,17,53,2022-01-01 19:53:00,19,53
11,KBIL,Billings,1641063180,1641070380,D,6,-6,58,SW,30.0,24.0,26.23,0.0,Fair / Windy,BIL,2022-01-01 18:53:00,1,1,2022,5,18,53,2022-01-01 20:53:00,20,53
12,KBIL,Billings,1641066780,1641073980,D,8,-4,58,SW,31.0,24.0,26.2,0.0,Fair / Windy,BIL,2022-01-01 19:53:00,1,1,2022,5,19,53,2022-01-01 21:53:00,21,53
13,KBIL,Billings,1641070380,1641077580,D,11,-2,56,WSW,25.0,16.0,26.18,0.0,Fair,BIL,2022-01-01 20:53:00,1,1,2022,5,20,53,2022-01-01 22:53:00,22,53
14,KBIL,Billings,1641073980,1641081180,D,11,-2,56,SW,,21.0,26.19,0.0,Fair / Windy,BIL,2022-01-01 21:53:00,1,1,2022,5,21,53,2022-01-01 23:53:00,23,53
15,KBIL,Billings,1641077580,1641084780,D,12,-3,51,WSW,28.0,18.0,26.19,0.0,Fair,BIL,2022-01-01 22:53:00,1,1,2022,5,22,53,2022-01-02 00:53:00,0,53
16,KBIL,Billings,1641081180,1641088380,N,11,-3,54,SW,,14.0,26.19,0.0,Fair,BIL,2022-01-01 23:53:00,1,1,2022,5,23,53,2022-01-02 01:53:00,1,53
