,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,start_day,start_month,start_year,start_isoweekday,start_hour_gmt,start_minute_gmt,record_end_date,end_hour_gmt,end_minute_gmt
0,KLWS,Lewiston,1641027360,1641034560,N,5.0,0.0,80.0,CALM,,0.0,28.74,0.0,Cloudy,LWS,2022-01-01 08:56:00,1,1,2022,5,8,56,2022-01-01 10:56:00,10,56
1,KLWS,Lewiston,1641030960,1641038160,N,3.0,-1.0,84.0,SE,,6.0,28.76,0.0,Unknown Precipitation,LWS,2022-01-01 09:56:00,1,1,2022,5,9,56,2022-01-01 11:56:00,11,56
2,KLWS,Lewiston,1641034560,1641041760,N,3.0,-1.0,84.0,CALM,,0.0,28.78,0.0,Cloudy,LWS,2022-01-01 10:56:00,1,1,2022,5,10,56,2022-01-01 12:56:00,12,56
3,KLWS,Lewiston,1641037860,1641045060,N,3.0,0.0,85.0,SE,,3.0,28.79,0.0,Cloudy,LWS,2022-01-01 11:51:00,1,1,2022,5,11,51,2022-01-01 13:51:00,13,51
4,KLWS,Lewiston,1641038160,1641045360,N,3.0,-1.0,84.0,SE,,3.0,28.79,0.0,Cloudy,LWS,2022-01-01 11:56:00,1,1,2022,5,11,56,2022-01-01 13:56:00,13,56
5,KLWS,Lewiston,1641041760,1641048960,N,2.0,-1.0,88.0,CALM,,0.0,28.79,0.0,Mostly Cloudy,LWS,2022-01-01 12:56:00,1,1,2022,5,12,56,2022-01-01 14:56:00,14,56
6,KLWS,Lewiston,1641042240,1641049440,N,4.0,-1.0,80.0,ESE,,3.0,28.79,0.0,Partly Cloudy,LWS,2022-01-01 13:04:00,1,1,2022,5,13,4,2022-01-01 15:04:00,15,4
7,KLWS,Lewiston,1641045360,1641052560,N,1.0,-3.0,83.0,ESE,,5.0,28.81,0.0,Fair,LWS,2022-01-01 13:56:00,1,1,2022,5,13,56,2022-01-01 15:56:00,15,56
8,KLWS,Lewiston,1641048960,1641056160,N,2.0,-3.0,80.0,CALM,,0.0,28.81,0.0,Fair,LWS,2022-01-01 14:56:00,1,1,2022,5,14,56,2022-01-01 16:56:00,16,56
9,KLWS,Lewiston,1641052560,1641059760,D,1.0,-3.0,83.0,CALM,,0.0,28.82,0.0,Fair,LWS,2022-01-01 15:56:00,1,1,2022,5,15,56,2022-01-01 17:56:00,17,56
10,KLWS,Lewiston,1641056160,1641063360,D,5.0,1.0,84.0,CALM,,0.0,28.83,0.0,Fair,LWS,2022-01-01 16:56:00,1,1,2022,5,16,56,2022-01-01 18:56:00,18,56
11,KLWS,Lewiston,1641059760,1641066960,D,5.0,-1.0,76.0,CALM,,0.0,28.84,0.0,Mostly Cloudy,LWS,2022-01-01 17:56:00,1,1,2022,5,17,56,2022-01-01 19:56:00,19,56
12,KLWS,Lewiston,1641063360,1641070560,D,8.0,0.0,70.0,E,,5.0,28.82,0.0,Cloudy,LWS,2022-01-01 18:56:00,1,1,2022,5,18,56,2022-01-01 20:56:00,20,56
13,KLWS,Lewiston,1641066960,1641074160,D,7.0,0.0,73.0,N,,5.0,28.81,0.0,Cloudy,LWS,2022-01-01 19:56:00,1,1,2022,5,19,56,2022-01-01 21:56:00,21,56
14,KLWS,Lewiston,1641070560,1641077760,D,8.0,2.0,76.0,WNW,,5.0,28.81,0.0,Cloudy,LWS,2022-01-01 20:56:00,1,1,2022,5,20,56,2022-01-01 22:56:00,22,56
15,KLWS,Lewiston,1641074160,1641081360,D,10.0,3.0,73.0,CALM,,0.0,28.79,0.0,Cloudy,LWS,2022-01-01 21:56:00,1,1,2022,5,21,56,2022-01-01 23:56:00,23,56
16,KLWS,Lewiston,1641077760,1641084960,D,10.0,4.0,76.0,CALM,,0.0,28.78,0.0,Cloudy,LWS,2022-01-01 22:56:00,1,1,2022,5,22,56,2022-01-02 00:56:00,0,56
17,KLWS,Lewiston,1641081360,1641088560,D,10.0,4.0,76.0,W,,3.0,28.79,0.0,Cloudy,LWS,2022-01-01 23:56:00,1,1,2022,5,23,56,2022-01-02 01:56:00,1,56
18,KLWS,Lewiston,1641084960,1641092160,N,8.0,3.0,80.0,CALM,,0.0,28.78,0.0,Fair,LWS,2022-01-02 00:56:00,2,1,2022,6,0,56,2022-01-02 02:56:00,2,56
19,KLWS,Lewiston,1641088560,1641095760,N,8.0,3.0,80.0,N,,3.0,28.77,0.0,Fair,LWS,2022-01-02 01:56:00,2,1,2022,6,1,56,2022-01-02 03:56:00,3,56
20,KLWS,Lewiston,1641092160,1641099360,N,9.0,3.0,77.0,CALM,,0.0,28.76,0.0,Fair,LWS,2022-01-02 02:56:00,2,1,2022,6,2,56,2022-01-02 04:56:00,4,56
21,KLWS,Lewiston,1641095760,1641102960,N,13.0,5.0,71.0,NE,,6.0,28.76,0.0,Fair,LWS,2022-01-02 03:56:00,2,1,2022,6,3,56,2022-01-02 05:56:00,5,56
22,KLWS,Lewiston,1641099360,1641106560,N,15.0,7.0,70.0,ENE,,5.0,28.74,0.0,Mostly Cloudy,LWS,2022-01-02 04:56:00,2,1,2022,6,4,56,2022-01-02 06:56:00,6,56
23,KLWS,Lewiston,1641102960,1641110160,N,22.0,8.0,55.0,E,,6.0,28.73,0.0,Fair,LWS,2022-01-02 05:56:00,2,1,2022,6,5,56,2022-01-02 07:56:00,7,56
24,KLWS,Lewiston,1641106560,1641113760,N,20.0,8.0,60.0,E,,7.0,28.71,0.0,Fair,LWS,2022-01-02 06:56:00,2,1,2022,6,6,56,2022-01-02 08:56:00,8,56
25,KLWS,Lewiston,1641110160,1641117360,N,24.0,9.0,53.0,ESE,,6.0,28.7,0.0,Fair,LWS,2022-01-02 07:56:00,2,1,2022,6,7,56,2022-01-02 09:56:00,9,56
26,KLWS,Lewiston,1641113760,1641120960,N,24.0,10.0,55.0,CALM,,0.0,28.68,0.0,Fair,LWS,2022-01-02 08:56:00,2,1,2022,6,8,56,2022-01-02 10:56:00,10,56
27,KLWS,Lewiston,1641117360,1641124560,N,26.0,13.0,58.0,S,21.0,13.0,28.67,0.0,Fair,LWS,2022-01-02 09:56:00,2,1,2022,6,9,56,2022-01-02 11:56:00,11,56
28,KLWS,Lewiston,1641120960,1641128160,N,24.0,14.0,65.0,SE,38.0,30.0,28.64,0.0,Fair / Windy,LWS,2022-01-02 10:56:00,2,1,2022,6,10,56,2022-01-02 12:56:00,12,56
29,KLWS,Lewiston,1641124560,1641131760,N,25.0,14.0,63.0,SE,28.0,22.0,28.63,0.0,Fair / Windy,LWS,2022-01-02 11:56:00,2,1,2022,6,11,56,2022-01-02 13:56:00,13,56
30,KLWS,Lewiston,1641128160,1641135360,N,26.0,13.0,58.0,ESE,24.0,12.0,28.63,0.0,Fair,LWS,2022-01-02 12:56:00,2,1,2022,6,12,56,2022-01-02 14:56:00,14,56
31,KLWS,Lewiston,1641131760,1641138960,N,27.0,13.0,56.0,SSE,,15.0,28.61,0.0,Fair,LWS,2022-01-02 13:56:00,2,1,2022,6,13,56,2022-01-02 15:56:00,15,56
32,KLWS,Lewiston,1641135360,1641142560,N,26.0,14.0,60.0,SE,32.0,25.0,28.58,0.0,Fair / Windy,LWS,2022-01-02 14:56:00,2,1,2022,6,14,56,2022-01-02 16:56:00,16,56
33,KLWS,Lewiston,1641138960,1641146160,D,27.0,14.0,58.0,SE,36.0,25.0,28.58,0.0,Fair / Windy,LWS,2022-01-02 15:56:00,2,1,2022,6,15,56,2022-01-02 17:56:00,17,56
34,KLWS,Lewiston,1641142560,1641149760,D,28.0,13.0,53.0,ESE,,20.0,28.6,0.0,Fair,LWS,2022-01-02 16:56:00,2,1,2022,6,16,56,2022-01-02 18:56:00,18,56
35,KLWS,Lewiston,1641146160,1641153360,D,27.0,15.0,61.0,ESE,,22.0,28.59,0.0,Fair / Windy,LWS,2022-01-02 17:56:00,2,1,2022,6,17,56,2022-01-02 19:56:00,19,56
36,KLWS,Lewiston,1641149760,1641156960,D,28.0,15.0,58.0,ESE,,16.0,28.57,0.0,Fair,LWS,2022-01-02 18:56:00,2,1,2022,6,18,56,2022-01-02 20:56:00,20,56
37,KLWS,Lewiston,1641153360,1641160560,D,30.0,14.0,51.0,SE,,17.0,28.54,0.0,Fair,LWS,2022-01-02 19:56:00,2,1,2022,6,19,56,2022-01-02 21:56:00,21,56
38,KLWS,Lewiston,1641156960,1641164160,D,30.0,16.0,56.0,ESE,,17.0,28.52,0.0,Fair,LWS,2022-01-02 20:56:00,2,1,2022,6,20,56,2022-01-02 22:56:00,22,56
39,KLWS,Lewiston,1641160560,1641167760,D,29.0,16.0,58.0,ESE,,15.0,28.5,0.0,Mostly Cloudy,LWS,2022-01-02 21:56:00,2,1,2022,6,21,56,2022-01-02 23:56:00,23,56
40,KLWS,Lewiston,1641164160,1641171360,D,30.0,16.0,56.0,SE,,17.0,28.5,0.0,Fair,LWS,2022-01-02 22:56:00,2,1,2022,6,22,56,2022-01-03 00:56:00,0,56
41,KLWS,Lewiston,1641167760,1641174960,D,30.0,15.0,54.0,SE,,9.0,28.5,0.0,Fair,LWS,2022-01-02 23:56:00,2,1,2022,6,23,56,2022-01-03 01:56:00,1,56
42,KLWS,Lewiston,1641171360,1641178560,N,29.0,14.0,54.0,SSE,,14.0,28.49,0.0,Fair,LWS,2022-01-03 00:56:00,3,1,2022,0,0,56,2022-01-03 02:56:00,2,56
43,KLWS,Lewiston,1641174960,1641182160,N,28.0,13.0,53.0,E,21.0,6.0,28.47,0.0,Fair,LWS,2022-01-03 01:56:00,3,1,2022,0,1,56,2022-01-03 03:56:00,3,56
44,KLWS,Lewiston,1641178560,1641185760,N,27.0,11.0,51.0,E,,8.0,28.45,0.0,Fair,LWS,2022-01-03 02:56:00,3,1,2022,0,2,56,2022-01-03 04:56:00,4,56
45,KLWS,Lewiston,1641182160,1641189360,N,26.0,13.0,58.0,ENE,,8.0,28.45,0.0,Fair,LWS,2022-01-03 03:56:00,3,1,2022,0,3,56,2022-01-03 05:56:00,5,56
46,KLWS,Lewiston,1641185760,1641192960,N,26.0,14.0,60.0,ENE,,9.0,28.44,0.0,Fair,LWS,2022-01-03 04:56:00,3,1,2022,0,4,56,2022-01-03 06:56:00,6,56
47,KLWS,Lewiston,1641189360,1641196560,N,25.0,13.0,60.0,E,,8.0,28.41,0.0,Fair,LWS,2022-01-03 05:56:00,3,1,2022,0,5,56,2022-01-03 07:56:00,7,56
48,KLWS,Lewiston,1641192960,1641200160,N,26.0,12.0,55.0,E,,8.0,28.39,0.0,Fair,LWS,2022-01-03 06:56:00,3,1,2022,0,6,56,2022-01-03 08:56:00,8,56
49,KLWS,Lewiston,1641196560,1641203760,N,27.0,12.0,53.0,E,,8.0,28.36,0.0,Fair,LWS,2022-01-03 07:56:00,3,1,2022,0,7,56,2022-01-03 09:56:00,9,56
50,KLWS,Lewiston,1641200160,1641207360,N,25.0,12.0,58.0,E,,8.0,28.32,0.0,Partly Cloudy,LWS,2022-01-03 08:56:00,3,1,2022,0,8,56,2022-01-03 10:56:00,10,56
51,KLWS,Lewiston,1641203760,1641210960,N,24.0,12.0,60.0,E,,9.0,28.31,0.0,Fair,LWS,2022-01-03 09:56:00,3,1,2022,0,9,56,2022-01-03 11:56:00,11,56
52,KLWS,Lewiston,1641207360,1641214560,N,23.0,12.0,63.0,E,,8.0,28.27,0.0,Fair,LWS,2022-01-03 10:56:00,3,1,2022,0,10,56,2022-01-03 12:56:00,12,56
53,KLWS,Lewiston,1641210960,1641218160,N,25.0,13.0,60.0,E,,8.0,28.25,0.0,Cloudy,LWS,2022-01-03 11:56:00,3,1,2022,0,11,56,2022-01-03 13:56:00,13,56
54,KLWS,Lewiston,1641214560,1641221760,N,26.0,14.0,60.0,ENE,,8.0,28.22,0.0,Cloudy,LWS,2022-01-03 12:56:00,3,1,2022,0,12,56,2022-01-03 14:56:00,14,56
55,KLWS,Lewiston,1641218160,1641225360,N,25.0,15.0,66.0,ENE,,6.0,28.17,0.0,Mostly Cloudy,LWS,2022-01-03 13:56:00,3,1,2022,0,13,56,2022-01-03 15:56:00,15,56
56,KLWS,Lewiston,1641221760,1641228960,N,26.0,15.0,63.0,E,,10.0,28.14,0.0,Partly Cloudy,LWS,2022-01-03 14:56:00,3,1,2022,0,14,56,2022-01-03 16:56:00,16,56
57,KLWS,Lewiston,1641225360,1641232560,D,28.0,16.0,61.0,CALM,,0.0,28.13,0.0,Cloudy,LWS,2022-01-03 15:56:00,3,1,2022,0,15,56,2022-01-03 17:56:00,17,56
58,KLWS,Lewiston,1641228960,1641236160,D,30.0,20.0,66.0,CALM,,0.0,28.14,0.0,Cloudy,LWS,2022-01-03 16:56:00,3,1,2022,0,16,56,2022-01-03 18:56:00,18,56
59,KLWS,Lewiston,1641232560,1641239760,D,36.0,18.0,48.0,VAR,,3.0,28.12,0.0,Cloudy,LWS,2022-01-03 17:56:00,3,1,2022,0,17,56,2022-01-03 19:56:00,19,56
60,KLWS,Lewiston,1641236160,1641243360,D,38.0,19.0,47.0,SE,,6.0,28.1,0.0,Cloudy,LWS,2022-01-03 18:56:00,3,1,2022,0,18,56,2022-01-03 20:56:00,20,56
61,KLWS,Lewiston,1641239760,1641246960,D,38.0,24.0,57.0,WNW,,3.0,28.08,0.0,Cloudy,LWS,2022-01-03 19:56:00,3,1,2022,0,19,56,2022-01-03 21:56:00,21,56
62,KLWS,Lewiston,1641243360,1641250560,D,37.0,24.0,59.0,E,,7.0,28.05,0.0,Cloudy,LWS,2022-01-03 20:56:00,3,1,2022,0,20,56,2022-01-03 22:56:00,22,56
63,KLWS,Lewiston,1641246960,1641254160,D,35.0,26.0,70.0,CALM,,0.0,28.06,0.0,Cloudy,LWS,2022-01-03 21:56:00,3,1,2022,0,21,56,2022-01-03 23:56:00,23,56
64,KLWS,Lewiston,1641250560,1641257760,D,36.0,25.0,64.0,S,,7.0,28.09,0.0,Light Snow,LWS,2022-01-03 22:56:00,3,1,2022,0,22,56,2022-01-04 00:56:00,0,56
65,KLWS,Lewiston,1641251700,1641258900,D,36.0,26.0,67.0,ESE,,12.0,28.08,0.0,Light Snow,LWS,2022-01-03 23:15:00,3,1,2022,0,23,15,2022-01-04 01:15:00,1,15
66,KLWS,Lewiston,1641254160,1641261360,D,36.0,30.0,79.0,N,,5.0,28.1,0.0,Light Rain,LWS,2022-01-03 23:56:00,3,1,2022,0,23,56,2022-01-04 01:56:00,1,56
67,KLWS,Lewiston,1641256740,1641263940,N,34.0,31.0,89.0,CALM,,0.0,28.1,0.0,Light Snow,LWS,2022-01-04 00:39:00,4,1,2022,1,0,39,2022-01-04 02:39:00,2,39
68,KLWS,Lewiston,1641257760,1641264960,N,34.0,31.0,89.0,NE,,3.0,28.1,0.01,Light Snow,LWS,2022-01-04 00:56:00,4,1,2022,1,0,56,2022-01-04 02:56:00,2,56
69,KLWS,Lewiston,1641258720,1641265920,N,34.0,31.0,89.0,CALM,,0.0,28.11,0.0,Light Snow,LWS,2022-01-04 01:12:00,4,1,2022,1,1,12,2022-01-04 03:12:00,3,12
70,KLWS,Lewiston,1641261180,1641268380,N,34.0,30.0,87.0,CALM,,0.0,28.13,0.01,Light Snow,LWS,2022-01-04 01:53:00,4,1,2022,1,1,53,2022-01-04 03:53:00,3,53
71,KLWS,Lewiston,1641261240,1641268440,N,34.0,31.0,89.0,SE,,3.0,28.13,0.01,Light Snow,LWS,2022-01-04 01:54:00,4,1,2022,1,1,54,2022-01-04 03:54:00,3,54
72,KLWS,Lewiston,1641262080,1641269280,N,33.0,30.0,89.0,SSE,,6.0,28.12,0.0,Light Snow,LWS,2022-01-04 02:08:00,4,1,2022,1,2,8,2022-01-04 04:08:00,4,8
73,KLWS,Lewiston,1641262440,1641269640,N,33.0,30.0,89.0,S,,6.0,28.13,0.0,Light Snow,LWS,2022-01-04 02:14:00,4,1,2022,1,2,14,2022-01-04 04:14:00,4,14
74,KLWS,Lewiston,1641262980,1641270180,N,33.0,31.0,92.0,SSE,,7.0,28.11,0.01,Light Snow,LWS,2022-01-04 02:23:00,4,1,2022,1,2,23,2022-01-04 04:23:00,4,23
75,KLWS,Lewiston,1641263460,1641270660,N,33.0,31.0,92.0,SE,,6.0,28.11,0.01,Fog,LWS,2022-01-04 02:31:00,4,1,2022,1,2,31,2022-01-04 04:31:00,4,31
76,KLWS,Lewiston,1641263820,1641271020,N,33.0,31.0,92.0,SSE,,6.0,28.12,0.01,Fog,LWS,2022-01-04 02:37:00,4,1,2022,1,2,37,2022-01-04 04:37:00,4,37
77,KLWS,Lewiston,1641264120,1641271320,N,33.0,31.0,92.0,CALM,,0.0,28.12,0.01,Fog,LWS,2022-01-04 02:42:00,4,1,2022,1,2,42,2022-01-04 04:42:00,4,42
78,KLWS,Lewiston,1641264240,1641271440,N,33.0,32.0,96.0,VAR,,5.0,28.12,0.01,Fog,LWS,2022-01-04 02:44:00,4,1,2022,1,2,44,2022-01-04 04:44:00,4,44
79,KLWS,Lewiston,1641264480,1641271680,N,33.0,31.0,92.0,NNW,,6.0,28.13,0.01,Fog,LWS,2022-01-04 02:48:00,4,1,2022,1,2,48,2022-01-04 04:48:00,4,48
80,KLWS,Lewiston,1641264960,1641272160,N,33.0,32.0,96.0,CALM,,0.0,28.13,0.01,Fog,LWS,2022-01-04 02:56:00,4,1,2022,1,2,56,2022-01-04 04:56:00,4,56
81,KLWS,Lewiston,1641265140,1641272340,N,33.0,32.0,96.0,N,,6.0,28.12,0.0,Fog,LWS,2022-01-04 02:59:00,4,1,2022,1,2,59,2022-01-04 04:59:00,4,59
