,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,start_day,start_month,start_year,start_isoweekday,start_hour_gmt,start_minute_gmt,record_end_date,end_hour_gmt,end_minute_gmt
0,KMLS,Miles City,1641023580,1641030780,N,-18.0,-22.0,82.0,CALM,,0.0,27.34,0.0,Fair,MLS,2022-01-01 07:53:00,1,1,2022,5,7,53,2022-01-01 09:53:00,9,53
1,KMLS,Miles City,1641026880,1641034080,N,-20.0,-24.0,83.0,SSW,,3.0,27.34,0.0,Fair,MLS,2022-01-01 08:48:00,1,1,2022,5,8,48,2022-01-01 10:48:00,10,48
2,KMLS,Miles City,1641027180,1641034380,N,-21.0,-23.0,90.0,SW,,3.0,27.34,0.0,Fair,MLS,2022-01-01 08:53:00,1,1,2022,5,8,53,2022-01-01 10:53:00,10,53
3,KMLS,Miles City,1641030780,1641037980,N,-19.0,-22.0,86.0,S,,7.0,27.34,0.0,Fair,MLS,2022-01-01 09:53:00,1,1,2022,5,9,53,2022-01-01 11:53:00,11,53
4,KMLS,Miles City,1641034380,1641041580,N,-25.0,-30.0,78.0,S,,3.0,27.33,0.0,Fair,MLS,2022-01-01 10:53:00,1,1,2022,5,10,53,2022-01-01 12:53:00,12,53
5,KMLS,Miles City,1641037980,1641045180,N,-27.0,-32.0,77.0,CALM,,0.0,27.33,0.0,Fair,MLS,2022-01-01 11:53:00,1,1,2022,5,11,53,2022-01-01 13:53:00,13,53
6,KMLS,Miles City,1641041580,1641048780,N,-26.0,-30.0,81.0,SSE,,5.0,27.34,0.0,Fair,MLS,2022-01-01 12:53:00,1,1,2022,5,12,53,2022-01-01 14:53:00,14,53
7,KMLS,Miles City,1641045180,1641052380,N,-24.0,-29.0,77.0,SSE,,7.0,27.33,0.0,Fair,MLS,2022-01-01 13:53:00,1,1,2022,5,13,53,2022-01-01 15:53:00,15,53
8,KMLS,Miles City,1641048780,1641055980,D,-22.0,-27.0,77.0,S,,10.0,27.33,0.0,Fair,MLS,2022-01-01 14:53:00,1,1,2022,5,14,53,2022-01-01 16:53:00,16,53
9,KMLS,Miles City,1641052380,1641059580,D,-19.0,-25.0,74.0,SSE,,12.0,27.33,0.0,Fair,MLS,2022-01-01 15:53:00,1,1,2022,5,15,53,2022-01-01 17:53:00,17,53
10,KMLS,Miles City,1641055980,1641063180,D,-18.0,-24.0,74.0,SSE,,9.0,27.33,0.0,Fair,MLS,2022-01-01 16:53:00,1,1,2022,5,16,53,2022-01-01 18:53:00,18,53
11,KMLS,Miles City,1641059580,1641066780,D,-15.0,-22.0,71.0,SSE,,9.0,27.32,0.0,Fair,MLS,2022-01-01 17:53:00,1,1,2022,5,17,53,2022-01-01 19:53:00,19,53
12,KMLS,Miles City,1641063180,1641070380,D,-12.0,-20.0,67.0,S,,7.0,27.29,0.0,Fair,MLS,2022-01-01 18:53:00,1,1,2022,5,18,53,2022-01-01 20:53:00,20,53
13,KMLS,Miles City,1641066780,1641073980,D,-11.0,-18.0,71.0,S,,6.0,27.26,0.0,Fair,MLS,2022-01-01 19:53:00,1,1,2022,5,19,53,2022-01-01 21:53:00,21,53
14,KMLS,Miles City,1641070380,1641077580,D,-9.0,-16.0,71.0,S,,9.0,27.24,0.0,Fair,MLS,2022-01-01 20:53:00,1,1,2022,5,20,53,2022-01-01 22:53:00,22,53
