,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KORS,Eastsound,1641024900,1641032100,N,21.0,18.0,86.0,CALM,,0.0,30.19,0.0,Fair,ORS,2022-01-01 08:15:00,2022-01-01 10:15:00
1,KORS,Eastsound,1641026100,1641033300,N,21.0,18.0,86.0,CALM,,0.0,30.19,0.0,Fair,ORS,2022-01-01 08:35:00,2022-01-01 10:35:00
2,KORS,Eastsound,1641027300,1641034500,N,23.0,18.0,80.0,CALM,,0.0,30.19,0.0,Fair,ORS,2022-01-01 08:55:00,2022-01-01 10:55:00
3,KORS,Eastsound,1641028500,1641035700,N,23.0,18.0,80.0,CALM,,0.0,30.2,0.0,Fair,ORS,2022-01-01 09:15:00,2022-01-01 11:15:00
4,KORS,Eastsound,1641029700,1641036900,N,23.0,18.0,80.0,CALM,,0.0,30.2,0.0,Partly Cloudy,ORS,2022-01-01 09:35:00,2022-01-01 11:35:00
5,KORS,Eastsound,1641030900,1641038100,N,25.0,18.0,74.0,CALM,,0.0,30.21,0.0,Mostly Cloudy,ORS,2022-01-01 09:55:00,2022-01-01 11:55:00
6,KORS,Eastsound,1641032100,1641039300,N,25.0,19.0,80.0,CALM,,0.0,30.22,0.0,Cloudy,ORS,2022-01-01 10:15:00,2022-01-01 12:15:00
7,KORS,Eastsound,1641033300,1641040500,N,25.0,19.0,80.0,CALM,,0.0,30.22,0.0,Cloudy,ORS,2022-01-01 10:35:00,2022-01-01 12:35:00
8,KORS,Eastsound,1641034500,1641041700,N,27.0,19.0,74.0,CALM,,0.0,30.22,0.0,Cloudy,ORS,2022-01-01 10:55:00,2022-01-01 12:55:00
9,KORS,Eastsound,1641035700,1641042900,N,27.0,19.0,74.0,CALM,,0.0,30.21,0.0,Cloudy,ORS,2022-01-01 11:15:00,2022-01-01 13:15:00
10,KORS,Eastsound,1641036900,1641044100,N,27.0,19.0,74.0,VAR,,3.0,30.21,0.0,Cloudy,ORS,2022-01-01 11:35:00,2022-01-01 13:35:00
11,KORS,Eastsound,1641038100,1641045300,N,28.0,19.0,69.0,CALM,,0.0,30.21,0.0,Cloudy,ORS,2022-01-01 11:55:00,2022-01-01 13:55:00
12,KORS,Eastsound,1641039300,1641046500,N,28.0,19.0,69.0,CALM,,0.0,30.21,0.0,Cloudy,ORS,2022-01-01 12:15:00,2022-01-01 14:15:00
13,KORS,Eastsound,1641040500,1641047700,N,28.0,19.0,69.0,CALM,,0.0,30.21,0.0,Cloudy,ORS,2022-01-01 12:35:00,2022-01-01 14:35:00
14,KORS,Eastsound,1641041700,1641048900,N,28.0,21.0,74.0,CALM,,0.0,30.2,0.0,Cloudy,ORS,2022-01-01 12:55:00,2022-01-01 14:55:00
15,KORS,Eastsound,1641042900,1641050100,N,28.0,21.0,74.0,CALM,,0.0,30.2,0.0,Cloudy,ORS,2022-01-01 13:15:00,2022-01-01 15:15:00
16,KORS,Eastsound,1641044100,1641051300,N,28.0,21.0,74.0,CALM,,0.0,30.21,0.0,Cloudy,ORS,2022-01-01 13:35:00,2022-01-01 15:35:00
17,KORS,Eastsound,1641045300,1641052500,N,28.0,21.0,74.0,CALM,,0.0,30.21,0.0,Cloudy,ORS,2022-01-01 13:55:00,2022-01-01 15:55:00
18,KORS,Eastsound,1641046500,1641053700,N,28.0,21.0,74.0,ESE,,3.0,30.21,0.0,Cloudy,ORS,2022-01-01 14:15:00,2022-01-01 16:15:00
19,KORS,Eastsound,1641047700,1641054900,N,28.0,21.0,74.0,CALM,,0.0,30.2,0.0,Cloudy,ORS,2022-01-01 14:35:00,2022-01-01 16:35:00
20,KORS,Eastsound,1641048900,1641056100,N,28.0,21.0,74.0,CALM,,0.0,30.21,0.0,Cloudy,ORS,2022-01-01 14:55:00,2022-01-01 16:55:00
21,KORS,Eastsound,1641050100,1641057300,N,28.0,21.0,74.0,CALM,,0.0,30.2,0.0,Cloudy,ORS,2022-01-01 15:15:00,2022-01-01 17:15:00
22,KORS,Eastsound,1641051300,1641058500,D,28.0,21.0,74.0,CALM,,0.0,30.21,0.0,Cloudy,ORS,2022-01-01 15:35:00,2022-01-01 17:35:00
23,KORS,Eastsound,1641052500,1641059700,D,28.0,21.0,74.0,CALM,,0.0,30.21,0.0,Cloudy,ORS,2022-01-01 15:55:00,2022-01-01 17:55:00
24,KORS,Eastsound,1641053700,1641060900,D,28.0,21.0,74.0,CALM,,0.0,30.21,0.0,Cloudy,ORS,2022-01-01 16:15:00,2022-01-01 18:15:00
25,KORS,Eastsound,1641054900,1641062100,D,30.0,19.0,64.0,CALM,,0.0,30.21,0.0,Cloudy,ORS,2022-01-01 16:35:00,2022-01-01 18:35:00
26,KORS,Eastsound,1641056100,1641063300,D,30.0,19.0,64.0,VAR,,5.0,30.21,0.0,Cloudy,ORS,2022-01-01 16:55:00,2022-01-01 18:55:00
27,KORS,Eastsound,1641057300,1641064500,D,30.0,19.0,64.0,VAR,,6.0,30.22,0.0,Cloudy,ORS,2022-01-01 17:15:00,2022-01-01 19:15:00
28,KORS,Eastsound,1641058500,1641065700,D,32.0,19.0,60.0,VAR,13.0,3.0,30.21,0.0,Cloudy,ORS,2022-01-01 17:35:00,2022-01-01 19:35:00
29,KORS,Eastsound,1641059700,1641066900,D,32.0,19.0,60.0,CALM,,0.0,30.21,0.0,Cloudy,ORS,2022-01-01 17:55:00,2022-01-01 19:55:00
30,KORS,Eastsound,1641060900,1641068100,D,32.0,19.0,60.0,CALM,,0.0,30.2,0.0,Mostly Cloudy,ORS,2022-01-01 18:15:00,2022-01-01 20:15:00
31,KORS,Eastsound,1641062100,1641069300,D,34.0,18.0,52.0,S,15.0,8.0,30.2,0.0,Mostly Cloudy,ORS,2022-01-01 18:35:00,2022-01-01 20:35:00
32,KORS,Eastsound,1641063300,1641070500,D,34.0,19.0,56.0,SSE,20.0,12.0,30.19,0.0,Cloudy,ORS,2022-01-01 18:55:00,2022-01-01 20:55:00
33,KORS,Eastsound,1641064500,1641071700,D,34.0,19.0,56.0,SSE,,9.0,30.19,0.0,Cloudy,ORS,2022-01-01 19:15:00,2022-01-01 21:15:00
34,KORS,Eastsound,1641065700,1641072900,D,34.0,21.0,60.0,SSE,14.0,6.0,30.18,0.0,Cloudy,ORS,2022-01-01 19:35:00,2022-01-01 21:35:00
35,KORS,Eastsound,1641066900,1641074100,D,34.0,19.0,56.0,SSE,,10.0,30.17,0.0,Cloudy,ORS,2022-01-01 19:55:00,2022-01-01 21:55:00
36,KORS,Eastsound,1641068100,1641075300,D,34.0,21.0,60.0,SSE,15.0,8.0,30.16,0.0,Cloudy,ORS,2022-01-01 20:15:00,2022-01-01 22:15:00
37,KORS,Eastsound,1641069300,1641076500,D,34.0,21.0,60.0,SSE,21.0,14.0,30.15,0.0,Cloudy,ORS,2022-01-01 20:35:00,2022-01-01 22:35:00
38,KORS,Eastsound,1641070500,1641077700,D,34.0,21.0,60.0,SSE,21.0,14.0,30.14,0.0,Cloudy,ORS,2022-01-01 20:55:00,2022-01-01 22:55:00
39,KORS,Eastsound,1641071700,1641078900,D,34.0,21.0,60.0,SSE,20.0,10.0,30.14,0.0,Cloudy,ORS,2022-01-01 21:15:00,2022-01-01 23:15:00
40,KORS,Eastsound,1641072900,1641080100,D,36.0,21.0,56.0,SSE,,14.0,30.12,0.0,Cloudy,ORS,2022-01-01 21:35:00,2022-01-01 23:35:00
41,KORS,Eastsound,1641074100,1641081300,D,36.0,21.0,56.0,SSE,,15.0,30.12,0.0,Cloudy,ORS,2022-01-01 21:55:00,2022-01-01 23:55:00
42,KORS,Eastsound,1641075300,1641082500,D,36.0,21.0,56.0,SE,18.0,12.0,30.1,0.0,Cloudy,ORS,2022-01-01 22:15:00,2022-01-02 00:15:00
43,KORS,Eastsound,1641076500,1641083700,D,36.0,23.0,60.0,SSE,23.0,16.0,30.11,0.0,Cloudy,ORS,2022-01-01 22:35:00,2022-01-02 00:35:00
